"","en_ar_DEEP","MatCoop"
"1","... مع الإشارة إلى أهمية إجراء مراجعات مستمرة للتكتيكات والإجراءات والمراجعات والتحقيقات اللاحقة بالتعاون مع ... الحكومة في الحالات التي وقعت فيها خسائر في صفوف المدنيين وعندما ... تجد الحكومة أن هذه التحقيقات المشتركة مناسبة، كما وكذلك مواصلة التعاون مع [قوات الأمن الوطني] من أجل زيادة إضفاء الطابع المؤسسي على حماية المدنيين، وخاصة النساء والفتيات،",1
"2","مفهوم المجمع التكنولوجي والصناعي البولندي الروسي في تارنوف، بولندا.",0
"3","125 ـ وفقا لأحد الشهود، صدرت أوامر لعناصر قوى الأمن الداخلي بإبقاء السيد الحريري تحت المراقبة في نهاية كانون الثاني/يناير وبداية شباط/فبراير 2005.",0
"4","الحالة في أنغولا (انظر S/25070/Add.4، 10، 17، 22، 23، 28، 37، 44 و50؛ S/1994/20/Add.5، 10، 21، 25، 31، 35، 38، 42، 43 و48؛ S/1995/40/Add.5، 9، 14، 18، 31، 40 و50؛ S/1997/40/Add.4، 8، 11، 12، 15، 26، 29، 34، 39 و43، S/1998/44/Add.4، 11، 17، 20، 23، 25، 26؛ 32 و37 و41 و48 و51 و52 وS/1999/25/Add.1؛ انظر أيضًا S/19420/Add.51؛ 27 و37 و40 و43 و48 و51)",0
"5","ومع ذلك، لم يتم تحقيق أي تقدم حتى الآن.",0
"6","وقالت الشرطة إنها تبحث عن ""إينزا""، وسألت الرجال ما إذا كانوا شاركوا في المسيرة.",0
"7","قد تنطبق أيضًا أحكام أخرى من القانون الجنائي، مثل التسليح غير المصرح به (المادة 185) أو تطوير وإنتاج وحيازة وسائل قتال محظورة (المادة 185أ): تعريض العامة للخطر.",0
"8","ثم أُجبر أفراد الطاقم على توقيع العقود، التي صاغتها شركة في مومباسا، والتي تضمنت شرط موافقتهم على العمل في إحدى دول منطقة الحرب - الصومال.",0
"9","والميزة التي يجلبها الفريق هي القدرة على العمل بشكل تعاوني مع الحكومات في جميع أنحاء العالم، فضلا عن التواصل مع المتخصصين الخارجيين، من أجل بناء تقييم متكامل للتهديد الذي يشكله تنظيم القاعدة وشركاؤه، وإجراء عملية محددة الهدف وفعالة. ونظام العقوبات العادل.",1
"10","وفي هذا الصدد، يتعين على الحكومة الانتقالية أن تظهر التزامها بالعمل بشكل وثيق مع شركائها الدوليين لإنشاء آلية لضمان الإدارة السليمة والشفافة والخاضعة للمساءلة للمالية العامة والتصدي للفساد بشكل فعال.",1
"11","وينبغي أن يكون لعدم الامتثال للالتزامات بموجب الميثاق عواقب على أي دولة عضو، ولا ينبغي أن يكون السودان استثناءً.",0
"12","'2` نزع سلاح جميع الجماعات والميليشيات المسلحة في شرق جمهورية الكونغو الديمقراطية، باستخدام جميع الوسائل اللازمة؛",1
"13","134 - وصدقت سبع دول من أصل ثماني دول في آسيا الوسطى والقوقاز على 12 صكا من الصكوك القانونية الدولية لمكافحة الإرهاب، وتنظر قيرغيزستان بنشاط في الانضمام إلى الصكوك الستة التي لم تصبح بعد طرفا فيها.",1
"14","ولم يتم حتى الآن تفويض اللجنة بالقيام بأية مهام إضافية في هذا الصدد.",0
"15","قانون الإشعاع المؤين (القانون رقم 156) المؤرخ 21 أبريل 1993.",0
"16","بدأت في 5 نوفمبر 2003. وانتهت في أواخر عام 2007.",0
"17","(أ) مواصلة ضمان امتثال أي تدابير تتخذها لمكافحة الإرهاب لجميع التزاماتها بموجب القانون الدولي، ولا سيما القانون الدولي لحقوق الإنسان والقانون الدولي للاجئين والقانون الإنساني الدولي؛",1
"18","القانون رقم 14157 (21 نوفمبر 1974)",0
"19","وقدم الأمين العام المساعد أيضا معلومات مستكملة عن المركبات والأصناف والمعدات التي استولت عليها جماعات المعارضة المسلحة في الحوادث الأخيرة مع القوة.",1
"20","وتقوم البعثة أيضا بإنشاء قواعد جديدة لدعم الاستفتاء لتقديم الدعم على مستوى المقاطعات في جنوب السودان.",1
"21","وتستثمر دول كثيرة أيضا في البرامج الاجتماعية لتحسين فهم ومنع التطرف والتجنيد المحتمل للإرهاب، وقد شاركت جميعها، إلى حد ما، في الحوار بشأن مكافحة الإرهاب.",0
