"en_es_DEEPL"	"MatConf"
"Algunas de las facturas estaban parcialmente traducidas y las demás no se habían traducido."	0
"57. El interés propio de quienes se oponen al establecimiento de un gobierno de buena fe ha sido una constante, y el Grupo de Supervisión ha puesto de manifiesto en sus informes anteriores este problema central en Somalia. El problema persiste, y el tema más conspicuo del presente informe es la tendencia constante a la escalada de la violencia potencial en una pauta de protección de intereses creados arraigados."	0
"La Comisión verificó la presencia de dos fosas en el pueblo, una con los cadáveres de dos hombres y otra con los de siete, todos ellos muertos durante el ataque."	1
"Recordando sus resoluciones sobre el reclutamiento y la utilización de niños y los conflictos armados,"	1
"o El 30 de noviembre de 2014, aviones de combate del régimen atacaron el mercado de Tayma, en Hasakeh, hiriendo a 2 personas y destruyendo 7 tiendas. Centros médicos"	1
"19. Durante el periodo que abarca el informe se recibieron varios informes sobre presuntas actividades militares indonesias en las zonas fronterizas de Oecussi, aún sin resolver."	1
"Es fundamental evitar cualquier acción, actividad o declaración que pueda socavar u obstaculizar los esfuerzos de paz."	0
"El Departamento de Operaciones de Mantenimiento de la Paz está en proceso de identificar a un candidato, con rango de General de Brigada, para dirigir la oficina."	0
"Algunos de estos niños fueron reclutados por el ejército maoísta en violación del Acuerdo General de Paz, mientras que otros fueron reclutados por organizaciones afiliadas al PCN-Maoísta. Aproximadamente el 30% de estos niños fueron liberados tras pasar unos días con el PCN-Maoísta, y aproximadamente el 20% fueron encontrados más tarde en acantonamientos del ejército maoísta."	1
"Al parecer, la mayoría de los Estados sólo lo hacen cuando se lo ordena un tribunal o cuando lo solicita la parte incluida en la lista (o los herederos si la parte incluida en la lista ha fallecido)."	0
"También se ha informado de que 18 mujeres fueron violadas durante el ataque a Adwa, en el sur de Darfur, a principios de diciembre de 2004."	1
"Tratado de Prohibición Completa de los Ensayos Nucleares (CTBT)"	0
"4. Todavía no se ha producido ningún caso de este tipo."	0
"Además, en virtud del Pacto Internacional de Derechos Civiles y Políticos, incluso en una situación de emergencia pública no se puede hacer ninguna excepción a la prohibición del uso de la tortura."	1
"55. Canal indio NDTV -- 15 de octubre de 2011"	0
"Dado que, al parecer, se utilizaron SA-7 para atacar aviones de pasajeros israelíes en la vecina Kenia en noviembre de 2002, esta información es motivo de preocupación."	1
"Amenazas a la paz y la seguridad internacionales causadas por actos terroristas"	1
"También siguieron el inicio de la misión del enviado de Naciones Unidas, Kofi Annan, para alcanzar una solución pacífica a la crisis siria, sin recurrir a amenazas ni hablar de intervención extranjera."	0
"\"El Consejo de Seguridad sigue seriamente preocupado por la situación de seguridad en la República Centroafricana."	0
"o El 28 de noviembre de 2014, aviones de guerra del régimen lanzaron un misil contra el paso de agua que conecta las aldeas de Bolail y Sahba en Deir ez-Zor, matando a 5 personas e hiriendo a otras 6. Ambulancias"	1
"En muchos de los casos, mujeres y hombres fueron secuestrados o desaparecieron, muchos sin dejar rastro."	1
"También encontraron los cadáveres de entre 20 y 30 civiles muertos durante el ataque, entre ellos mujeres y niños. Al parecer, todas las víctimas eran de Adwa y pertenecían a la tribu Fur."	1
"A pesar de estos esfuerzos, sigue preocupando la seguridad en Mogadiscio, con la presencia de varias milicias facciosas, así como las que van por libre o están asociadas a empresarios y a los tribunales de la sharia."	1
"El grado de deterioro de los fragmentos metálicos que nos mostró la policía (que, según se dice, procedían de un Mitsubishi Canter) es coherente con los fragmentos que cabría esperar si dicho vehículo se encontrara en el centro de la explosión."	1
"Las víctimas fueron enterradas muchos días después del atentado en los alrededores de Kulbus."	1
"Al señalar que no habría consecuencias por el asesinato de yemeníes, el acuerdo de inmunidad ha contribuido a prolongar el derramamiento de sangre."	1
"Además de los dos civiles heridos cerca de la terminal de Taci Tolu durante la tarde del 28 de abril, otros dos sufrieron heridas de bala durante la noche."	1
"Observando que la situación en la República Democrática del Congo sigue constituyendo una amenaza para la paz y la seguridad internacionales en la región,"	1
"Se celebrará el jueves 15 de enero de 2004, a las 15.00 horas."	0
"Todos los comités admitieron haber recibido denuncias de violaciones ocurridas durante los ataques a las aldeas. Ninguna de las denuncias fue registrada ni investigada."	1
"El Equipo ya está estableciendo contacto con las oficinas regionales de la Oficina de Asuntos de Desarme para mejorar el intercambio de información (en particular sobre la gestión de los arsenales de municiones, que resultó ser un problema en el caso libio)."	0
"III. Aplicación del Acuerdo de 20 de junio de 2011"	0
"Esto significa que tiene el mandato de determinar los hechos relacionados con las posibles violaciones del derecho internacional humanitario y de los derechos humanos cometidas en Darfur."	0
"Un agente de la UNPOL le preguntó si había resultado herido y le dijeron que un amigo del Sr. Amaral acababa de ser asesinado por la PNTL."	1
"2.3.2 Acceso a las frecuencias de radio de Burundi;"	0
"Expresó su preocupación por el aumento de las demoliciones de edificios en Palestina, el riesgo de traslado forzoso de la comunidad beduina de Um al-Kheir y la continua actividad de asentamientos de Israel, que, dijo, constituye una violación del derecho internacional."	1
"29. También se han producido importantes avances positivos. Cuando terminó el conflicto armado en 1999, había una ausencia casi total de estructuras económicas y de legislación."	1
"31. La dotación de las Unidades Integradas Conjuntas, que no ha variado desde abril de 2009, es de 32.900 efectivos (aproximadamente el 83% de su dotación prevista de 39.639 efectivos)."	1
"Desde enero, la MONUSCO ha documentado más de 100 incidentes contra miembros y simpatizantes de la oposición política, periodistas y defensores de los derechos humanos."	1
"El mundo entero, especialmente el pueblo de Sierra Leona, seguirá con atención sus actuaciones."	0
"Tal vez esperaban volver a salirse con la suya en Etiopía."	0
"Un elemento importante es el hecho de que en varias aldeas atacadas e incendiadas tanto por las milicias como por las fuerzas gubernamentales, los atacantes se abstuvieron de exterminar a toda la población que no había huido, sino que mataron selectivamente a grupos de hombres jóvenes."	1
"Unos 230.000 nómadas fueron registrados por equipos especializados."	0
"La comunidad internacional debería -incluso a través de los auspicios de las Naciones Unidas- utilizar la influencia diplomática y facilitar asistencia técnica en ámbitos como las reformas políticas, de seguridad y del sector judicial, la redacción de nuevas constituciones y marcos jurídicos, las instituciones electorales y la celebración de elecciones, entre otros."	0
"Aunque se denuncien los incidentes a la policía o a otros funcionarios públicos, apenas se toman medidas para detener a los autores."	1
"79. La misión preguntó acerca de los informes según los cuales existía una fosa común en Bouaké con los restos de decenas de miembros de la gendarmería ejecutados."	1
"El 30 de agosto de 2010, el SPLA estableció una Unidad de Protección de la Infancia en Bilpham, estado de Equatoria Central, en apoyo de la aplicación del plan de acción de las Naciones Unidas y el SPLA."	0
"La mayoría de los Estados han establecido en su legislación obligaciones de diligencia debida con respecto al cliente y mecanismos de información que obligan a las instituciones financieras y a determinados profesionales a identificar a sus clientes y a comunicar a las autoridades las actividades sospechosas."	0
"El Consejo ha acogido con satisfacción el acuerdo de alto el fuego del 8 de abril, ha expresado su pleno y activo apoyo a los esfuerzos de la Unión Africana para establecer la comisión de alto el fuego y las unidades de protección, y ha hecho un llamamiento a las partes sudanesas para que faciliten el despliegue inmediato de observadores en Darfur."	0
"563. La Comisión ha reunido información fidedigna que le permite identificar a ocho altos funcionarios del Gobierno central y mandos militares y a seis funcionarios del Gobierno local o miembros de las fuerzas armadas que operan en Darfur que pueden ser sospechosos de ser responsables de no impedir o reprimir a sabiendas la perpetración de crímenes, es decir, de responsabilidad superior."	1
"Durante la semana del 19 al 26 de junio, en la región de Bay, unas 10 personas murieron y otras 9 resultaron heridas en combates entre los subclanes Digil-Mirifle de la zona, entre ellos los Leysan, Luway y Yantar."	1
"Además, la desaparición del Sr. Abu Adass el 16 de enero de 2005 no se ha explicado de manera coherente con la idea de que fuera un terrorista suicida un mes después."	1
"Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,"	0
"En Irak y Afganistán, Al Qaeda, los talibanes y los grupos asociados seguirán utilizando material de uso militar para construir artefactos explosivos improvisados mientras duren los suministros y sea posible su adquisición."	1
"Se celebrará el lunes 24 de octubre de 2011, a las 10.15 horas."	0
"También hay que recordar que, a pesar de esta amplia base política, la gran mayoría de los miembros de los dos movimientos rebeldes procedían esencialmente de tres tribus, a saber, los Fur, los Masalit y los Zaghawa."	1
"208. El Comité facilitó a la Comisión las cifras de bajas sufridas y de armas robadas entre enero de 2003 y noviembre de 2004. En relación con el ejército, se afirmaba que 937 habían muerto, 2.264 habían resultado heridos y 629 habían desaparecido, y que se habían robado 934 armas. En cuanto a la policía, se afirmaba que 685 personas habían muerto, 500 habían resultado heridas, 62 habían desaparecido y 1.247 armas habían sido robadas. En cuanto al aparato de seguridad e inteligencia, 64 personas murieron, 1 resultó herida, 26 desaparecieron y 91 armas fueron saqueadas."	1
"La víctima quedó embarazada a consecuencia de esta violación y posteriormente dio a luz a un niño."	1
"47. El Equipo de Vigilancia ha intensificado su labor encaminada a establecer vínculos con expertos del mundo académico y de la sociedad civil, a fin de aumentar su comprensión de la naturaleza cambiante de la amenaza que representan Al-Qaida y las personas y entidades asociadas, mediante el diálogo con estudiosos y organismos académicos pertinentes."	0
"\"El Consejo de Seguridad subraya que no se tolerará ningún intento de perturbar el proceso de paz y transición en la República Democrática del Congo, ni siquiera mediante el apoyo a grupos armados."	0
"Se celebrará el jueves 4 de abril de 2002 a las 11.50 horas."	0
"La Organización de Al-Qaida en el Magreb Islámico (AQMI) (QE.T.14.01) ha desarrollado una importante experiencia en el secuestro extorsivo."	1
"8 de mayo de 2006 Incidente violento en Gleno en el que son agredidos agentes de la PNTL del este."	1
"87. La planificación de todas las operaciones militares se realiza en Jartum por el Comité de Jefes de Estado Mayor Conjunto."	1
"4. Mediante la resolución 733 (1992), el Consejo de Seguridad impuso un embargo de armas general y completo a Somalia, y mediante la resolución 751 (1992) el Consejo estableció un Comité para supervisar la aplicación del embargo."	1
"Los miembros también expresaron su determinación de seguir colaborando con el Gobierno para consolidar los avances logrados y garantizar un entorno estable para la gobernanza democrática, el crecimiento económico y la prestación de ayuda humanitaria. Asia"	0
"La MINUSMA pondrá en marcha una revisión de su concepto de Misión a principios de 2015, que guiará la revisión de los conceptos de los componentes militares, policiales y de apoyo complementarios que detallan y apoyan la aplicación del concepto de Misión."	0
"36. África y la región de Asia y el Pacífico representaron el 53% de los secuestros registrados en todo el mundo en 2012, lo que supone un aumento con respecto al 18% de 2004. Oriente Medio representó el 19% de los secuestros registrados en todo el mundo en 2012, frente al 4% en 2008."	1
"Tras el bombardeo, los Janjaweed atacaron, destruyendo casas y saqueando propiedades."	1
"Los frecuentes enfrentamientos entre las tropas de las FARDC y los grupos armados que operan en la zona han causado numerosas víctimas civiles."	1
"Las disposiciones de este reglamento se aplican independientemente de la cantidad o el valor."	0
"Vicepresidencia: Reino Unido de Gran Bretaña e Irlanda del Norte"	0
"En primer lugar, la aplicación efectiva del régimen de sanciones está directamente relacionada con la calidad de la información disponible sobre sus objetivos."	0
"121. Los Janjaweed a los que se refieren la mayoría de las víctimas en el conflicto actual son milicias árabes que asaltan las aldeas de esas víctimas, montados en caballos o camellos, y matan, saquean, queman y violan."	1
"El juez Mezher aceptó la propuesta con las siguientes condiciones. Los vehículos deberían filmarse in situ, estar marcados y numerados: también deberían filmarse durante el transporte y de nuevo a su llegada al cuartel de Helou, donde deberían estar cubiertos y vigilados las veinticuatro horas del día para evitar cualquier manipulación de las pruebas."	0
"31. En lo que respecta a la coordinación interna, muchos Estados asiáticos han creado organismos u órganos centralizados con el mandato de coordinar las actividades antiterroristas y analizar la información de inteligencia conexa, incluso con respecto a la incitación."	0
"Sin embargo, aunque las medidas puedan tener una aplicación limitada en la zona fronteriza entre Afganistán y Pakistán o en las zonas sin gobierno del sur del Sáhara, abordan tres requisitos esenciales de un grupo terrorista: dinero, movimiento y medios para atentar."	0
"La sentencia se espera para el primer semestre de 2008."	0
"6. Tetranitrobenzotriazolobenzotriazol (TACOT) (CAS 25243-36-1);"	0
"La mayoría de las carreteras son pistas de arena o tierra que se vuelven intransitables durante este periodo, cortando grandes secciones del territorio durante largos periodos."	0
"La creciente convergencia entre los métodos de financiación del terrorismo, especialmente a escala local, y otras actividades delictivas, ha hecho aún más difícil distinguir unas de otras."	1
"Sin embargo, el sistema de justicia penal de al menos cinco Estados podría mejorarse para llevar a los terroristas ante la justicia con mayor eficacia."	0
"44. Durante el período que abarca el informe, la situación de seguridad en el nordeste de la República Centroafricana siguió viéndose afectada por los conflictos interétnicos, el bandidaje y la delincuencia transfronteriza. Éstas siguieron siendo las principales amenazas para la seguridad y la estabilidad en las regiones de Vakaga y Haute-Kotto."	1
"Párrafo 2 (a): expulsión de todos los miembros del FRU de Liberia ..."	0
"Un cabecilla pirata somalí, Mohamed Abdi Hassan, conocido como \"Afweyne\", fue detenido en octubre de 2013 en Bruselas. Otro cabecilla pirata, Mohamed Garfanji, fue detenido en agosto de 2014 en Mogadiscio por posesión de armas ilegales y por otros cargos relacionados con la piratería."	1
"En julio de 2005, el 93% de los detenidos estaban en prisión preventiva, y la cifra podría ser ahora incluso mayor."	1
"51. Un posible impedimento para la realización efectiva del debido proceso a través de la Oficina del Defensor del Pueblo es la posibilidad de que existan restricciones de confidencialidad que impidan revelar la identidad del Estado designante al peticionario y a los Estados pertinentes implicados en el caso."	1
"El Servicio Geológico de los Estados Unidos realizó las revisiones iniciales de la base de datos digital y envió un ordenador portátil con la base de datos revisada al Ministerio de Tierras, Minas y Energía en febrero de 2009."	0
"Párrafos 159-160; párrafos 28-31, 161-163."	0
"33. La amenaza planteada por miembros del antiguo ejército disminuyó durante el período que abarca el informe, tras la muerte el 9 de abril del líder autoproclamado Ravix Rémissainthe (véase S/2005/313, párr. 16)."	1
"Debido a una combinación de factores, como la discriminación de género en el acceso a los recursos, la educación y el empleo, la deficiente atención a la salud reproductiva y la exclusión de los procesos de toma de decisiones, las mujeres refugiadas y desplazadas internas constituyen uno de los grupos más vulnerables del mundo."	1
"Las interacciones con la sociedad civil pusieron de manifiesto que la población no comprendía claramente el mandato y la capacidad de la MONUSCO. Entre la población local existía la percepción de que sólo la brigada de intervención podía emprender acciones contundentes para proteger a los civiles, lo cual no es exacto."	1
"28. La Organización Internacional para las Migraciones siguió apoyando el desarrollo del servicio de migración de la policía nacional mediante un amplio programa de capacitación, prestando apoyo técnico jurídico para las revisiones de la ley de inmigración y asilo y ayudando en la instalación de un sistema de información de gestión de fronteras."	0
"En virtud de los apartados 4, 5 y 6: 100% del valor de los bienes que hayan intervenido en la transferencia internacional correspondiente;"	0
"28. La Representante Especial Adjunta del Secretario General declaró que, desde el estallido del conflicto en diciembre de 2013, se habían recibido informes a través del mecanismo de supervisión y presentación de informes que indicaban que ambas partes del conflicto eran responsables de violaciones y abusos contra los niños, incluidos asesinatos y mutilaciones, reclutamiento y utilización y violencia sexual."	1
"Aunque también se han producido ataques por parte de las fuerzas rebeldes, la Comisión no ha encontrado pruebas de que sean generalizados ni de que se hayan dirigido sistemáticamente contra la población civil."	1
"600. Es a la luz de esta normativa jurídica internacional como debe verse la obligación de Sudán de pagar indemnizaciones por todos los crímenes perpetrados en Darfur por sus agentes y funcionarios u órganos de facto."	1
"8. Evacuación y llenado de giroscopios;"	0
"Abierto a la firma en Washington, D.C., Londres y Moscú el 11 de febrero de 1971."	0
"Un Kosovo internamente inestable dificultaría aún más la definición y aplicación de un estatuto futuro viable."	1
"En la región de Bakool, también en Somalia central, los enfrentamientos del 10 y 11 de junio entre milicianos de los clanes Hadamo y Ogaden en la zona de El-Barde se saldaron con al menos 4 muertos y 10 heridos. El 15 de junio, al menos 16 personas murieron y otras 20 resultaron heridas en enfrentamientos entre milicias rivales por derechos sobre tierras y pastos en la misma zona."	1
"Muchos de los informes se refieren al secuestro de mujeres."	1
"(c) Valores residuales 289 - 292 72"	0
"12. Manual de los cursos de mortero RDF de 60 milímetros y 82 milímetros."	0
"Alrededor de 1,8 millones fueron desplazados por la fuerza y se convirtieron en refugiados o desplazados internos. Necesitan protección."	1
"114. El Grupo de Supervisión ha obtenido una grabación de audio en la que Tesfamicael divulga, en marzo de 2013, que varios vehículos fueron entregados a Eritrea bajo la custodia del Departamento de Garajes Gubernamentales de Asha Golgol."	0
"2. Convención de Viena sobre responsabilidad civil por daños nucleares"	0
"El Comité acoge con satisfacción las actividades de la Dirección Ejecutiva del Comité contra el Terrorismo en este ámbito, y anima a la Dirección Ejecutiva a seguir desarrollándolas, dentro de las orientaciones del Comité, profundizando en su marco analítico, incluso mediante la participación de la Dirección Ejecutiva en el grupo de trabajo del Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo relativo a la protección de los derechos humanos en la lucha contra el terrorismo."	0
"Un Estado señaló que había ampliado la base sobre la que las organizaciones terroristas podían figurar en su Código Penal para incluir a las organizaciones que abogan por la comisión de un acto terrorista."	1
"Una vez más tenemos que afirmar que la violencia que ha estallado en el distrito de Gali es una consecuencia lógica de la escalada de violaciones flagrantes de los derechos de la población pacífica por parte del régimen abjasio, que instiga el contrabando de armas y drogas."	1
"En consecuencia, el Secretario General ha calificado los recientes acontecimientos de Zimbabue de \"injusticia catastrófica\"."	0
"Convencido también de que una solución política del conflicto puede hacer avanzar la lucha contra la lacra del terrorismo y las actividades conexas, siempre presentes en la región, y contribuir a erradicarlas;"	1
"Reiterando además la obligación de los Estados miembros de impedir la circulación de grupos terroristas mediante, entre otras cosas, controles fronterizos eficaces y, en este contexto, de intercambiar información rápidamente, mejorar la cooperación entre las autoridades competentes para impedir la circulación de terroristas y grupos terroristas hacia y desde sus territorios, el suministro de armas a los terroristas y la financiación que apoyaría a los terroristas,"	1
"25. El secuestro de niños con fines militares que caracterizó el período de conflicto ha disminuido significativamente durante el período que abarca el informe."	1
"129. La Comisión está convencida de que Oan Kiak y sus hombres participaron en delitos contra la persona y la vida en el control de carretera establecido cerca del Mercado Lama en la tarde del 25 de mayo, como se describe en el párrafo 87 supra."	1
"Proporcionó detalles sobre las violaciones y abusos cometidos contra los niños en Yemen."	1
"A celebrarse el viernes 2 de febrero de 2001, a las 15 horas."	0
"V. Examen por el Grupo de Trabajo del futuro mecanismo residual"	0
"El presente informe aborda diversos aspectos de la cuestión de las armas ligeras, haciendo hincapié en las repercusiones negativas que las armas ligeras ilícitas tienen en la seguridad, los derechos humanos y el desarrollo social y económico, en particular en las zonas en crisis y en las situaciones posteriores a los conflictos."	1
"La visita a Bouaké se produjo un día después del enfrentamiento entre los rebeldes y la fuerza francesa de vigilancia del alto el fuego en Duékoué."	1
"(a) Pérdida de beneficios 144 - 153 41"	0
"Les deseo a todos un bendecido aniversario de la independencia."	0
"En Kenia, 160 presuntos piratas han sido procesados y 4 siguen en juicio."	1
