"","en_ar_DEEP","VerCoop"
"1","""ويقر مجلس الأمن بأن الإرهاب لن يُهزم بالقوة العسكرية وتدابير إنفاذ القانون والعمليات الاستخباراتية وحدها، ويشدد على ضرورة معالجة الظروف المؤدية إلى انتشار الإرهاب، بما في ذلك، على سبيل المثال لا الحصر، الحاجة إلى تعزيز الجهود الرامية إلى الوقاية الناجحة والحل السلمي للصراعات الطويلة الأمد، والحاجة إلى تعزيز سيادة القانون وحماية حقوق الإنسان والحريات الأساسية والحكم الرشيد والتسامح والشمول لتوفير بديل قابل للتطبيق لأولئك الذين قد يكونون عرضة للتجنيد الإرهابي والتطرف المؤدي إلى العنف.",1
"2","62 - ولا تزال معظم الدول تعتمد على النظم المصممة لمكافحة الأشكال الأخرى من الجرائم المالية في التعامل مع تمويل الإرهاب.",0
"3","وإنني على استعداد للعمل بشكل وثيق مع مجلس الأمن، بشكل جماعي، ومع أصحاب المصلحة الرئيسيين، بشكل فردي، لإنهاء هذه الأزمة الخطيرة، واختتام عملية السلام على وجه السرعة، وإعادة تأسيس الأنشطة الإنسانية الحيوية في إريتريا.",1
"4","وكشفت مراجعة شاملة لاحقة للملفات الموجودة في خزانة الأمم المتحدة أن العدد الصحيح لخطابات الاعتماد التي أكملت شركة كوتيكنا جميع الأعمال المتعلقة بوثائق التصديق عليها وقت التسليم كان بالفعل 17 خطابا.",0
"5","1.2 تفكر حكومة جنوب أفريقيا في إصدار التشريع الجديد التالي لتنفيذ الفقرة 2 (أ) إلى (ز) من القرار 1373 (2001):",0
"6","وحتى 23 يونيو/حزيران، عبر أكثر من 1.1 مليون شخص الحدود الليبية إلى تونس ومصر والنيجر والجزائر وتشاد والسودان.",0
"7","42 - وقام معهد الأمم المتحدة الأقاليمي لأبحاث الجريمة والعدالة، بناء على طلب الفريق العامل 2 التابع لفريق الاتصال المعني بالقرصنة قبالة سواحل الصومال وبدعم من حكومة إيطاليا، بتنظيم اجتماعين غير رسميين لفريق الخبراء العامل في عام 2013 من أجل صياغة مجموعة من المبادئ التوجيهية والمعايير وأفضل الممارسات فيما يتعلق باستخدام أفراد الأمن المسلحين المتعاقد معهم من القطاع الخاص على متن السفن التجارية، لاستخدام شركات القطاع الخاص والحكومات المهتمة.",1
"8","يجب أن تكون النتيجة النهائية مستقرة ومستدامة. لذلك لا ينبغي تحديد مواعيد نهائية مصطنعة.",1
"9","35 - ويجب على قوات التحرير الوطنية (حزب تحرير شعب الهوتو - قوات التحرير الوطنية)، التي تشكل تهديدا لأمن بوروندي والمنطقة ككل، أن تنضم إلى معسكر السلام دون تأخير.",1
"10","ولا تزال الحالة الإنسانية في الصومال تشكل مصدرا للقلق البالغ.",0
"11","صادرات النفط أسعار فوب 2.9 2.9 3.0 3.8",0
"12","وجاء في الرسالة أن اللجنة تدرس التوصيات الواردة في التقرير بهدف تحسين تدابير الجزاءات المقررة وتنفيذها.",1
"13","6 - يشير إلى الالتزامات المشار إليها في الفقرة 2 (هـ) من منطوق القرار 1373 (2001)، ويشير إليها بشكل خاص فيما يتعلق بالهجمات الإرهابية ضد موظفي الأمم المتحدة وحفظة السلام ومنشآتها؛",1
"14","2. أنشئت المديرية التنفيذية للجنة مكافحة الإرهاب لفترة أولية تنتهي في 31 كانون الأول/ديسمبر 2007، وهي تخضع لمراجعة شاملة من جانب مجلس الأمن بحلول 31 كانون الأول/ديسمبر 2005.",0
"15","وبعبارة أخرى، فقد ظهر الآن في القانون الدولي حق ضحايا الانتهاكات الجسيمة لحقوق الإنسان (وخاصة جرائم الحرب والجرائم ضد الإنسانية والإبادة الجماعية) في الحصول على تعويضات (بما في ذلك التعويض) عن الأضرار الناجمة عن تلك الانتهاكات.",0
"16","افتتحت الجلسة الساعة 3.25 بعد الظهر.",0
"17","الدستور يجعل رئيس الجمهورية ضامن الوحدة الوطنية.",0
"18","والحقيقة أنه باستثناء بن لادن والزرقاوي والملا محمد عمر وغيرهم من الإرهابيين المعروفين، فإن عامة الناس قد لا يعرفون سوى القليل نسبياً عن العديد من الأفراد المدرجين في القائمة.",0
"19","23 - منذ وصول ممثلي الخاص إلى نيروبي في 27 أيار/مايو 2005، أكد للقادة في المنطقة دون الإقليمية وغيرهم ضرورة اتباع نهج منسق تجاه القادة الصوماليين وحثهم على الدخول في حوار والامتناع عن القيام بأي عمل عسكري من أجل التوصل إلى حل. - الخلافات داخل المؤسسات الاتحادية الانتقالية. وفي 10 حزيران/يونيه، التقى في كمبالا بالرئيس يوري موسيفيني، رئيس أوغندا، وفي 29 حزيران/يونيه أجرى محادثات مع الرئيس إسماعيل عمر جيله، رئيس جيبوتي، والأمين التنفيذي للهيئة الحكومية الدولية المعنية بالتنمية في جيبوتي.",1
"20","11 - يشجع في هذا الصدد حكومة بوروندي على القيام، بالتعاون مع جميع الشركاء الدوليين، بوضع استراتيجية لنزع السلاح والتسريح وإعادة الإدماج وإرساء الأسس اللازمة لإعادة الإدماج الاجتماعي والاقتصادي المستدام للجنود المسرحين والمقاتلين السابقين واللاجئين العائدين، والنازحون وغيرهم من الفئات الضعيفة المتضررة من النزاع، ولا سيما النساء والأطفال، وفقا لقرارات مجلس الأمن 1325 (2000)، و1612 (2005)، و1674 (2006)، و1820 (2008)؛",1
"21","11 - يطلب إلى الأمين العام أن يدرج في تقريره المقبل تقييما شاملا لبرامج نزع السلاح والتسريح وإعادة الإدماج وإعادة التوطين وإعادة الإدماج التابعة للبعثة، وأن يقدم، بالتنسيق الوثيق مع مبعوثه الخاص إلى منطقة البحيرات الكبرى، توصيات بشأن التعديلات الممكنة اللازمة لزيادة فعاليتها وتوفير الموارد لها. والتنسيق مع العنصر العسكري في بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية؛",1
"22","وقد أدى ذلك إلى زيادة إمكانية استخدام الحظر على الأسلحة كجزء من استراتيجية فعالة لبناء السلام بعد انتهاء الصراع.",0
"23","لقد تحدث العديد من الزعماء الدوليين، بما في ذلك رؤساء الدول وممثلي الأمم المتحدة وأغلبية أعضاء مجلس الأمن، بوضوح ضد هذا النوع من الأساطيل إلى غزة على مدى العام الماضي، مؤكدين على الحاجة إلى نقل الإمدادات الإنسانية إلى المنطقة فقط من خلال القنوات القائمة.",1
"24","وفي العديد من الحالات، اختُطف أو اختفى النساء والرجال، وكثيرون منهم دون أن يتركوا أي أثر.",0
"25","ولكن هذا لا ينبغي أن ينتقص من التنفيذ الكامل للقرار 1559 (2004) وجميع قرارات مجلس الأمن الأخرى المتعلقة بلبنان، والتي تظل أفضل وسيلة لضمان ازدهار لبنان واستقراره على المدى الطويل كدولة ديمقراطية.",0
"26","ويشدد على أهمية بناء قدرات الشرطة الوطنية الفعالة والمهنية في هايتي.",0
"27","القانون رقم 42 تاريخ 31/12/1975",0
"28","القضاء على معالجة HTTD للمواد المحفورة؛",0
"29","""ويعترف مجلس الأمن بالجهود التي تبذلها جامعة الدول العربية للمساهمة في المساعي الجماعية الرامية إلى تسوية الصراعات في الشرق الأوسط بالوسائل السلمية، فضلا عن تعزيز الاستجابات الدولية للتحولات التي تشهدها المنطقة، ويشجعها كذلك، ويؤكد من جديد في الوقت نفسه التزامه القوي بقرار مجلس الأمن. سيادة واستقلال ووحدة وسلامة أراضي دول المنطقة، ومقاصد ومبادئ الميثاق.",1
"30","وباستثناء دولة واحدة لم تقدم سوى قدر ضئيل للغاية من المعلومات ذات الصلة، فإن جميع دول شرق آسيا أعضاء في العديد من المنظمات أو الآليات الإقليمية للتعاون الدولي في مجال مكافحة الإرهاب، وقد سعت إلى تعزيز هذه العلاقات.",0
"31","وعلاوة على ذلك، اتفق المشاركون على تكثيف الضغط من أجل نزع سلاح الميليشيات العاملة في شرق جمهورية الكونغو الديمقراطية والتفاوض على معاهدات ثنائية لتسليم المجرمين فيما يتعلق ببقايا زعماء الميليشيات.",1
"32","ج. دعم الأشخاص المتأثرين بالنزاع",0
"33","وترى اللجنة بالطبع أن جميع الأشخاص، بما في ذلك المتهمون بارتكاب جرائم خطيرة، ينبغي اعتبارهم أبرياء حتى تثبت إدانتهم بعد محاكمة عادلة.",0
"34","المقرر عقدها يوم الأربعاء، ٢٠ أيار/مايو ١٩٩٨، الساعة ١٥/١٣",0
"35","ومن أجل ضمان المساءلة عن الجرائم المرتكبة خلال الأحداث الأخيرة، من الضروري أن تكون التحقيقات والملاحقات القضائية والمحاكمات نزيهة وخالية من أي تدخل سياسي.",0
"36","يهيب بجميع الأطراف المعنية ضمان إدماج حماية وحقوق ورفاه الأطفال المتأثرين بالصراعات المسلحة على وجه التحديد في جميع عمليات السلام واتفاقات السلام وخطط وبرامج الإنعاش وإعادة الإعمار بعد انتهاء الصراع.",1
"37","وفي هذا الصدد، ستواصل المديرية التنفيذية مطابقة الاحتياجات ذات الأولوية المحددة مع برامج الجهات المانحة والمزودة الحالية والمحتملة من أجل تعزيز قدرة الدول الأعضاء على مكافحة الإرهاب وتعزيز الحوار بين مجتمع المانحين والدول المتلقية.",1
"38","يكاد يكون هناك قبول عالمي بأن مشاكل أفغانستان لا يمكن حلها بالسبل العسكرية وحدها.",1
