"","en_ar_TRANSFORMERS","MatConf"
"1","ومن بين هؤلاء المحتجزون المحتجزون لدى جهاز الأمن الوطني والاستخبارات في مكان احتجاز سري في الخرطوم اكتشفته اللجنة وفتشته.",1
"2","رسالة مؤرخة ٩ تشرين الثاني/نوفمبر ١٩٩٨ موجهة",0
"3","وتوصي اللجنة بشدة بأن تنشئ الدول الأعضاء مثل هذه الهيئات الوطنية لتنسيق ومناقشة مسائل مكافحة الإرهاب.",0
"4","مكان الميلاد: غاغنوا، كوت ديفوار",0
"5","18 - وخلال الفترة المشمولة بالتقرير، كان للهجمات التي شنتها جماعات متطرفة في شمال مالي وتصاعد العنف في شمال شرق نيجيريا أثر سلبي على الأمن والاستقرار في المنطقة، وكان من دواعي القلق بوجه خاص أثر العنف المتصل بجماعة بوكو حرام في الجزء الجنوبي من النيجر وفي أقصى شمال الكاميرون.",1
"6","ومما لا شك فيه أن الجنود من كلا الجانبين لقوا مصرعهم في القتال، وعلى الأرجح، أولا، قوات المتمردين ثم القوات الحكومية التي قامت بأعمال انتقامية.",1
"7","وعندما بدأت القوات الدولية في إلقاء القبض على أشخاص، قام موظفو القطاع القضائي في القطاع القضائي بجلسات استماع قبل المحاكمة والاحتجاز.",1
"8","وقد أعيدت تسمية القوات المسلحة التيمورية التي تشكلت مؤخرا إلى القوات المسلحة التيمورية في محاولة لربط قوة الدفاع المقبلة بتاريخ الجبهة الثورية لتيمور الشرقية السابقة لتيمور الشرقية، والتغلب على انسحاب القوات المسلحة للتحرير الوطني لتيمور الشرقية من الجبهة الثورية لتيمور الشرقية - ليشتي في عام 1987 بواسطة زانانا غوسماو.",0
"9","ويبرهن الهجوم الذي وقع في أيلول/سبتمبر 2013 على مركز ويستغيت التجاري في نيروبي على قدرات حركة الشباب حتى بعد أن فقدت أرضها في الصومال.",1
"10","الحالة في ليبيا (22 شباط/فبراير 2011؛ 28 تموز/يوليه 2011)",0
"11","وفيما يتعلق بهذه المطالبة، طبق الفريق نفس الشروط الاستدلالية المحددة، حيثما انطبقت، كتلك الواردة في الفقرات من 215 إلى 217 من تقرير الدفعة الأولى من المطالبات من الفئة هاء/واو.",0
"12","ويوجد اثنان من المشتبه فيهم في الهجوم رهن الاحتجاز في السجن الذي أنشئ في إطار برنامج مكافحة الجريمة البحرية التابع لمكتب الأمم المتحدة المعني بالمخدرات والجريمة.",1
"13","رابعا - مركز جمهورية الكونغو الديمقراطية",0
"14","19-30-2200 عشاء يستضيفه سفير تركيا",0
"15","وأشار المبعوث الشخصي إلى أن الحكومة المغربية أعربت في عدد من المناسبات عن خيبة أملها إزاء مضمون التقرير الأخير والإحاطة الإعلامية الأخيرة التي قدمها إلى المجلس في المشاورات غير الرسمية التي جرت في نيسان/أبريل 2014.",0
"16","ويساورنا القلق لأن نجاح الانتخابات الرئاسية ينطوي على خطر التآكل بسبب عدم إحراز تقدم في إنشاء الحكومة.",0
"17","11 - يقرر أن يبقي المسألة قيد نظره.",0
"18","62 - وفيما يتعلق بالمهام المتصلة بالمصفوفة، قال إن موافقة اللجنة على شكل جديد خطوة هامة إلى الأمام.",0
"19","وفي كثير من الحالات، اختُطفت نساء ورجال أو اختُطفوا، وكثير منها لم يكن له أي أثر.",1
"20","الموقع: صندوق بريدي 16595365، طهران، إيران",0
"21","ويقدم الفريق تقريرا عن التقدم الذي أحرزه المجتمع الدولي في تقييد حركة الإرهابيين ومؤيديهم، بما في ذلك المبادرة المشتركة الأخيرة للإنتربول ومجلس الأمن، التي أسفرت عن إصدار إشعار دولي، مستوفى بهوية الأشخاص المدرجين في القائمة الموحدة ووصفهم وصورهم الفوتوغرافية وبصماتهم.",0
"22","وفي 11 تشرين الثاني/نوفمبر 2014، نصبت قوات النظام كميناً لقرية لحونة، فقتلت 13 شخصاً.",1
"23","- عبد الرحمن، محمد عقبل (المعروف باسم أبو جبريل؛ الرحمن، محمد إقبال؛ عبد الرحمن، محمد إقبال؛ عبد الرحمن، محمد إقبال؛ أبو جبريل عبد الرحمن؛ فيكير الدين معطي؛ فيهر الدين معقي)",0
"24","ولا تعتبر محكمة دولية مناسبة بالنظر إلى أن الجرائم قيد النظر تتعارض مع القانون المحلي.",1
"25","المقرر عقدها يوم الجمعة 15 شباط/فبراير 2013، الساعة 45/14",0
"26","ومن شأن نتائج هذا الحوار أن تعزز مناخ الاستقرار.",0
"27","”ويدين مجلس الأمن بأشد العبارات الهجوم الانتحاري الإرهابي الذي وقع في 19 آب/أغسطس 2008 في عسر، الجزائر، والذي أدى إلى سقوط العديد من القتلى والجرحى في أكاديمية تدريب الدرك، ويعرب عن عميق تعاطفه وتعازيه لضحايا هذا العمل الإرهابي الشنيع ولأسرهم ولشعب وحكومة الجزائر.",1
"28","وعلى سبيل المثال، تولي بوركينا فاسو أهمية لمكافحة التطرف العنيف وتعمل على التصدي لمحاولات تجنيد الإرهابيين.",1
"29","المقرر عقدها يوم الخميس، 23 شباط/فبراير 2006، الساعة 15/10",0
"30","والهزيمة النسبية أو المطلقة للأحزاب القومية التقليدية لا تعني، بطبيعة الحال، هزيمة للسياسة القومية.",0
"31","وتحث الولايات المتحدة الأمم المتحدة والشرطة الوطنية الهايتية على مضاعفة جهود التدقيق.",0
"32","ويتمثل الخطر الرئيسي في أن تصبح أفريقيا معسكرا للتدريب وقاعدة للتجنيد ونقطة عبور للإرهابيين ومركزا لتعبئة الأموال لأنشطة غير مشروعة أخرى.",0
"33","وفي سياق احتمال فرض جزاءات على الاغتصاب وغيره من أعمال العنف الجنسي، دعا المجلس بعثات الأمم المتحدة ذات الصلة وهيئات الأمم المتحدة إلى تبادل جميع المعلومات ذات الصلة مع لجان الجزاءات ذات الصلة التابعة لمجلس الأمن.",1
"34","وأدمجت عدة عمليات سلام حديثة تحليلا للجريمة العابرة للحدود في هياكلها للتخطيط للبعثات والتحليل المشترك للبعثات - ولا سيما البعثة المتكاملة.",1
"35","وإذ يحيط علما بتقرير الأمين العام عن حماية المدنيين المؤرخ 29 أيار/مايو 2009 (S/2009/277) ومرفقه المتعلق بالقيود المفروضة على إيصال المساعدة الإنسانية، اللذين يحددان التحديات الأساسية التي تواجه توفير حماية فعالة للمدنيين، وهي تعزيز الامتثال للقانون الدولي؛ وتعزيز امتثال الجماعات المسلحة من غير الدول لالتزاماتها بموجب القانون الدولي؛ وتعزيز الحماية من خلال بعثات الأمم المتحدة لحفظ السلام وغيرها من البعثات المعنية التي تضطلع بها الأمم المتحدة بمزيد من الفعالية وتحسين مواردها؛ وتعزيز إمكانية إيصال المساعدة الإنسانية؛ وتعزيز المساءلة عن الانتهاكات،",0
"36","ومن الواضح أن السكان لا يتطلعون فحسب، بل يطالبون أيضا بأن تحقق حكومات أكثر تعددية وتمثيلا فوائد ملموسة للمواطنين.",0
"37","المقرر عقدها يوم الخميس 23 كانون الثاني/يناير 2014، الساعة 10:00",0
"38","12 - ووفقا لتوجيهات اللجنة في مجال السياسات المتعلقة بحقوق الإنسان، ستواصل المديرية التنفيذية مراعاة الجوانب المتعلقة بحقوق الإنسان من قراري مجلس الأمن 1373 (2001) و 1624 (2005) في أعمالها.",0
"39","ألف - الأحكام الابتدائية التي لم يبت فيها حتى 15 تشرين الثاني/نوفمبر 2013",0
"40","وكان ما مجموعه 81 في المائة من الضحايا من المدنيين.",0
"41","(المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية)",0
"42","ووفقاً لمصادر رسمية أسترالية، يشمل التدريب صنع القنابل وتقنيات التفجير الانتحاري.",1
"43","وهذا يشير إلى نجاح نظام الجزاءات الذي يشير إلى أن عددا كبيرا من الطالبان قد غير سلوكهم على ما يبدو.",1
"44",":: 7 أيار/مايو 2005، يجتمع البرلمان لاعتماد التغييرات المقترح إدخالها على قانون الانتخابات لعام 2000.",0
