"","en_ar_TRANSFORMERS","VerConf"
"1","وإذ يكرر الإعراب عن قلقه البالغ إزاء استمرار الأعمال القتالية التي تقوم بها الميليشيات والجماعات المسلحة الأجنبية في الجزء الشرقي من جمهورية الكونغو الديمقراطية، وإزاء ما تشكله هذه الأعمال من خطر على إجراء الانتخابات في جمهورية الكونغو الديمقراطية،",1
"2","173 - ومع ذلك، تلاحظ اللجنة وجود أوجه قصور في استعداد مكتب الأمم المتحدة في تيمور - ليشتي ونهجه إزاء هذا التدخل.",1
"3","2 - يعرب عن بالغ القلق إزاء تزايد الصراعات المحلية، وتزايد الإجرام والعنف وأثرهما على المدنيين، وبخاصة إزاء الزيادة الحادة في الاشتباكات بين القبائل، ويدعو جميع الأطراف إلى التعجيل بوضع حد لهذه الاشتباكات والسعي إلى المصالحة والحوار...",0
"4","فقد شهد أيلول/سبتمبر انتهاكات من الجانبين، وهجمات وهجمات مضادة، وانتقاما وانتقاما.",0
"5","وإذ يدين جميع الهجمات ضد حفظة السلام التابعين للأمم المتحدة والعاملين في مجال تقديم المساعدة الإنسانية، بغض النظر عن مرتكبي هذه الهجمات، وإذ يشدد على وجوب تقديم المسؤولين عن هذه الهجمات إلى العدالة.",1
"6","3- [يحث] حكومة [البلد المتأثر] على ضمان التنفيذ الكامل ل ""سياستها القائمة على عدم التسامح إطلاقاً"" فيما يتعلق بالانضباط وانتهاكات حقوق الإنسان، بما في ذلك العنف الجنسي والجنساني، التي ترتكبها عناصر من [القوات المسلحة]، ويحث كذلك على إجراء تحقيق شامل في جميع التقارير المتعلقة بهذه الانتهاكات، بدعم من [البعثة]، وتقديم جميع المسؤولين عنها إلى العدالة من خلال عملية قوية ومستقلة.",1
"7","فالبيانات مثل ""الشعب الفلسطيني لا يحب أطفاله"" أو ""الشعب الفلسطيني يرسل أطفاله للموت بسبب كرهه لإسرائيل"" هي تصريحات مليئة بالعنصرية وتعكس نوعاً من المواقف التي ينبغي رفضها عن غير قصد - وأنا أحاول أن أفعل ذلك الآن.",1
"8","غير أن العملية بينت أيضا مدى أهمية التحديات التي لا تزال تواجه قطاع الأمن في ليبريا، ولا سيما فيما يتعلق بقدرات اللوجستيات والاتصالات والتنقل للشرطة ودائرة الهجرة.",1
"9","”ويشدد مجلس الأمن على أن جميع المدنيين المتضررين من الصراعات المسلحة، بمن فيهم الذين يعانون من الخسائر الناجمة عن أعمال مشروعة بموجب القانون الدولي، يستحقون المساعدة والاعتراف فيما يتعلق بكرامتهم الأصيلة كبشر.",1
"10","ولا يزال الأفراد والخلايا المرتبطة بتنظيم القاعدة والمنتسبون إليه يبتكرون فيما يتعلق بالأهداف والتكتيكات والتكنولوجيا.",1
"11","يدين بقوة جميع انتهاكات القانون الدولي الساري المرتكبة ضد النساء والفتيات في حالات النزاع المسلح وحالات ما بعد انتهاء الصراع، ويطالب جميع أطراف الصراعات بوقف هذه الأعمال فورا، ويشدد على مسؤولية جميع الدول عن وضع حد للإفلات من العقاب ومحاكمة المسؤولين عن جميع أشكال العنف المرتكب ضد النساء والفتيات في الصراعات المسلحة، بما في ذلك الاغتصاب وغيره من أشكال العنف الجنسي.",1
"12","65- ويرد في مرفق هذا التقرير الهيكل التنظيمي ذي الصلة.",0
"13","43 - وسعيا إلى تحقيق هذه الأهداف، وثقت البعثة حالات واسعة النطاق من الاعتقالات غير القانونية وسوء المعاملة والاحتجاز المطول قبل المحاكمة.",1
"14","وقد رفضت مجموعة البرلمانيين المنشقة عملية غاروي، وأصدرت اقتراحا بالمضي قدما بالانتخابات الرئاسية من تموز/يوليه إلى 30 نيسان/أبريل من هذا العام.",1
