"","en_ar_TRANSFORMERS","VerCoop"
"1","9 - وأعقب ذلك محادثات موانزا التي جرت في 14 أيار/مايو 2000 بين رئيسي رواندا وأوغندا، اللذين اتفقا أيضا على نزع السلاح.",1
"2","ويمكن توقع حالات صعبة في جميع أنحاء البلد.",0
"3","وفي المستقبل، سيتعين على هذه المنظمات الإقليمية - ولا سيما الاتحاد الأوروبي - أن تؤدي أبرز دور في كوسوفو.",1
"4","وفي بيان صحفي أدلى به الرئيس، أعرب أعضاء المجلس عن قلقهم البالغ إزاء الحالة الإنسانية الخطيرة، لأن القتال الذي نشب مؤخرا أدى إلى زيادة انتهاكات حقوق الإنسان وتشريد السكان من جديد.",0
"5","وينبغي تقديم الدعم لعملية إصلاح قطاع العدل، في شراكة وثيقة مع فريق الأمم المتحدة القطري، كما ينبغي دعم إنشاء وتعزيز آليات المساءلة داخل قوات الأمن والدفاع.",1
"6","ورغم أن اللجنة لا تقبل أن رئيس الوزراء السابق أصدر تعليمات إلى راي لوس في الاجتماع المعقود في 8 أيار/مايو ""بإنهاء"" خصومه السياسيين، فإن اللجنة مقتنعة، استنادا إلى جميع المعلومات المعروضة عليها، بوجود شبهة معقولة بأن رئيس الوزراء السابق كان على الأقل على علم بتوزيع أسلحة الشرطة الوطنية على المدنيين.",0
"7","10 - وقد أسفرت الأحداث التي وقعت في أبيدجان فيما يتصل بالمسيرة المزمعة في 25 آذار/مارس عن انتهاكات جسيمة لحقوق الإنسان.",0
"8","وأشارت إحدى الدول إلى خطة واسعة النطاق لمناهضة التطرف، اعتمدت في عام 2006، وتهدف إلى مكافحة التطرف مع حماية القيم الديمقراطية أيضاً.",1
"9","167 - وسنت جميع دول المنطقة دون الإقليمية قوانين للهجرة وجوازات السفر لتنظيم أمن الهجرة ووثائق السفر ووضعت إجراءات لتحديد الهوية الحقيقية للأشخاص قبل إصدار وثائق الهوية.",0
"10","5 - يشدد على أن الأزمة في كوت ديفوار لا يمكن حلها إلا عن طريق الحوار والتشاور، بدعم من المجتمع الدولي، ويحث المجلس الطرفين على التحلي بأقصى درجات ضبط النفس والامتناع عن أي استخدام للقوة أو أي عمل انفرادي، الأمر الذي لن يؤدي إلا إلى زيادة تعقيد البحث عن حل؛",1
"11","وإذ يرحب بإنشاء مكتب أمين المظالم عملا بالقرار 1904 (2009) وبالدور الذي يضطلع به منذ إنشائه، وإذ يلاحظ الدور الهام الذي يضطلع به أمين المظالم في تحسين الإنصاف والشفافية، وإذ يشير إلى التزام مجلس الأمن الراسخ بكفالة تمكين مكتب أمين المظالم من مواصلة الاضطلاع بدوره بفعالية، وفقا لولايته، وإذ يشير أيضا إلى البيان الرئاسي لمجلس الأمن (S/PRST/2011/5) المؤرخ 28 شباط/فبراير 2011،",1
"12","13 - تشجع الدول الأعضاء في الأمم المتحدة على التعاون في حل جميع المسائل المعلقة بغية اعتماد مشروع الاتفاقية الشاملة المتعلقة بالإرهاب الدولي ومشروع الاتفاقية الدولية لقمع أعمال الإرهاب النووي بتوافق الآراء؛",1
"13","ويسّر الفريق العامل مؤتمرا دوليا بشأن الاستراتيجيات الوطنية والإقليمية لمكافحة الإرهاب وشارك في رئاسته، حدد المشاركون فيه مجموعة من المبادئ لكي تنظر فيها الدول الأعضاء والمنظمات الإقليمية عند وضع استراتيجيات كل منها.",1
"14","وإذ يشجع الطرفين، في هذا السياق، على إبداء مزيد من الإرادة السياسية من أجل التوصل إلى حل، بما في ذلك عن طريق توسيع نطاق مناقشتهما لمقترحات كل منهما،",1
"15","(ج) يهيب كذلك بجميع الأطراف المدرجة أسماؤها في مرفقات تقرير الأمين العام عن الأطفال والنزاع المسلح أن تتصدى لجميع الانتهاكات والاعتداءات الأخرى المرتكبة ضد الأطفال وأن تتعهد بالتزامات وتدابير محددة في هذا الصدد؛",1
