"","en_ar_DEEP","MatConf"
"1","الحالة في الشرق الأوسط (انظر S/7913، S/7923، S/7976، S/8000، S/8048، S/8066، S/8215، S/8242، S/8252، S/8269، S/ 8502، S/8525، S/8534، S/8564، S/8575، S/8584، S/8595، S/8747، S/8753، S/8807، S/8815، S/8828، S/8836، S/8885، S/8896، S/8960، S/9123، S/9135، S/9319، S/9382، S/9395، S/9406، S/9427 وCorr.1، S/9449، S/ 9452، S/9805، S/9812، S/9930، S/10327، S/10341، S/10554، S/10557، S/10703، S/10721، S/10729، S/10743، S/10770/ Add.4، S/10855/Add.15، 16، 23، 24، 29، 30، 33، 41، 43 و44؛ S/11185/Add.14-16، 21، 42/Rev.1 و47؛ S/11593/Add.15، 21، 29، 42 و49، S/11935/Add.21، 42 و48؛ S/12269/Add.12، 13، 21، 42 و48؛ 10، 11، 17، 21، 37، 39، 42، 47 و48؛ S/13033/Add.2، 16، 19، 21، 23، 34، 47 و50؛ 21، 24-26، 33، 47 و50؛ S/14326/Add.10، 11، 20، 24، 28، 29، 47 و50؛ S/14840/Add.8، 21-25، 27، 30- 33 و37 و42 و48؛S/15560/Add.3، 21، 29، 37، 42، 45، 47 و48؛ 40 و47؛ S/16880/Add.8-10، 15، 20، 21، 41 و46؛ S/17725/Add.2، 15، 21، 28، 35، 38، 43 و 47؛ S/18570/Add.2، 21، 30 و 47؛ S/19420/Add.2-4، 18، 19، 22 وCorr.1، 30، 48 و50؛ S/20370/Add.4، 12، 16، 21، 30، 32، 37، 44، 46، 47 و51؛ S/21100/Add.4، 21، 30 و 47؛ S/22110/Add.4، 21، 30 و 47؛ S/23370/Add.4، 7، 21، 30 و 47؛ S/25070/Add.4، 21، 30 و 48؛ S/1994/20/Add.3، 20، 29 و 47؛ S/1995/40/Add.4، 21، 29 و 47؛ S/1996/15/Add.4، 15، 21، 30 و 47؛ S/1997/40/Add.4، 21، 30 و 46؛ S/1998/44/Add.4، 21، 30 و 47؛ S/1999/25/Add.3، 20، 29 و 46؛ S/2000/40/Add.4، 15، 20، 21، 24، 29 و 47؛ S/2001/15/Add.5، 22، 31 و 48؛ S/2002/30/Add.4، 21، 30 و 50؛ S/2003/40/Add.4، 25، 30 و 51؛ S/2004/20/Add.4، 26، 30، 35، 42 و 50؛ S/2005/15/Add.3، 6، 13، 16، 17، 22-24، 29، 42، 43، 49 و50؛ و S/2006/10/Add.3، 4، 10، 12، 15، 19 و 23)",0
"2","مسجل لدى أمانة اللجنة: 37",0
"3","118 - بعض الظروف الأخرى التي يجب أخذها في الاعتبار فيما يتعلق بمرحلة التخطيط للجريمة هي إجراءات المراقبة التي استهدفت السيد الحريري والتي قامت بها قوى الأمن الداخلي والتنصت على هواتف السيد الحريري من قبل جهاز المخابرات العسكرية (انظر القسم المعنون ""التنصت على هاتف الحريري"" ).",1
"4","وقد تكون لدى الجماعات الإرهابية وغيرها من الجماعات المسلحة من غير الدول التي يمكنها الوصول إلى الأسواق الإجرامية عبر الحدود حوافز أضعف للخروج من النزاع والدخول في تسوية سياسية.",1
"5","وقد أدى دفع مبالغ ضخمة للفدية إلى تنظيم القاعدة والجماعات التابعة له في السنوات الأخيرة إلى جعل الاختطاف تكتيكاً أساسياً للقاعدة.",1
"6","تفكيك ونزع سلاح جميع الجماعات المسلحة، بما في ذلك ما يسمى بالقوات الموازية، مع المراعاة الواجبة لإمكانية دمج أفراد هذه القوات في الهياكل الأمنية النظامية للدولة، على أساس إعادة تدريبهم والتزامهم الكامل بمعايير حقوق الإنسان الدولية المعمول بها والمواثيق الدولية. القانون الإنساني;",0
"7","'3` التعاون مع المنظمات الدولية، بما في ذلك لجان مجلس الأمن المنشأة عملا بالقرارين 1267 (1999) و 1373 (2001)؛",0
"8","مذكرة شفوية مؤرخة 7 نيسان/أبريل 2006 موجهة من البعثة الدائمة لترينيداد وتوباغو لدى الأمم المتحدة إلى رئيس اللجنة",0
"9","2. الوضع في الشرق الأوسط.",0
"10","وبسبب تصاعد أعمال العنف، تم إغلاق معبر كارني في الفترة ما بين 15 و20 مايو/أيار، ولم يُعاد فتحه إلا بشكل متقطع منذ ذلك الحين.",0
