"","en_ar_DEEPL","VerCoop"
"1","من المستحيل وصف جميع حوادث القتل التي وثقتها اللجنة في هذا التقرير.",0
"2","كما التزموا أيضًا بالتحقق من أن جميع المجندين فوق سن 18 عامًا.",0
"3","عملاً بالمادة 15 من النظام الأساسي، يكون المسجل مسؤولاً عن إدارة وخدمة فروع الآلية.",0
"4","ومع ذلك، وبالنظر إلى أهمية هؤلاء الأشخاص بالنسبة ليونيتا، ستبقي الآلية المسألة قيد نظرها.",0
"5","يتم تغطية تكاليف اللجنة من الأموال المخصصة للتكاليف الإدارية والتشغيلية للبرنامج.",0
"6","217. وستشجع اللجنة، على سبيل المثال، على وضع برنامج وطني للتعويضات. وهذا لا يعني مجرد التعويض النقدي. وبدلاً من ذلك، ينبغي النظر في مجموعة من التدابير اللازمة، بما في ذلك الاعتراف بالخطأ، والتعويض عن الأضرار التي يمكن تقييمها اقتصادياً، والكشف العلني الكامل عن الأحداث المعنية (بما في ذلك من خلال نشر هذا التقرير)، ووضع برامج لإعادة التأهيل، وفرض عقوبات إدارية على الأشخاص داخل المؤسسات التي تتحمل المسؤولية.",1
"7","وأدار رئيس الفريق، السيد خوسيه راموس - هورتا، المناقشات نيابة عن الفريق، مشيراً إلى أن الفريق سيركز خلال المرحلة الأولى من عمله على الاستماع إلى آراء جميع الدول الأعضاء باعتبارها مساهمين جماعياً في السلام والأمن، على أن تشمل المشاورات أيضاً لجان الجمعية العامة والمنظمات الإقليمية والبلدان المساهمة بقوات عسكرية وقوات شرطة.",1
"8","لا تخضع عمليات نقل المواد ذات الاستخدام المزدوج الأقل حساسية داخل المجتمع لتراخيص التصدير.",0
"9","لذلك سوف يستغرق الأمر بعض الوقت قبل أن تكون هناك خدمة صحية تيمورية كاملة.",0
"10","كما يجب على إسرائيل أن تمتنع عن اتخاذ إجراءات أحادية الجانب في القدس من شأنها تغيير الوضع الراهن أو تقويض الثقة.",0
"11","20 و21 نوفمبر 2014، فرانكفورت، ألمانيا",0
"12","وكان من بين الاجتماعات التي حضرها مؤتمران أفضيا إلى طلب محدد إلى مكتب الأمم المتحدة المعني بالمخدرات والجريمة لتنظيم حلقات عمل لإعداد التقارير للدول من أفريقيا ومنطقة البحر الكاريبي/ أمريكا اللاتينية التي تدين بتقديم تقارير إلى واحدة أو أكثر من لجان مجلس الأمن الثلاث التي تعنى بمكافحة الإرهاب.",1
"13","شركة ميريل لينش وشركاه المحدودة (جزء مقطوع من 4002249)",0
"14","تم إرسال البروتوكولات بشكل يومي إلى اللواء عازار وإلى قائد الجيش العماد ميشال سليمان.",1
"15","في الخرطوم، أجرت اللجنة مقابلات مع محتجزين محتجزين بمعزل عن العالم الخارجي من قبل قوات الأمن في ""بيوت الأشباح"" في ظروف بغيضة.",1
"16","13. ستنظم اللجنة اجتماعا خاصا مفتوحا أمام جميع الأعضاء وغيرهم من أصحاب المصلحة المعنيين للاحتفال بالذكرى السنوية العاشرة لاتخاذ القرار 1373 (2001) وإنشاء اللجنة، وفقا للقرار 1963 (2010).",1
"17","وحتى عندما يكون هناك أساس قانوني للتعاون في المسائل المتصلة بمكافحة الإرهاب بين الدول، فإن تحقيق التعاون العملي لا يزال يشكل تحديا. والأسباب ذات طبيعة تقنية وسياسية على حد سواء.",1
"18","الطبيعة المحددة الأخرى للقانون:",0
"19","وخلال عام 2013، أُحيلت القائمة في 8 نيسان/أبريل (SCA/2/13 (13))، و 29 آب/أغسطس (SCA/2/13 (26))، و 30 تشرين الأول/أكتوبر (SCA/2/13 (35))، وستحال مرة أخرى في 31 كانون الأول/ديسمبر.",0
"20","62. وفيما يتعلق بالمهام المتصلة بالمصفوفة، كان اتفاق اللجنة على شكل جديد خطوة هامة إلى الأمام.",1
"21","وفي هذا السياق، وعلى الرغم من تناول مكافحة الإرهاب بشكل أكثر جدية من قبل الأمم المتحدة بشكل عام ومجلس الأمن بشكل خاص، إلا أن هناك أدلة محدودة على وجود جهد مشترك حقيقي لخلق استجابة دولية أكثر توحداً للإرهاب.",0
"22","وتنظر حاليا لجنة مجلس الأمن المنشأة عملا بالقرار 1267 (1999) بشأن تنظيم القاعدة وحركة الطالبان وما يرتبط بهما من أفراد وكيانات في التقرير المتعلق بنتائج استعراض الأسماء المدرجة في القائمة الموحدة الوارد وصفها في الفقرة 25 من القرار 1822 (2008).",1
"23","وهي ممتنة لها لأنها وفرت المأوى لعدة مئات الآلاف من اللاجئين في السنوات الأخيرة.",0
"24","نفقات الخدمات العامة (063,549,549,237,237 ريال سعودي)",0
"25","يجب أن يعلم أعضاء المجلس أن جميع الخطوات اللازمة قد تم اتخاذها وسيستمر اتخاذها لإلقاء القبض على المذنبين في أسرع وقت ممكن.",0
"26","22. وبعد رصد تحركات المشردين داخليا إلى كوسوفو والتحدث مع السكان من أصل ألباني في جنوب صربيا نفسها، أفادت مفوضية الأمم المتحدة لشؤون اللاجئين بأن المشردين داخليا قد فروا خوفا من الوقوع بين خطوط إطلاق النار، ومن القلق العام إزاء تعزيز قوات الشرطة والجيش في وادي بريسيفو.",0
"27","وتلاحظ اللجنة أنه لا يوجد دليل على أن قتل 8 من رجال الشرطة وجرح 27 من ضباط الشرطة لم يكن سوى أفعال عفوية لأفراد قاموا بها بشكل عفوي خارج نطاق أوامر التسلسل الهرمي للقوات المسلحة التيمورية.",1
"28","وسيساعد مفهوم العمليات أيضاً الجهات المانحة على اتخاذ قرار بشأن تقديم المزيد من الدعم لبعثة الاتحاد الأفريقي في السودان في مؤتمر إعلان التبرعات المتوقع عقده في بروكسل في 7 تموز/يوليو 2006.",0
"29","حصل المرشح الدكتور بشار حافظ الأسد على 10,319,723 صوتاً، أو 88.7 في المائة من الأصوات الصحيحة. وفاز الدكتور حسان عبد الله النوري بـ 500,279 صوتاً، أو 4.3 في المائة من الأصوات الصحيحة. وفاز السيد ماهر عبد الحفيظ حجار بـ 372,301 صوت، أو 3.2 في المائة من الأصوات الصحيحة.",0
"30","ويكرر مجلس الأمن طلبه إلى الأمين العام أن يدرج في تقاريره عن الحالات الخاصة بكل بلد معلومات أكثر شمولا وتفصيلا فيما يتعلق بحماية المدنيين في النزاعات المسلحة.",1
"31","وترد العناصر الرئيسية لبيان الممثل الدائم، وكذلك تبادل الآراء بين أعضاء الفريق العامل، في الموجز الوارد في الاستنتاجات ذات الصلة (S/AC.51/2014/3).",1
"32","وسوف تهدف إلى أن تصبح أكثر تقنية وتشغيلية من خلال دمج خبرات محددة.",0
"33","الاختصارات بناء نظام التحقق التابع للأمم المتحدة",0
"34","المقرر عقدها يوم الخميس، 15 كانون الثاني/يناير 2004، الساعة 3 بعد الظهر",0
"35","أولاً، حسبت GPIC مستوى الإنتاج ""المتوقع"" من الميثانول البالغ 26,774 طنًا متريًا باستخدام معدل إنتاج متوسط يبلغ 1,217 طنًا متريًا من الميثانول يوميًا، مضروبًا في 22 يومًا من نقص ثاني أكسيد الكربون.",0
"36","24. شدد مجلس الأمن، في الفقرة 7 من قراره 1535 (2004)، على أنه لضمان استمرار لجنة مكافحة الإرهاب في العمل بفعالية خلال فترة دمج هيكل دعم اللجنة في المديرية التنفيذية، ستواصل اللجنة العمل بهيكل الدعم الحالي إلى أن تقرر اللجنة، بالتشاور مع الأمين العام، أن تكون المديرية التنفيذية جاهزة للعمل.",1
"37","الأرجنتين، الدنمارك، الدنمارك، فرنسا، اليونان، اليابان، اليونان، بيرو، الاتحاد الروسي، سلوفاكيا، المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية، جمهورية تنزانيا المتحدة، الولايات المتحدة الأمريكية",0
"38","الشركة السعودية البحرينية لتسويق الألمنيوم البحرينية (BALCO)",0
"39","تدعي بوليتكنا أن المبالغ المفوترة المبينة في الجدول 11، أدناه، لا تزال مستحقة السداد.",0
"40","65. عقدت المديرية، بالتعاون مع المركز المعني بالتعاون العالمي لمكافحة الإرهاب وبدعم من حكومتي هولندا وألمانيا، حلقة عمل دون إقليمية للدول الأعضاء في شرق أفريقيا بشأن الرصد الفعال للتحويلات المالية البديلة لمنع إساءة استخدام تمويل الإرهاب، في أديس أبابا، في كانون الأول/ديسمبر 2013. وكان الهدف من حلقة العمل هو زيادة الوعي بالمخاطر التي يتعرض لها محولو الأموال غير الرسميين الذين يمكن استخدامهم لتمويل الأنشطة الإرهابية؛ وتعزيز الحوار بين الوكالات التنظيمية ومسؤولي إنفاذ القانون وموظفي إنفاذ القانون ومحوّلي الأموال؛ وتعزيز الشمول المالي وتحديد أفضل الممارسات.",1
"41","وستوفر الموافقة الأخيرة، على وجه الخصوص، على تركيب ست وحدات توربينات غازية إضافية بحلول نهاية أغسطس 1999 في محطة الملا عبد الله 220 ميجاواط إضافية للشبكة الوطنية.",0
"42","وقال أن القوات المسلحة الإيفوارية تتلقى تعليمات منتظمة في مجال القانون الإنساني الدولي وأن حماية المدنيين جزء من عقيدة الجيش الإيفواري.",1
"43","وبالإضافة إلى ذلك، ستضع اللجنة جدولاً زمنياً للاجتماعات يسعى إلى تحقيق أهدافها بكفاءة وسرعة.",1
"44","مجلس جامعة الدول العربية على المستوى الوزاري,",0
"45","انظر أيضا، على سبيل المثال، S/RES/1880 (2009)، الفقرة 27 من المنطوق",0
"46","وخلال هذه الفترة، ستواصل اللجنة تحقيقاتها في الجريمة وستساعد السلطات اللبنانية على مواصلة التحقيق.",0
"47","في الجلسة 5903 لمجلس الأمن، المعقودة في 2 حزيران/يونيه 2008، فيما يتصل بنظر المجلس في البند المعنون ""الأخطار التي تهدد السلام والأمن الدوليين من جراء الأعمال الإرهابية""، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:",1
"48","""ويؤكد مجلس الأمن مجددًا أن وضع حد للإفلات من العقاب هو مفتاح المصالحة الوطنية في هايتي.",1
"49","وتعاونت قوة كوسوفو وشرطة بعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو في إدارة الأمن في المناسبات العامة الكبرى، ومكافحة العنف السياسي، وتوفير تدابير أمنية خاصة لطوائف الأقليات المهددة.",0
"50","لا توجد مرافق عامة عامة، والغالبية العظمى من الليبيريين لا يحصلون على الكهرباء والمياه ومرافق الصرف الصحي الأساسية أو الرعاية الصحية.",0
"51","يدعو جميع الأطراف المعنية إلى كفالة أن تشمل جميع عمليات السلام واتفاقات السلام والتخطيط للإنعاش وإعادة الإعمار بعد انتهاء النزاع ... تدابير محددة لحماية المدنيين، بما في ذلك إعادة إرساء سيادة القانون.",1
"52","S/AC.26/2000/R.40",0
"53","وتود مجموعة الـ 77 والصين أن تؤكد من جديد موقفها بشأن هذا الموضوع.",0
"54","المعاهدات الثنائية بشأن المساعدة القانونية المتبادلة في المسائل الجنائية",0
"55","في الجلسة 5303 لمجلس الأمن، المعقودة في 10 تشرين الثاني/نوفمبر 2005، فيما يتصل بنظر المجلس في البند المعنون ""الأخطار التي تهدد السلام والأمن الدوليين من جراء الأعمال الإرهابية""، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:",1
"56","13. تكرر اللجنة التأكيد على أنه يجب على الدول أن تكفل امتثال أي تدابير تتخذها لمكافحة الإرهاب لجميع التزاماتها بموجب القانون الدولي وأن تعتمد هذه التدابير وفقا للقانون الدولي، ولا سيما قانون حقوق الإنسان وقانون اللاجئين والقانون الإنساني.",1
"57","الوظيفة الرسمية: نائب رئيس أركان حرب القوات المسلحة",0
"58","وينبغي للصين أن تثير مع القائد الأعلى لجمهورية كوريا الشعبية الديمقراطية وغيره من السلطات رفيعة المستوى قضايا الاختطاف، ووأد الأطفال الذين يحق لهم الحصول على الجنسية الصينية، وعمليات الإجهاض القسري المفروضة على النساء العائدات إلى الوطن وغيرها من انتهاكات حقوق الإنسان التي تستهدف الأشخاص الذين أعيدوا من الصين.",0
"59",":: 7 أيار/مايو 2005، انعقاد البرلمان لاعتماد التعديلات المقترحة على القانون الانتخابي لعام 2000.",0
"60","بناء على دعوة من رئيس المجلس الاقتصادي والاجتماعي، حضر رئيس المجلس اجتماعاً بشأن المجموعتين الاستشاريتين المخصصتين المعنيتين بالبلدان الأفريقية الخارجة من الصراع (بوروندي وغينيا بيساو).",1
