"en_ar_TRANSFORMERS"	"MatConf"
"ومن بين هؤلاء المحتجزون المحتجزون لدى جهاز الأمن الوطني والاستخبارات في مكان احتجاز سري في الخرطوم اكتشفته اللجنة وفتشته."	1
"رسالة مؤرخة ٩ تشرين الثاني/نوفمبر ١٩٩٨ موجهة"	0
"وتوصي اللجنة بشدة بأن تنشئ الدول الأعضاء مثل هذه الهيئات الوطنية لتنسيق ومناقشة مسائل مكافحة الإرهاب."	0
"مكان الميلاد: غاغنوا، كوت ديفوار"	0
"18 - وخلال الفترة المشمولة بالتقرير، كان للهجمات التي شنتها جماعات متطرفة في شمال مالي وتصاعد العنف في شمال شرق نيجيريا أثر سلبي على الأمن والاستقرار في المنطقة، وكان من دواعي القلق بوجه خاص أثر العنف المتصل بجماعة بوكو حرام في الجزء الجنوبي من النيجر وفي أقصى شمال الكاميرون."	1
"ومما لا شك فيه أن الجنود من كلا الجانبين لقوا مصرعهم في القتال، وعلى الأرجح، أولا، قوات المتمردين ثم القوات الحكومية التي قامت بأعمال انتقامية."	1
"وعندما بدأت القوات الدولية في إلقاء القبض على أشخاص، قام موظفو القطاع القضائي في القطاع القضائي بجلسات استماع قبل المحاكمة والاحتجاز."	1
"وقد أعيدت تسمية القوات المسلحة التيمورية التي تشكلت مؤخرا إلى القوات المسلحة التيمورية في محاولة لربط قوة الدفاع المقبلة بتاريخ الجبهة الثورية لتيمور الشرقية السابقة لتيمور الشرقية، والتغلب على انسحاب القوات المسلحة للتحرير الوطني لتيمور الشرقية من الجبهة الثورية لتيمور الشرقية - ليشتي في عام 1987 بواسطة زانانا غوسماو."	0
"ويبرهن الهجوم الذي وقع في أيلول/سبتمبر 2013 على مركز ويستغيت التجاري في نيروبي على قدرات حركة الشباب حتى بعد أن فقدت أرضها في الصومال."	1
"الحالة في ليبيا (22 شباط/فبراير 2011؛ 28 تموز/يوليه 2011)"	0
"وفيما يتعلق بهذه المطالبة، طبق الفريق نفس الشروط الاستدلالية المحددة، حيثما انطبقت، كتلك الواردة في الفقرات من 215 إلى 217 من تقرير الدفعة الأولى من المطالبات من الفئة هاء/واو."	0
"ويوجد اثنان من المشتبه فيهم في الهجوم رهن الاحتجاز في السجن الذي أنشئ في إطار برنامج مكافحة الجريمة البحرية التابع لمكتب الأمم المتحدة المعني بالمخدرات والجريمة."	1
"رابعا - مركز جمهورية الكونغو الديمقراطية"	0
"19-30-2200 عشاء يستضيفه سفير تركيا"	0
"وأشار المبعوث الشخصي إلى أن الحكومة المغربية أعربت في عدد من المناسبات عن خيبة أملها إزاء مضمون التقرير الأخير والإحاطة الإعلامية الأخيرة التي قدمها إلى المجلس في المشاورات غير الرسمية التي جرت في نيسان/أبريل 2014."	0
"ويساورنا القلق لأن نجاح الانتخابات الرئاسية ينطوي على خطر التآكل بسبب عدم إحراز تقدم في إنشاء الحكومة."	0
"11 - يقرر أن يبقي المسألة قيد نظره."	0
"62 - وفيما يتعلق بالمهام المتصلة بالمصفوفة، قال إن موافقة اللجنة على شكل جديد خطوة هامة إلى الأمام."	0
"وفي كثير من الحالات، اختُطفت نساء ورجال أو اختُطفوا، وكثير منها لم يكن له أي أثر."	1
"الموقع: صندوق بريدي 16595365، طهران، إيران"	0
"ويقدم الفريق تقريرا عن التقدم الذي أحرزه المجتمع الدولي في تقييد حركة الإرهابيين ومؤيديهم، بما في ذلك المبادرة المشتركة الأخيرة للإنتربول ومجلس الأمن، التي أسفرت عن إصدار إشعار دولي، مستوفى بهوية الأشخاص المدرجين في القائمة الموحدة ووصفهم وصورهم الفوتوغرافية وبصماتهم."	0
