"","ar_en_TRANSFORMERS","VerCoop"
"1","17. I believe that the task of detecting the fate of missing Kuwaitis and third-country nationals is urgent and should not be subject to political factors and considerations.",1
"2","The President (spoke in Spanish): I would like to remind all speakers, as I indicated in the morning meeting, to limit their statements to no more than five minutes, so that the Council can complete its work expeditiously.",0
"3","The three countries referred to their efforts to strengthen various counter-terrorism laws in line with United Nations resolutions, but the lack of capacity hampers effective implementation.",1
"4","8. Referral to the Appeals Body",0
"5","Some individuals and the International Committee of the Red Cross also provide medical and hygiene supplies.",0
"6","Working Group III of the Contact Group on Piracy off the Coast of Somalia submitted the Interim Guidelines on Measures for the Care of Seafarers and Members of Their Families Affected by Piracy off the Coast of Somalia to IMO, so that they could be used as a frame of reference in addressing the welfare of seafarers affected by piracy in other regions of the world.",0
"7","183. The information provided in previous reports examined by the Commission is based mainly on witness statements collected through interviews with internally displaced persons and refugees.",1
"8","Noting with concern the changing nature of the threat posed by Al-Qaida, Usama bin Laden and the Taliban and other individuals, groups, undertakings and entities associated with them, in particular the ways in which they promote terrorist ideologies,",0
"9","&apos; The Security Council expresses its growing concern at the serious threats posed by drug trafficking and related transnational organized crime activities to international peace and stability in West Africa and the Sahel region as referred to in the United Nations integrated strategy for the Sahel.",0
"10","Cholera cases have also increased in the Deva region of southern Niger.",0
"11","2. The situation in Guinea-Bissau",0
"12","In the Committee &apos; s view, this procedure would reduce the risk that third parties, including financial institutions other than banks, non-financial businesses and professionals, will inadvertently act in contravention of the requirements of the freezing of funds.",1
"13","Urges Member States to ensure increased representation of women at all levels of decision-making in national, regional and international institutions and mechanisms for conflict prevention, management and resolution.",1
"14","He stated, for example, that intervention twice during a formal discussion was undesirable and that three times had never occurred in practice.",0
"15","His first decision was to appoint Brigadier-General Naji Ma &apos; alab, Assistant Chief of the Beirut Police, as the crime scene officer, with the task of transporting all the bodies, transporting the wounded from the scene and putting out the fires and then withdrawing all personnel from the site and closing it [witness statement].",0
"16","(Azerbaijan, China, Pakistan and Russian Federation).",0
"17","Emphasizes that specialized international and regional organizations play an important role in building an understanding of the threat of terrorism and in facilitating international cooperation in the field of counter-terrorism, in particular through the provision of technical and related assistance, as requested.",1
"18","50. The Committee &apos; s website is an indispensable transparency tool for raising public awareness of issues related to resolution 1540 (2004).",1
"19","(a) A rough engineering drawing for the planning of the hall comprising the centrifuge classes at the Central Uranium Enrichment Repellent Plant (Building 4) in Yongbyon, on 12 November 2010.",0
"20","This list is updated on a daily basis.",0
"21","Recognizing the need for enhanced coordination of efforts at the national, regional, subregional and international levels, as appropriate, to strengthen the global response to the serious challenge and threat to international peace and security posed by the proliferation of weapons of mass destruction and their means of delivery;",1
"22","Georgia &apos; s national chemical, biological, radiological and nuclear strategy was formulated in April 2013.",0
"23","It also visited 30 juvenile sites and met with local authorities, in particular the armed forces.",1
"24","""The Security Council recognizes the efforts of the League of Arab States to contribute to collective endeavours to settle disputes in the Middle East by peaceful means, as well as to strengthen international responses to the transformations taking place in the region, and encourages it to continue these efforts, reaffirming its strong commitment to the sovereignty, independence, unity and territorial integrity of the States of the region and to the purposes and principles of the Charter.",1
"25","This conclusion on Iraq &apos; s State responsibility, as subsequently noted, is based on its violation of the Law on the Grounds of War (Prevention of the Threat or Use of Force, Article 2 (4) of the Charter), and not on breaches of the Law of Time of War (Violations of International Humanitarian Law), which is the main focus of the decisions of the Eritrea-Ethiopia Claims Commission.",0
"26","The most relevant items related to the Commission &apos; s monitoring mandate were biosensors and spectral monitoring methods, such as mass spectrometry and the measurement of the Ramani spectrum, as well as various methods of colour separation and immunization.",0
"27","""The Security Council calls upon Burundi to prevent any support from its territory to armed groups within the Democratic Republic of the Congo.",0
"28","I should be grateful if you would have the text of the present letter and its annex circulated as a document of the Security Council.",0
"29","The Panel confirmed that the immediate task to be performed was to circulate the Doha Document to ensure its acceptance by the population of Darfur as a whole and to persuade the remaining armed groups to sign it.",1
"30","The Committee received credible information that these persons were tortured and subjected to cruel, inhuman and degrading treatment.",0
"31","The Senior Management Board recommended appropriate legal changes, resulting in the removal of the legal obstacle to progress within the Ministry.",0
"32","I invite Mr. Ould Abdallah to take a seat at the Council table.",0
"33","34. The transfer of ownership of areas subject to land adjustments will take place in six phases.",0
"34","Consular offices have no role in issuing visas.",0
"35","1.1 The Republic of Nauru is a State from one island located in the Central Pacific 11 km south of the equator, at latitude 0.32° south and longitude 166.56° east, with a total land area of about 2.158 hectares, of which about 75 per cent are uninhabitable due to phosphate mining.",0
"36","One State cited a broad plan to combat extremism, adopted in 2006, aimed at combating extremism while also protecting democratic values.",1
"37","44. Jaafar Mohammed Al-Hassan serves in the Sudanese Armed Forces and is based in Khartoum.",0
"38","It remains important to develop a more effective and evidence-based targeted United Nations sanctions regime.",1
"39","52. With regard to disarmament, UNOCI will continue to support the accelerated implementation of the cantonment, consistent with the third supplementary agreement.",0
"40","One police officer was killed and two injured.",0
"41","France deposited its instrument of ratification with the Secretary-General of the United Nations on 26 August 2003.",0
"42","155. The Group also held its second meeting in Geneva in May 2005 for heads and deputy heads of intelligence and security services from six Arab States, continuing its discussions on the threat posed by Al-Qaida and the possibility of additional measures to confront it for consideration by the Security Council.",1
"43","However, given the quality of the staff of the Financial Intelligence Unit, it is certain that the task to be carried out falls within their purview.",0
"44","Senegal was declared free of Ebola on 17 October and Nigeria free of Ebola on 20 October.",0
"45","3131. Old Homs. It is estimated that 1,000 people remain in Old Homs.",0
"46","The renewal of authorization followed the presentation by the Under-Secretary-General for Political Affairs of the annual report of the Secretary-General on the situation with regard to piracy and armed robbery at sea off the coast of Somalia (S/2014/740) on 22 October.",0
"47","""The Security Council recognizes the importance of a comprehensive, coherent and action-oriented approach, including during early planning, to the protection of civilians in situations of armed conflict.",1
"48","The international community &apos; s commitment to the fight against terrorism and its determination to eliminate it have been demonstrated mainly through the adoption of numerous legal instruments and the establishment of specialized institutions.",0
"49","At the request of the Transitional Government, on 25 August, my Special Representative, on behalf of the International Committee in Support of the Transition, transmitted a concept paper to President Kabila on the establishment of a fourth joint commission to address the issues of good governance and economic management.",1
"50","35. FNL (Palipehutu-FNL), which poses a threat to the security of Burundi and the region, must join the peace camp without delay.",1
"51","2. In its resolution 1575 (2004) of 22 November 2004, the Security Council requested Member States acting through or in cooperation with the European Union to report to the Council, at least every three months and through appropriate channels, on the activities of the European Union military mission in Bosnia and Herzegovina.",1
"52","""The Security Council commends the efforts under Operation Atalanta of the European Union, the operations of the Protection Coalition (Allied Protector) and the Ocean Shield of the North Atlantic Treaty Organization (NATO), led by NATO member States, and the Combined Maritime Forces Joint Task Force 151, led by Denmark, India, Japan, Malaysia, Pakistan, the Republic of Korea, New Zealand, Singapore, Thailand, Turkey and the United States, and the efforts of other States acting in their national capacity in cooperation with and among Somali authorities to suppress piracy and protect vulnerable ships crossing the waters off the coast of Somalia, and expresses its appreciation for the efforts of Member States, including China, India, Japan, Malaysia, the Republic of Korea, the Russian Federation and the Republic of Korea, which have deployed vessels and/or aircraft in the region, as described in the report of the Secretary-General (S/2012/783).",1
"53","""The Security Council is deeply concerned about attacks against humanitarian workers, which violate the rules of international law.",0
"54","Thirdly, in several cases, the Security Council has recognized that serious violations of human rights and international humanitarian law pose possible threats to peace and security.",0
"55","The Russian Federation had also adopted legislation to protect the rights of victims of terrorism and had taken measures on the conditions of detention of individuals suspected of having committed a terrorist act.",0
"56","The person informs the Office for the Prevention of Money Laundering Operations.",0
"57","The Border Intelligence Guard is under the direct command of military intelligence officers in the division where they are required to work, otherwise they are subject to the normal chain of command in the armed forces.",0
"58","The Council urged the Sudan and South Sudan to fully implement their obligations under the 29 June 2011 Agreement on a Safe Demilitarized Border Zone and the 30 July 2010 Agreement on a Joint Border Verification and Monitoring Mechanism, and urged the two Governments to cooperate fully with each other and to provide full support to UNISFA to enable it to carry out its mandate.",1
"59","In this regard, an understanding has been reached with the parties on the possibility of reviewing military agreements, with a view to better responding to what is happening on the ground.",1
"60","The establishment of a clear direction for the work of the Committee and its Executive Directorate naturally requires specific policy guidance related to all key aspects of the Committee &apos; s mandate.",0
"61","I stand ready to work closely with the Security Council, collectively and with individual stakeholders, to find a solution to this serious crisis, to complete the peace process expeditiously and to re-energize vital humanitarian activities in Eritrea.",1
"62","43. In informal consultations on 2 May, the members of the Council heard a further interim report from the Special Adviser to the Secretary-General on Cyprus, Alvaro de Soto, on the direct talks between the Greek Cypriot and Turkish leaders, which had continued since January pursuant to their agreement of 4 December 2001.",1
"63","2. Theft of a government car belonging to the Ministry of Irrigation in Douma.",0
"64","To be held on Wednesday, 3 July 2002, at 7.05 p.m.",0
"65","At the same meeting, pursuant to paragraph 41 of resolution 2093 (2013), the Coordinator of the Monitoring Group on Somalia and Eritrea presented the Group &apos; s assessment of the progress made by the Federal Government of Somalia in establishing the logistical infrastructure for arms management and the application of arms control procedures.",1
"66","(h) To provide a midterm briefing to the Council, through the Committee, within 90 days of its establishment;",1
"67","On behalf of the Security Council Committee established pursuant to resolution 1540 (2004), and in accordance with paragraph 8 of Security Council resolution 1810 (2008), I submit herewith a report on the Committee &apos; s consideration of a comprehensive review of the status of implementation of resolution 1540 (2004) (see annex).",1
"68","'The Security Council calls upon the parties to refrain from the use of force, to settle their differences by peaceful means, to normalize their relations, to promote stability between them and to lay the foundations for lasting peace in the region.",1
"69","122. To strengthen the capacity of law enforcement officials in South Asia and to enhance regional cooperation and information-sharing among law enforcement personnel at the same time, the Executive Directorate facilitated a series of workshops (started in November 2009) aimed at bringing together law enforcement officials -- mainly police officers and prosecutors -- to share experiences, lessons learned and best practices in addressing issues related to international crimes and terrorism.",0
"70","There are some 1,615 schools operating in Syria in the two-shift system.",0
"71","This could mean strengthening competencies in specific areas such as the police, the judiciary, education, culture, the media and the economy, and could allow for horizontal linkages between municipalities where Kosovo Serbs constitute the majority of the population.",1
"72","13. In the joint communiquÃ©, the Government pledged to take measures to end impunity, investigate reported violations and ensure that all individuals and groups accused of human rights abuses are brought to justice without delay.",1
"73","""'The Security Council expresses its concern at the threat posed by the weapons and ammunition not insured in Libya and their proliferation, which pose a threat to stability, including for reasons of their transfer to terrorist and extremist groups, calls upon the Libyan Government to take concrete measures to tighten its control over arms and ammunition stockpiles in Libya by ensuring the proper management and safe storage of arms and related materiel and, where appropriate, their effective disposal, as well as by enhancing border security, and urges neighbouring States to cooperate with the Libyan authorities in their efforts to ensure the security of their borders in this regard.",1
"74","21. Members of the Committee stressed on several occasions the complementarity of the functions of the three Committees in combating international terrorism and the need for a continuous exchange of information among them.",1
"75","9. Requests the Secretary-General to continue to report regularly, at least every three months, on the situation in the Democratic Republic of the Congo and on the activities of MONUC and to provide the Security Council with specific updates on the military situation on the same basis;",0
"76","Finally, the reconstruction process is about to begin.",0
"77","Under the non-State component of UNIPSIL, the Commission continued to play a key role in implementing programmes to build conflict mitigation and conflict resolution capacity of political parties, including women and youth wings.",0
"78","The State of Montenegro has become one of the six equal republics of the new Yugoslav Federation.",0
"79","(i) Strengthen the Commission &apos; s cooperation with international, regional and subregional organizations and develop ways of working with those organizations on a case-by-case basis, reflecting the varying capacity and mandate of each organization, including operational exchanges, briefings to and from the Commission and enhanced arrangements for the exchange of information;",1
