"ar_en_DEEP"	"VerCoop"
"Prominent journalists have been detained for expressing their opinions on issues of human rights, the constitution and the rule of law."	0
"âThe Security Council reaffirms the commitment of all Member States to settle differences and resolve disputes in accordance with the Charter of the United Nations, and calls upon the international community to provide assistance, as appropriate, in the efforts of regional and subregional organizations to settle disputes by peaceful means and to prevent the outbreak of conflicts and settle them in accordance with the Charter of the United Nations.â and relevant Security Council resolutions."	1
"It encourages communities to self-monitor and counter polarizing views without government intervention as a more sustainable way to prevent extremism within communities."	1
"We take this opportunity to consider the political and security situation in the Sahel-Saharan region, as well as efforts to overcome existing challenges and promote peace, security and stability in a sustainable manner."	0
"I encourage the Government of Iraq to quickly take further practical steps towards fulfilling its obligations under paragraph 14 of Security Council resolution 1284 (1999)."	1
"However, after a number of years of war and as a result of strong international pressure, the government and the main rebel movement in the south, the Sudan People's Liberation Movement/Army, entered into peace talks in 2002."	0
"Many Sudanese were imprisoned or forced to live in exile after the coup."	0
"(b) Staff of the Mechanism may also be staff of the Tribunal for Yugoslavia or the Tribunal for Rwanda."	0
"It urges [national authorities] to take all necessary measures to protect human rights, put an end to impunity, initiate investigations to identify the perpetrators of such acts and bring them to justice, and take measures to protect witnesses in order to ensure due process; It urges it to take steps to alleviate the climate of fear resulting from restrictions on freedom of expression and freedom of assembly;"	1
"In that context, we believe it is important for the Security Council to pay the utmost attention to the threats posed by fundamentalist and extremist religious organizations such as Hizb ut-Tahrir and we urge the Council to impose severe sanctions on terrorist organizations."	0
"The main steps of any transition include:"	0
"At the 6066th meeting of the Security Council held on 14 January 2009 in connection with the Councilâs consideration of the item entitled âProtection of civilians in armed conflictâ, the President of the Security Council made the following statement on behalf of the Council:"	1
"Downturn in business (Bahrain): lost profits"	0
"There are also reliable reports that more than 20 people may have disappeared, although their families are so afraid that they dare not report their disappearance to the relevant authorities."	0
"Supplemented by Law No. 23 of 1976"	0
"Recalling the statement made by its President on 8 July 1999 (S/PRST/1999/21), and reaffirming its call for the inclusion, as appropriate, within specific peace agreements and on a case-by-case basis within United Nations peacekeeping mandates, of explicit provisions for the disarmament, demobilization and reintegration of former combatants, including the safe and timely disposal of weapons and ammunition;"	1
"Then they attacked the police station, killing two policemen and taking weapons and ammunition from it."	0
"When discussing the role of the Security Council in redress, it was noted that the Council had been encouraged on a number of occasions to take measures in relation to this aspect of the accountability process. For example, in addition to its recommendation to refer the situation to the International Criminal Court, the International Commission of Inquiry on Darfur recommended that the Council form an international reparations commission, a proposal that received little attention or follow-up by the Council."	1
"Expresses its determination to request, where appropriate, parties to the conflict to make special arrangements to meet the protection and assistance needs of children, women and other vulnerable groups, including by encouraging the holding of âimmunization daysâ and providing other opportunities for the safe and unhindered delivery of key services needed."	1
"Welcoming the role played by the African Union in efforts to resolve conflicts on the African continent, and expressing its support for the peace initiatives undertaken by the African Union, which are conducted through subregional organizations,"	1
"(a) A state of chaos prevailed at the crime scene, not only during the first hours following the explosion, during which most of the focus was on putting out the fire, rescuing the injured, and searching for the missing, but, unfortunately, during a much longer and unnecessary period as well."	0
"The word Janjaweed is a colloquial Arabic word from the region, and generally means “(a person like a jan on a horse).”"	0
"34- Mr. Abdel Dayem gave the following details:"	0
"The final external evaluation of the first allocations began on 12 September and will be completed by the end of October 2011."	0
"Even when such incidents are reported to police or other government officials, the authorities take little action to arrest the perpetrators of these crimes."	0
"S/AC.26/1991/7/Rev.1"	0
"He also held meetings with investigators from the Special Court for Sierra Leone and continued to meet with the group of experts established pursuant to resolution 1533 (2004) on the flow of arms to the Democratic Republic of the Congo."	1
"Following a visit by Margot Wallstrom, my Special Representative on Sexual Violence in Conflict, to Angola and the Democratic Republic of the Congo, she made a statement on 16 March calling on both countries to investigate allegations of sexual violence that occurred in the context of expulsions and to take practical action to prevent them from occurring. These crimes."	1
"20 - With regard to Lebanon's borders with the Syrian Arab Republic, reports continue to arrive of illicit arms transfers, which are now allegedly occurring in both directions. Many Member States continued to express deep concern about the illegal transfer of arms across land borders."	0
"184 - The majority of reports note a pattern of indiscriminate attacks against civilians in villages and communities in all three Darfur states starting in early 2003."	0
"âThe Security Council highlights the importance of the recommendations of the Financial Action Task Force in supporting the implementation of resolutions 2170 (2014) and 2178 (2014), including its recommendation for States to implement declaration/disclosure systems for both inbound and outbound currency transfers , and other measures to address the threat posed by certain foreign terrorist fighters and their supporters who act as cash couriers for terrorist organizations."	1
"The Security Council also reaffirms the need to combat, by all means and in accordance with the Charter of the United Nations, threats to international peace and security caused by terrorist acts."	1
"Phone records showed four calls to Syrian intelligence officer Jama Jama, at 11:42, 18:14, 2023, and 2026. Based on the statements of one of the witnesses, Abdel-Al visited Jamea Jameaâs office on the evening of the bombing at 19.30 and discussed with him the matter of Mr. Abu Adass."	1
