"ar_en_TRANSFORMERS"	"MatCoop"
"12. Meanwhile, further progress has been made towards the establishment of a joint intelligence cell within the framework of the tripartite mechanism, and on 16 and 17 August a delegation from the United States visited Kisangani, accompanied by military officers from Rwanda, Uganda and the Congo, to assess progress in the establishment of the cell."	1
"Recognizing the need for enhanced coordination of efforts at the national, regional, subregional and international levels, as appropriate, to strengthen the global response to the serious challenge and threat to international peace and security posed by the proliferation of weapons of mass destruction and their means of delivery;"	0
"All States have put in place legislation and measures to regulate and monitor the production, sale and transfer of weapons and explosives, but the information provided is not sufficient to assess the effectiveness of their implementation."	0
"Since January, 444 FDLR combatants have been demobilized, including 259 Rwandans and 185 Congolese."	1
"On 5 May 2005, the same trucks, carrying arms and food items, returned to Somalia via the border town of Yede in the Bakool region; on 7 May 2005, trucks carrying weapons arrived in Hadr, the capital of the Bakool region, and the weapons were temporarily stored at the Hadar police station."	1
"With regard to the implementation of the investigation order issued by the first investigating judge of the Beirut Military Tribunal on investigations and all that could shed light on the investigation into the explosion that caused the death of former Prime Minister Hariri and others"	1
"Decides hereby to establish an international tribunal solely for the purpose of prosecuting persons responsible for serious violations of international humanitarian law committed in the territory of [the affected State] between [two dates]."	1
":: Ideas as to when a situation would constitute a threat to international peace and security, so that it would require referral to the International Criminal Court"	1
"Since the start of the Maritime Task Force mission in October 2006, the Task Force has stopped and inspected more than 21,980 vessels in its area of operations."	0
"Georgia &apos; s national chemical, biological, radiological and nuclear strategy was formulated in April 2013."	0
"Supporting the Democratic Republic of the Congo in its decision to promote revenue transparency in the extractive industries,"	0
"27. FARDC remains poorly equipped and supported, and MONUC believes that a stronger military presence is required to help secure the elections from several key players in Katanga."	0
"Special protection needs to be provided to this sector in order to prevent its exploitation for the financing of terrorism, as abuse of non-profit organizations may cause long-term damage and may deter people from making charitable donations in general."	1
"(Summit resolution 525, 22nd ordinary session - 28 March 2010)"	0
"However, the figures may vary owing to changes in the frequency of flights, weather conditions and other variables."	0
"The bill, which will be submitted to Parliament, provides for at least 30 per cent of parliamentary seats to be reserved for women; for one district in each electoral district at the local council level to be reserved for women candidates; and for political parties to allocate \"safe\" seats to women candidates."	1
"The Lebanese security teams (police and army) worked hand in hand with the Commission &apos; s security team to ensure the safety and security of the Commission &apos; s personnel and premises."	1
"15. Since my report of 2 January 2008 to the Security Council (S/2008/1), UNOCI has removed all but two of the 17 observation posts it had established along the Green Line, in line with the provisions of the Ouagadougou Agreement."	1
"At its 4170th meeting, on 13 July, the Council adopted resolution 1307 (2000), by which, inter alia, it authorized the extension of the mandate of UNMOP until 15 January 2001 to continue to monitor the demilitarization of the peninsula."	1
"To increase awareness of and support for refugee women &apos; s rights and legal options."	0
"The technical teams, comprising at least one representative from each group, provide technical assistance; terrorist financing; border security, arms smuggling and law enforcement; general legal issues; and issues raised by Security Council resolution 1624 (2005), as well as human rights aspects of counter-terrorism activities under resolution 1373 (2001). The units deal with quality control, public communication and awareness-raising, respectively."	1
"While access to the database is currently limited to law enforcement agencies, it is clear that its importance continues to increase with the number of countries providing information."	1
"Finally, I thank Mr. Martin for his excellent service in support of the Libyan people and in his leadership of the United Nations Support Mission in Libya (UNSMIL)."	0
"Letter dated 14 October 2005 from the Secretary-General and High Representative for the Common Foreign and Security Policy of the European Union addressed to the Secretary-General pursuant to Security Council resolution 1575 (2004), I attach the third quarterly report on the activities of the European Union military mission in Bosnia and Herzegovina."	1
"Attempts to launder funds or finance terrorist acts using new payment methods have already been detected, but States face difficulties in developing legislation and regulatory regimes that are suited to such rapidly evolving payment methods."	0
"202. Ensuring that persons with relevant information are prepared to provide them to the authorities and, as needed, to testify before the courts is essential in facilitating the investigation and appropriate prosecution of criminal conduct."	1
"\"The Security Council calls upon Burundi to prevent any support from its territory to armed groups within the Democratic Republic of the Congo."	0
"We take this opportunity to consider the political and security situation in the Sahelo-Saharan region, as well as efforts to overcome existing challenges and promote sustainable peace, security and stability."	1
"This experience could be a practical mechanism for future payment of salaries."	0
"24. The United Nations Transitional Administration in East Timor (UNTAET) has undergone significant changes."	1
"The project will be implemented by the United Nations Office for Project Services and implemented by the municipalities of Pristina and Gnjilane."	1
"We condemn all terrorist acts committed in Afghanistan, particularly the most recent one against the Indian Embassy in Kabul, and express our condolences to the Governments and peoples of the affected countries and to the families and relatives of the victims."	0
"12. Decides to remain seized of the matter."	0
"Reaffirming the obligation of Member States to freeze without delay funds and any financial assets or economic resources of persons who commit, attempt to commit or participate in or facilitate the commission of terrorist acts; of entities owned or controlled, directly or indirectly, by such persons; or of persons and entities acting on behalf of or at the direction of such persons and entities, including funds derived or generated from property owned or controlled directly or indirectly by such persons and associated persons and entities,"	0
"I also selected Mr. Lancaster to serve as Coordinator of the Group of Experts."	0
"S/RES/1591 (2005), op.3 (c)"	0
"30. Decides that the mandate of the United Nations Mission shall initially focus on the following priority tasks:"	0
"105. The Government has the mandate to formulate and implement the country &apos; s public policy."	1
"76. Efforts continued to be made to recruit members of minority groups into the Kosovo Protection Corps."	1
"Another regional conference on the immunization of the future in the Pacific in the twenty-first century: religion, local traditions and global forces is scheduled to be held in Auckland in August 2006."	0
"While none of the villagers reported rape to the UNAMID investigation team, in fact SAF and military intelligence personnel were present in the village during the UNAMID investigation."	1
"146 States, including those that have not yet reported, reported that they were circulating the list (and any changes to it) to banks and, to some extent, to financial institutions, as well as to entry points and other relevant authorities. However, visits indicated that the updates of the list were slowly circulated in many States, particularly at border points."	1
"The Movement will remain seized of this important issue."	0
"Detainees were reportedly subjected to systematic physical and psychological suffering as a punishment for suspected rebel affiliation or support, and for seeking information or confessions."	0
"While Osama bin Laden and Ayman al-Zuhari (QI.A.6.01) were not officially considered by Al-Shabaab as part of Al-Qaida, they expressed keen interest in developments in Somalia and made it one of the assembly points where recruits from all over the world meet for paramilitary training and the teaching of faiths."	0
"5. Declares that acts, methods and practices of international terrorism are contrary to the purposes and principles of the United Nations and that the financing, planning and knowingly inciting of terrorist acts are also contrary to the purposes and principles of the United Nations;"	1
"In his view, these items were either of high value or of an unusual nature (\"evaluation items\")."	0
"- Ma'adiyah al-Sham: 20,000 persons"	0
"All States now criminalize in their domestic laws the provision of safe haven to terrorists and their supporters and the use of their territories to commit or plan terrorist acts against other States or their citizens."	0
"392. Based on the information available to the Commission, the looting by the Janjaweed, mainly in the context of attacks on villages, appears to have taken place on a large scale and with the disregard of the Government of the Sudan through the dissemination of a culture of impunity and direct support for Janjaweed."	0
"(c) Destroying or damaging public installations or transportation and communications systems, including information networks, fixed installations on the continental shelf, power and water stations, medical and other important facilities, or public places and property, with a view to endangering human life, damaging the safety of any installations, networks or places or endangering property;"	0
"(d) To make a declaration of exceptional risk for the purposes of article 1 (c) (ii) of the Convention on the Safety of United Nations and Associated Personnel, should the Security Council consider, at its discretion, that the prevailing circumstances warrant such a declaration, and to invite the Secretary-General to inform the Council of the existence of the circumstances warranting such a declaration at its discretion;"	0
"Many villages are said to have been attacked more than once and have been completely destroyed."	0
"In this regard, the Kingdom of Morocco has fulfilled its full duties in a timely manner, in particular by releasing detained individuals, including Algerian military personnel, and by providing all the clarifications requested by the International Committee of the Red Cross (ICRC) on allegations of disappearance."	1
"Most States criminalize the use of their territories for the commission or planning of terrorist acts against citizens, diplomatic facilities and representatives of other States."	1
"For Saudi Arabia"	0
"Three of them were injured but survived thanks to the assistance of Red Cross personnel."	0
"A number of training courses have been conducted; standard implementation procedures have been developed; promotional activities focusing on country strategies to address gender-based violence have been organized.H.1. Further development and full implementation of codes of conduct and disciplinary procedures for all categories of United Nations staff, relevant personnel and partners to prevent and respond to sexual exploitation, strengthen monitoring mechanisms and effectively investigate and consider cases of alleged misconduct."	1
"The Group is already in the process of establishing liaison with the regional offices of the Office for Disarmament Affairs to improve the exchange of information (in particular with regard to ammunition stockpile management, which has proved to be a problem in the case of Libya)."	1
"The resolution identified a number of measures that Member States are required to develop and implement and established the Counter-Terrorism Committee to monitor their implementation."	1
"Building confidence and promoting stability through the consolidation of truth and reconciliation mechanisms"	1
"National Security Forces officers (50 in Adre and 42 in Ab̩ch̩) were trained."	1
"I should like to draw the attention of the members of the Security Council to document S/2010/164, which contains the thirty-first report of the Secretary-General on the United Nations Organization Mission in the Democratic Republic of the Congo (MONUC)."	0
"Weapons detection and control equipment was installed at international border crossings in Azerbaijan."	1
"On 2 November 2014, regime forces ambushed Lahina village, killing 13 people."	0
"The transfer of less sensitive dual-use items between States of the Union is not subject to export licences."	0
"To be held on Thursday, 31 March 2005, at 10.30 p.m."	0
"This option would have the advantage of taking advantage of the willingness of Member States to allocate strong maritime capabilities to address land-based threats."	1
"In order to achieve lasting regional peace, all destructive forces must be dealt with comprehensively and disarmed by force."	1
"Allegations of disappearances and detentions in areas controlled by the Mouvement national de C̫te d &apos; Ivoire"	0
"Background The United Nations plays a key role in the fight against global terrorism."	1
"(a) To continue to strengthen its cooperation with international, regional and subregional organizations and to develop modalities for working with those organizations on a case-by-case basis, reflecting differences in the capacity and mandate of each organization, including exchanges at the working level, briefings provided and received by the Committee and enhanced arrangements for the exchange of information;"	1
"Finally, where conditions are considered favourable, they should join forces with the Governments concerned to coordinate efforts to adopt a coordinated plan for the development of the country, the provision of livelihoods for the population and the improvement of human rights conditions."	0
"C. Disbanding and disarmament of Lebanese and non-Lebanese militias"	0
"These operations contribute to enhancing the profile of the Mission as well as supporting the implementation plan developed by the Office of the High Representative and capacity-building for local authorities and law enforcement bodies."	1
"At this stage, it suffices to say that the crime of genocide, whether under the 1948 Convention or the corresponding rules of customary law, includes any of the following acts committed with the intention of destroying, in whole or in part, a national, ethnical, racial or religious group as such; killing members of the group; causing serious bodily or mental harm to members of the group; deliberately subjecting the group to conditions of life intended to destroy it in whole or in part; imposing measures aimed at preventing reproduction within the group; forcibly transferring children of the group to another group."	1
"S/RES/1882 (2009), op.9"	0
"The development of an effective Somali judicial capacity will also enable Somalis to address the scourge of terrorism and piracy."	0
"1.16 Does Mauritius have technology to detect fraudulent or fraudulent travel documents?"	0
"Taking note of the request of the Government of Afghanistan to the Security Council to support national reconciliation, including by removing from the United Nations sanctions lists the names of Afghans entering into reconciliation, who have thus ceased to participate in or support activities that threaten peace, stability and security in Afghanistan,"	1
"The Panel &apos; s advantage is its ability to work in cooperation with Governments around the world, as well as to engage with outside specialists, to establish an integrated assessment of the threat posed by Al-Qaida and its partners, and to promote a targeted, effective and fair sanctions regime."	1
"\"The Security Council has considered the issue of the protection of civilians in armed conflict."	0
"Most States have anti-money-laundering legislation and four of them include the financing of terrorism in their legislation as a predicate offence."	1
"The final outcome should be stable and sustainable, and artificial deadlines should therefore not be established."	0
"During the discussions, in the light of the change of leadership on both sides over the past two years, the parties agreed on the need to reaffirm their commitment not to resume hostilities and to return internally displaced persons and refugees in safety and dignity, in the first phase to the Gali region within its old borders, as emphasized in the Yalta Declaration on the Georgian and Abkhaz sides (see S/2001/242, annex, and S/2001/401, para. 6)."	0
"35. Following the launch of the national stabilization and reconstruction programme in areas of armed conflict in eastern Democratic Republic of the Congo, the United Nations approved the International Security and Stabilization Support Strategy in 2008. The strategy provides the framework for stabilization projects in eastern Democratic Republic of the Congo."	1
"40. The Government of Lebanon has informed me that it has taken important measures to reduce this flow of weapons and human beings and the freedom of movement of arms and armed elements to and from Palestinian refugee camps in Lebanon in recent weeks, particularly since late September 2005."	1
"27. On 2 November, 16 of the 20 persons arrested during an operation by the Malian Defence and Security Forces in Polkesi (Mopti region), an area controlled by the Azawad Unity High Council, reported to MINUSMA that they had been severely beaten during the investigation."	0
"In late September, the Mission completed the renovation of Iriba prison, resulting in improved conditions of detention of both prisoners and prison security."	1
"In a survey conducted in Mornei camp in Western Darfur, medical teams treated some 20 victims of sexual violence from April to June 2004."	1
"It should be noted that some States have recently begun to review or terminate states of emergency."	1
"In general, the Office works well, although its staff issued a certificate to an unauthorized exporter."	0
"In the majority of States visited by the Commission, crisis management plans need to be strengthened to ensure the availability of evidence, prevent casualties from any explosions following the main explosion and ensure proper evacuation in the event of a major terrorist attack."	1
"The Security Council encourages Member States to develop comprehensive and integrated counter-terrorism strategies."	1
"During its recent visit to Damascus from 10 to 15 December 2014, the Declaration Assessment Team continued to interview key members of the Syrian chemical weapons programme, held technical meetings with the National Authority of the Syrian Arab Republic and visited two sites."	1
"The symposium, held at United Nations Headquarters in New York, allowed participating prosecutors to identify common challenges in prosecuting those accused of terrorist acts and to share success stories in effectively bringing terrorists to justice while respecting the rule of law and human rights."	1
":: Respect for the right of refugees and displaced persons to return voluntarily to their homes in safety and dignity."	1
"60. As I indicated earlier (see S/2010/85, para. 176), a cautious approach should be taken in dealing with the reconfiguration of the UNMIT police, taking into account, among other factors, the need for adequate presence in all provinces and units to ensure monitoring, advice, training, guidance and support as required for the continued capacity-building and institutional development of the national police."	1
"Since then, two important new developments have taken place: the transfer, on 31 October 2009, of the eight detainees convicted by the Tribunal so far to Rwanda, where they will serve their sentences, and the transfer of responsibility for the detention facilities on 16 November 2009 from the Tribunal to the Government of Sierra Leone."	1
"The meeting was called to order at 3.25 p.m."	0
"80. Four States have comprehensive counter-terrorism laws."	1
"Despite the repeated condemnation of those inhumane acts by Security Council resolutions 1820 (2008), 1888 (2009) and 1960 (2010), which have become the source of hope for millions of victims of women and girls worldwide."	0
"These changes, in addition to re-establishing the hope of the people of the Republic, have provided the Mission with a new opportunity to improve its consultations with the federal authorities and engage in a constructive dialogue on issues of mutual concern."	0
"Dissemination of the Consolidated List."	0
"These acts are mainly perpetrated by FARDC soldiers and police officers."	0
"This group consists of the remnants of the group formerly headed by Colonel David Losing."	0
"Some Member States reiterated the need for stronger coordination among United Nations counter-terrorism entities."	0
"Cells, branches or associated groups are now obliged to operate independently and to finance their activities on their own."	0
"S/RES/1820 (2008), op.3"	0
"It will also lay the foundation for an effective firearms control mechanism, which can assist the authorities in managing the possession of weapons."	1
"It seems that peoples not only aspire but also demand that pluralistic and more representative Governments provide tangible benefits to their citizens."	0
"The Ministry of Justice has established a specialized unit for the redeployment of justice and prison authorities with technical assistance from UNOCI to facilitate the redeployment of police, justice and corrections authorities."	1
"Cooperation with international organizations, including the Security Council Committees established pursuant to resolutions 1267 (1999) and 1373 (2001);"	1
"I have continued my dialogue with the Lebanese authorities on the matter and look forward to the early fulfilment of these commitments."	0
"These authorizations include requests to finance a minimum test drilling activity."	0
"1. Pursuant to paragraph 4 of Security Council resolution 1956 (2010), which requires the Government of Iraq to report to the Security Council no later than 1 May 2011 on progress towards the transition to the post-Development Fund for Iraq mechanism, we wish to inform the Security Council that the Government of Iraq has completed measures to ensure a full and effective transition to a subsequent mechanism for the Development Fund for Iraq, which has taken into account the following:"	1
"56. Japan Broadcasting Corporation TBS on 3 January 2012"	0
"2. The situation in the Middle East."	0
"The Group reports on the progress made by the international community in restricting the movement of terrorists and their supporters, including the recent joint initiative of the International Criminal Police Organization (INTERPOL) and the Security Council that resulted in an international bulletin, together with the identity, description, photographs and fingerprints of the persons on the Consolidated List."	1
"Attempts to destabilize the internal situation in Lebanon through political assassinations are totally unacceptable."	0
"G.2 Development and implementation of strategies and programmes to prevent and respond to gender-based violence in armed conflict. Inter-Agency Standing Committee Task Force on Gender and Humanitarian Assistance (chaired by OCHA and WHO)"	1
"(a) Ship charter (SAR 7,058,710);"	0
"She was illegally detained with Mr. Abu Adas &apos; father for approximately 10 days."	0
"The meeting was called to order at 1 p.m."	0
"Almost all States had introduced early warning systems and arrangements for the exchange of information, and almost all had arrangements on mutual legal assistance in criminal matters and extradition."	1
"Euro-Atlantic Partnership Council, 1992"	0
"I. PROCEDURAL BACKGROUND 3 - 9 6"	0
"10. Further requests the Working Group, established in accordance with paragraph 9, to consider the possibility of establishing an international fund to compensate victims of terrorist acts and their families, which could be financed through voluntary contributions, and which may consist in part of assets seized from terrorist organizations, their members and sponsors, and to make recommendations thereon to the Council;"	1
"(a) To request the Secretary-General to seek the inclusion of the basic provisions of the Convention on the Safety of United Nations and Associated Personnel and the inclusion by host countries of those provisions, including those relating to the prevention of attacks against personnel serving in peacekeeping operations, as crimes punishable by law and the prosecution and extradition of offenders, in future and, where necessary, in existing status-of-forces, status-of-mission and host country agreements negotiated by the United Nations with those countries, bearing in mind the importance of the timely conclusion of such agreements;"	1
"218. JEM affirmed that its internal regulations contained strong obligations to respect international humanitarian law and human rights law and further affirmed that it had not and would not direct its attacks against civilian targets."	1
"However, both parties continued to refrain from dealing directly with each other, and all known contacts between the two armed forces took the form of meetings and written correspondence with the Mission."	1
"531. The Committee notes at the outset that it has identified 10 high-level officials of the central Government, 17 Government officials working at the local level in Darfur, 14 Janjaweed, 7 members of various rebel groups and 3 officers from a foreign army (who participated in their personal capacity in the conflict), who are suspected of being individually criminally responsible for crimes committed in Darfur."	0
"122. To strengthen the capacity of law enforcement officials in South Asia and to enhance regional cooperation and information-sharing among law enforcement personnel at the same time, the Executive Directorate facilitated a series of workshops (started in November 2009) aimed at bringing together law enforcement officials -- mainly police officers and prosecutors -- to share experiences, lessons learned and best practices in addressing issues related to international crimes and terrorism."	1
"See also, for example, S/RES/1769 (2007), op.15; see also, for example, S/RES/1769 (2007), op.15; S/RES/1756 (2007), op.2; S/RES/1701 (2006), op.12; S/RES/1590 (2005), op.16; S/RES/1565 (2004), op.4 and op.5; S/RES/1542 (2004), op.9; S/RES/1528 (2004), op.6; S/RES/1509 (2003), op.3 (k); S/RES/1502 (2003), op.5 (a); S/RES/1492 (2003), op.25; S/RES/1289 (2000), op.12; S/RES/1270 (1999), op.14."	0
"Noting with concern the continuing threat to international peace and security posed by Al-Qaida and other individuals, groups, undertakings and entities associated with it, and reaffirming its determination to address all aspects of that threat, and in view of the deliberations of the 1267 Committee on the recommendation of the 1267 Monitoring Team contained in its eleventh report to the 1267 Committee that listed Taliban Member States and listed individuals and entities of Al-Qaida be treated differently,"	0
"Increased costs: change of course (Aceman Aviation Flights)"	0
"Law enforcement agencies: establishment of counter-terrorism units"	1
"At the time of preparation of the present report, the Anti-Corruption Unit has the capacity to investigate cases."	0
