"","en_ar_DEEPL","VerConf"
"1","20. تدين بنفس القدر من الشدة جميع أعمال الاستغلال الجنسي والاعتداء الجنسي والاتجار بالنساء والأطفال من جانب الأفراد العسكريين وأفراد الشرطة والموظفين المدنيين المشاركين في عمليات الأمم المتحدة، وترحب بالجهود التي تبذلها وكالات الأمم المتحدة وعمليات حفظ السلام لتنفيذ سياسة عدم التسامح مطلقا في هذا الصدد، وتطلب إلى الأمين العام والبلدان المساهمة بأفراد مواصلة اتخاذ جميع الإجراءات المناسبة اللازمة لمكافحة هذه الانتهاكات من جانب هؤلاء الأفراد، بما في ذلك التنفيذ الكامل دون إبطاء للتدابير المعتمدة في قرارات الجمعية العامة ذات الصلة استنادا إلى التوصيات الواردة في تقرير اللجنة الخاصة المعنية بعمليات حفظ السلام A/59/19/Rev.1;",1
"2","هذه هي الآلية الوحيدة التي أنشأها القرار والتي يمكن من خلالها الكشف عن بعض المعلومات والنتائج الوقائعية في قضية ما خارج مكتب أمين المظالم واللجنة.",0
"3","وتخلص اللجنة إلى أن حوادث التعذيب قد ترقى بالتالي إلى جريمة ضد الإنسانية، وبالنظر إلى الطبيعة التمييزية للاعتداءات، فقد تنطوي أيضاً على جريمة الاضطهاد كجريمة ضد الإنسانية.",1
"4","(أ) برامج المراجعة الموحدة 180 48",0
"5","يجب أن يدعو المجلس إلى الوقف الفوري لجميع العمليات العسكرية في غزة وانسحاب قوات الاحتلال الإسرائيلي من تلك المنطقة.",1
"6","ومع ذلك، فمن بين جميع تدابير الشفافية المتعلقة بأنظمة الأسلحة، فإن تلك المتعلقة بالأسلحة الصغيرة هي الأقل تطورًا.",1
"7","في الختام، إن التحديات التي تواجه أفغانستان هائلة، لكننا نحرز تقدماً.",1
"8","يساورني قلق عميق من أن ممارسة العنف الجنسي ضد الأطفال سيقوض احتمالات التعايش السلمي في دارفور لسنوات قادمة.",1
"9","نطلب من جميع الجماعات المسلحة الموقعة على اتفاق واغادوغو أن تنأى بنفسها عن الجماعات الإرهابية.",1
"10","ويدعو إلى التمسك بالقانون الدولي وتنفيذ الطرفين لالتزاماتهما وخارطة الطريق من أجل تحقيق رؤية الدولتين اللتين تعيشان جنباً إلى جنب في سلام وأمن.",1
"11","وقد أشارت التحقيقات التي أجرتها بعثة الأمم المتحدة لتحقيق الاستقرار في هايتي والشرطة الوطنية الهايتية في عملية الاختطاف والقتل اللاحقة إلى أن الجريمة كانت بدوافع سياسية، لكنها لم تستطع إثبات المسؤولية بشكل قاطع.",0
"12","فعلى سبيل المثال، لا يزال يتعين على معظم الدول تجريم تمويل الإرهاب واعتباره جريمة أصلية لجريمة غسل الأموال.",1
"13","ومن المهم أيضاً الاعتراف بأن أكثر من نصف اللاجئين والنازحين داخلياً لا يعيشون في المخيمات. ولذلك فإن النقاش سيتناول أيضاً الأدوار القيادية للمرأة في البيئات غير المخيمات حيث يشكل الوصول إلى النازحين داخلياً واللاجئين وتقديم الخدمات تحديات إضافية.",0
"14","نحن على ثقة تامة بأن هذه المجموعات لن تتمكن من تقويض العملية الانتخابية على المستوى الوطني.",1
"15","ويتطلب كل ذلك معركة حازمة للغاية ضد الجهات الفاعلة غير الرسمية الراسخة، التي يشكل وجودها تهديدًا وعقبة أمام ممارسة الدولة الأفغانية للسيادة الكاملة.",1
"16","دعوة الدول والمنظمات الإقليمية ودون الإقليمية إلى تقديم المساعدة التقنية للشرطة المحلية والقضاء والسجون (مثل التوجيه والصياغة التشريعية).",1
"17","وأقترح أيضا على مجلس الأمن أن يأذن للأمين العام بتقديم أي مساعدة يعتبرها ضرورية إلى اللجنة الثلاثية التي أنشأتها الحكومات الشقيقة في هندوراس والسلفادور ونيكاراغوا، لتمكين التفاوض بشأن نظام السيادة المشتركة في خليج فونسيكا واستئناف العمل به، بهدف تحقيق التنمية الاجتماعية والاقتصادية والبيئية الشاملة في الخليج.",0
"18","تم تسجيل نتائج المراجعة، بما في ذلك القضايا الهامة التي تم تحديدها، في قاعدة بيانات المطالبات.",0
"19","2. قامت الحكومة بتركيب أجهزة إشعاع وكشف ورصد في الموانئ البحرية الرئيسية.",0
"20","غير أن بعض القادة في مقديشو اتهموا الرئيس بالذهاب إلى الأراضي الإثيوبية للحصول على أسلحة وقوات من أجل أنشطته المستقبلية في الصومال.",1
"21","وقد أعربت الفصائل الفلسطينية الرئيسية في لبنان عن قلقها من هذه الأحداث ونأت بنفسها عن حركة فتح الإسلام.",1
"22","وللأسف، أظهرت القيادة الفلسطينية الحالية أنها غير قادرة على أن تكون شريكًا في السلام بقدر ما هي عاجزة عن تقديم الإصلاح والحكم الديمقراطي لشعبها.",1
"23","وأخيراً، ينبغي أن نحذر من أنه ليس من مصلحة السلم والأمن الدوليين أن يستغل المجتمع الدولي، بما في ذلك مجلس الأمن، محنة الشعوب العربية لتحقيق مصالح ذاتية وتنفيذ تغيير النظام.",1
"24","وحتى الآن، لا يزال نظام API هذا يُستخدم على نطاق واسع في أنتيغوا وبربودا.",0
