"","es_en_DEEPL","MatCoop"
"1","In Italy, for example, the Political-Military Unit, established by the Prime Minister's Office, is composed of high-ranking representatives of all ministries and agencies involved in the fight against terrorism and has broad and detailed functions.",1
"2","The system, which is based on outdated technology, will be modernized.",0
"3","Calls upon all stakeholders, including Member States, UN entities and financial institutions, to support the development and strengthening of the capacity of national institutions and local civil society networks for advocacy, protection and rehabilitation of children affected by armed conflict and to ensure the viability of local child protection initiatives.",0
"4","If it were to add to its responsibilities an entirely new area of law relating to compensation, the Tribunal would not only have to create new case law, but also considerably expand its staff and establish new rules and procedures for determining compensation.",1
"5","However, CTED has noted that, even in those States, attention to the four key areas of governance (strengthening the border control system; building the capacity of the criminal justice system to ensure the rule of law; improving coordination and information sharing among relevant national agencies; and strengthening cross-border institutional cooperation with neighboring States) appears to have a highly significant impact on counter-terrorism capacity. This is true even where development in other sectors is relatively limited.",1
"6","Most States have taken appropriate measures to suppress terrorist recruitment.",1
"7","Several international human rights instruments prohibit the use of torture.",1
"8","(b) Call upon parties to armed conflicts to comply with their obligations under international humanitarian law to respect and protect humanitarian personnel and goods used in relief operations;",1
"9","The team, composed of 15 inspectors, left the Canal Hotel in Baghdad at 8:00 a.m. for Al-Qadisiyah University in Al-Diwaniyah (Al-Qadisiyah Governorate).",0
"10","Consequently, the Committee decided to maintain on the List, pending the availability of the necessary documentation, the names of 45 individuals whose deaths are already on the List or have been notified to the Committee by at least one Member State.",1
"11","New border security systems, such as enhanced inspection of goods and the introduction of machine-readable travel documents in most States, as requested by the International Civil Aviation Organization (ICAO), have substantially complicated the transnational activities of terrorists.",1
"12",":: Measures to ensure the protection of and respect for the human rights of women and girls, particularly with regard to the constitution, the electoral system, the police and the judicial system.",1
"13","The effective implementation of protection tasks requires the involvement of a wide range of actors, as well as careful consultation between, for example, the Security Council, the Secretariat and troop- and police-contributing countries, prior to the establishment of a peacekeeping mission and throughout its life cycle.",1
"14",":: Prohibition of hostage-taking.",1
"15","ii) Disarm by whatever means necessary all armed groups and militias in the east of the DRC;",1
"16","In other words, the fight against terrorism must be a joint effort with a comprehensive approach and long-term dedication.",1
"17","The equipment included in Article 9.B.1 includes the following:",0
"18","Pro-government militias have played an important role in the Government's security-related activities in C̫te d'Ivoire, especially in the western part of the country.",1
"19","w) Collaborate with relevant international and regional organizations to promote awareness of and compliance with the measures;",1
"20","2. Decides that the Counter-Terrorism Committee Executive Directorate will continue to function as a special political mission, under the policy guidance of the Counter-Terrorism Committee, for the period ending 31 December 2017, and also decides to conduct an interim review by 31 December 2015;",1
"21","Based on the initial review conducted by MINURSO, a staff review team, followed by a Department of Peacekeeping Operations management assessment team, was deployed to finalize recommendations aimed at reconfiguring the civilian structure to better support currently mandated activities, ensure greater integration between the military and civilian components and improve the management of MINURSO.",0
"22","10. Declares its readiness to address situations of armed conflict in which the civilian population is being deliberately targeted or humanitarian assistance intended for the civilian population is deliberately impeded, in particular by considering appropriate measures available to the Council in accordance with the Charter of the United Nations, and takes note, in this regard, of the relevant recommendations contained in the report of the Secretary-General;",0
"23","Having considered the memorandum of the Secretary General,",0
"24","The one-state solution might satisfy several fundamental Palestinian desires but it does not meet Israel's essential requirement of retaining its self-determination and sovereignty.",0
"25","A. Category D6 (loss of income): severance payments",0
"26","In recent years, several States in the subregion (such as Bosnia and Herzegovina, Bulgaria and Serbia) have ratified some of the most recent instruments in this area.",1
"27","3. Recalls also that media equipment and facilities are civilian objects and, as such, may not be subject to attack or reprisals, unless they are military objectives;",0
"28","The OSCE provides valuable input with its knowledge and experience in the field.",0
"29","An eighth formed police unit provided by Nigeria is expected to be deployed in October.",1
"30","In accordance with the provisions of Article 3, which is common to the four Geneva Conventions, international humanitarian law is also applicable in armed conflicts not of an international nature.",1
"31","The Security Council also reiterates its support for the Special Representative of the Secretary-General, Mr. Ahmedou Ould Abdallah, for his efforts to advance the political process in Somalia.",0
"32","(c) US$227 million related to recently cancelled letters of credit, interest earned on the investment of funds and unrealized gains or losses due to fluctuations of the euro against the U.S. dollar.",0
"33","3. Viability and financial sustainability of the local police force.",0
"34","Source: Angolan Ministry of Geology and Mines.",0
"35","Indeed, the 1540 Committee appears to be in a privileged position to foster cooperation among these entities and explore funding opportunities.",1
"36","These cases were also investigated by the Joint Fact-Finding Group, which is composed of both sides, UNOMIG and the CIS peacekeeping forces, and whose task is to determine whether the violent incidents constitute a violation of the 1994 Moscow Agreement.",1
