"ar_en_TRANSFORMERS"	"MatConf"
":: We received DNA results and crime scene maps"	0
"450. There are a number of serious errors that prevent the judicial system in the Sudan from working quickly and correctly to address the attacks."	1
"109. The Mechanism concluded that one of the effects of sanctions on the diamond trade was the more complex production of artificial or forged documents to hide the origin of diamonds."	0
"However, parliamentarians belonging to the Sierra Leone People &apos; s Party and the People &apos; s Movement for Democratic Change boycotted the opening of the Parliament, protesting, inter alia, against the banning of political processions and rallies following the 9 September political violence in Bo."	1
"One soldier grabbed the baby and threw it away on the side of the road."	1
"There is compelling evidence that these killings were often not justified and that there was no reason for them to deal with the demonstrators."	1
"The humanitarian consequences of the continued violence in Iraq are a matter of grave concern to my delegation."	0
"Law enforcement mechanisms are also weak in combating inter-ethnic crime."	1
"These individuals were identified by eyewitnesses who witnessed them participating in an attack on a village, during which arson, looting, murder and sometimes rape were often committed."	1
"Ambassador and Legal Counsel of the Libyan Arab Jamahiriya"	0
"The first was a white pick-up truck carrying three men in military uniform armed with arms from Taro M16 and the second was a red pick-up truck carrying between 15 and 20 armed men, some wearing military uniforms and others wearing civilian clothes."	1
"For example, some names taken from the List could not be entered into the electronic \"passenger\" database in the Border Force Department."	0
"Following the recommendation made by the International Commission of Inquiry on CÃ´te d &apos; Ivoire this year, the Human Rights Council established the mandate of an independent expert on the situation in CÃ´te d &apos; Ivoire with the responsibility of assisting the Government and other relevant actors in the implementation of the recommendations of the Commission."	0
"6. In Mali, terrorists nearly destroyed the State infrastructure, affecting the stability of the country and the entire region; Al-Qaida in the Islamic Maghreb, the West African Unity and Jihad and Ansar Dine continue to operate in northern Mali, with implications for neighbouring countries; they have jeopardized the presence and activities of MINUSMA."	1
"Ongoing projects include the establishment of an emergency exit for the Liaison Office, the construction of a new security centre and the establishment of a checkpoint on the main road leading to the Liaison Office with the aim of adding an additional category of access controls to the Liaison Office, which are supervised by Mission personnel/contractors."	0
"Some of the perpetrators of terrorist acts have been arrested and subsequently brought to justice in a number of jurisdictions."	1
"On 28 November 2014, regime warplanes fired a missile at the water crossing linking the villages of Bulliel and Al-Sahdah in Dayr al-Zawr, killing five people and wounding six others."	1
"79. There is a need to continue concerted efforts to put an end to the gross violations of human rights committed by armed groups and FARDC against civilians in Ituri, North and South Kivu and central and northern Katanga, as these violations seriously undermine efforts to stabilize these areas and affect the organization of elections."	0
"Members of this delegation agreed with Prime Minister Seniora to \"initiate the organization of the armed Palestinian presence in the camps in order to ensure security.\""	0
"Major General Zhao will succeed Major General Kurt Mosvard (Denmark), who will complete his assignment on 27 August 2007."	0
"The camps for internally displaced persons were now being used as sites for attacks on the Government."	1
"ISIL and all other parties to the conflict continued to kill and injure the population and to destroy villages, towns and cities with impunity."	1
"41. As detailed below, all available evidence suggests that the start of fire and indiscriminate killings on the morning of 25 March resulted from coordinated action by the security forces."	1
"Decline in business (Kuwait and Iraq): Loss of profits"	0
"Whatever their own capabilities, no State in our region can cope alone with the challenges of terrorism, secession and development and win the stakes of openness and democracy."	0
"The progress achieved was real, indeed extraordinary, and was due to the determination of the people of that country."	0
"It remains to be seen whether he can establish ties with extremists in Nigeria within the framework of an effective coalition."	1
"The Special Representative said that recent gains in land recovery from ISIL had shown that the strategy, which enjoyed international military support, continued to make progress."	1
"103. The Air Force of CÃ´te d &apos; Ivoire (FACI) transported all of its valid and disabled air assets to the Abidjan International Airport airbase."	0
"S/AC.26/1991/7/Rev.1"	0
"According to Jordanian official sources, Al-Qaida manufactured these vests in Iraq using explosives and grenades taken from former Iraqi army stockpiles and smuggled into Jordan."	1
"303. Many incidents were reported in which Government forces reportedly cordoned off villages and took over guard while the Janjaweed committed arson, looting and other atrocities against the population."	1
"(i) With regard to travel restrictions, when the Committee determines that such travel is justified by a humanitarian need, including the performance of religious duties, or when the Committee concludes that the exception may otherwise support the purposes of this resolution;"	1
"Although this ban has been implemented through tighter border controls, citizens continue to risk flight, mainly to China."	1
"The Commission has not yet received the certificate for Eritrea III."	0
"32. The situation in Côte d &apos; Ivoire (20 December 2002; 26 July 2012)."	0
":: Report of the Office for the Coordination of Humanitarian Affairs, \"To stay and deliver: good practice for humanitarians in complex security environments\" (2011)."	0
"However, terrorism will continue to be its supporters, especially in places where public political protests are not successful, and although Al-Qaida will never be widely accepted, attacks will continue."	1
"Relations between the two parties deteriorated by mid-1975; on 11 August 1975, the Timorese Democratic Union launched a pre-emptive armed attack on FRETILIN; the counter-attack was launched on 20 August 1975; this date is being celebrated as the founding day of the Armed Forces for the Liberation of East Timor (FNL)."	1
":: Coordination among government agencies in all those areas."	0
"The potential increase in man-portable air defence systems (MANPADS) of Al-Qaida-affiliated groups in Africa and the ongoing conflict in the Syrian Arab Republic could create a threat in the future during 2013."	1
"The growing convergence between terrorist financing methods, particularly at the local level, and those of other criminal acts has made it more difficult to distinguish one from the other."	1
"Government forces intervened late in the course of the events by firing from within their camp, but their efforts were too late and insufficient to save lives or property."	1
"Suicide bombings have become commonplace."	1
"(a) A rough engineering drawing for the planning of the hall comprising the centrifuge classes at the Central Uranium Enrichment Repellent Plant (Building 4) in Yongbyon, on 12 November 2010."	0
"75. Instruments such as the Programme of Action assume that States have the capacity to take comprehensive measures with regard to the illicit trade in small arms, but this is often not the case, especially where the State does not have sufficient legitimacy or capacity is eroded by conflict, corruption and weak rule of law."	0
"Acting under Chapter VII of the Charter of the United Nations,"	0
"43. As the demonstration was scheduled to end at 1 p.m. on Friday, 28 April, it was clear that there had been a significant change in the situation of the masses gathered in front of the Government Palace since the early morning."	1
"At this critical moment, members of the community of nations have an unequivocal duty."	0
"V. Future role of the United Nations Observer Mission in Sierra Leone"	0
"A total of DM 4,071,825 was received from Dodsal with Nos. 13/DM to 16/DM."	0
"Report of the Secretary-General on the United Nations operation in Cyprus (S/2011/332)"	0
"Since the arrival of the French forces, the gendarmes have not been extrajudicially executed in BouakÃ©."	1
"This will help to facilitate arrangements for the pre-trial detention, trial and post-conviction treatment of high-risk offenders, in accordance with international human rights standards."	0
"In the view of the delegation of Togo, all these issues require urgent action to prevent the Sahel from falling into total insecurity, which would be very detrimental to its development."	0
"(a) Building the capacity of their systems to combat money-laundering and the financing of terrorism, with a particular focus on financial intelligence units, freezing the funds and assets of terrorists and regulating charities;"	0
"All the houses of the village were burned, and the bodies of the victims were buried in mass graves near the village."	1
"15. First, cross-border crime and weak border control can weaken State authority."	1
"72. The situation in Georgia (8 October 1992; 15 June 2009)."	0
"27. The popularity of F-FDTL has declined significantly, particularly by the veterans &apos; organizations that came into existence in 2001."	0
