"","en","VerCoop"
"1","S/RES/2093 (2013), op. 29",0
"2","Acting under Chapter VII of the Charter of the United Nations,",0
"3","14. Requests the Panel of Experts to continue to investigate the financing and role of armed, military, and political groups in attacks against UNAMID personnel in Darfur, and notes that individuals and entities who plan, sponsor or participate in such attacks constitute a threat to stability in Darfur and may therefore meet the designation criteria provided for in paragraph 3 (c) of resolution 1591 (2005);",0
"4","Goulia also transferred funds to Bobby Sarpee through Western Union, by way of his brother in Abidjan, Jean-Noel Adonis Tikouaï.",0
"5","Finally, we need to mainstream victims' participation and compensation into the works of these courts in the future.",1
"6","Affirming support for the Secretary-General's Personal Envoy for Western Sahara Ambassador Christopher Ross and his work in facilitating negotiations between the parties, welcoming his ongoing consultations with the parties and neighbouring states, and looking forward to his regional visit in the near future, including to Western Sahara, as per the communiqué of the Informal Meeting on Western Sahara 11-13 March 2012,",1
"7","236. The Monitoring Group met twice with members of the country team of the World Bank in Nairobi.",0
"8","In order to further inform the Security Council and potential bilateral partners of the threat to security in the Vakaga region, I have deployed a team to undertake a review of the prevailing security environment and a threat assessment, and will share its main findings with the Security Council.",0
"9","68. The killing of two UNODC experts on 7 April 2014, while on a counter-piracy mission in Somalia, was a sobering reminder of the risks that United Nations personnel face in their work to improve the lives of others.",0
"10","""The Security Council reiterates that there is no military solution to the conflict in Afghanistan and that only a negotiated political settlement aimed at the establishment of a broad-based, multi-ethnic and fully representative government acceptable to all Afghans can lead to peace and reconciliation.",1
"11","It met with leaders of the Mouvement patriotique de la Côte d'Ivoire (MPCI) in Bouaké as well as with leading human rights organizations, civil society and peace organizations, senior church officials, Christian and Islamic, the United Nations Country Team, members of the diplomatic corps and military personnel.",1
"12","Several Panel members expressed strong support for resolution 2185 (2014) and the first-ever briefing by heads of police components as providing an important basis for the Panel's work on the policing aspects of peace operations.",1
"13","Four States have specifically introduced measures for the suppression of terrorist recruitment.",1
"14","220. The Commission recommends that special measures be taken to ensure the dignity and avoid the retraumatization of victims in any judicial or non-judicial processes. VI. Conclusions and findings A. Conclusions",1
"15","111. Abigail Fielding-Smith of the British newspaper Financial Times, 14 January.",0
"16","Instead, States should establish a clear, complete and consistent legal framework that specifies terrorist acts as serious criminal offences, penalizes such acts according to their seriousness and helps the courts bring terrorists to justice.",1
"17","V. The Working Group's consideration of the future residual mechanism",0
"18","12. Aqeel Al-Aquil filed a lawsuit on 11 May 2005 in federal district court in the District of Columbia against officials of the United States Department of Justice, State and the Treasury, claiming that his designation as a terrorist by the United States Government on 2 June 2004 violated his rights under the United States Constitution. Al-Aquil, a resident and citizen of Saudi Arabia, was chairman of AlHaramain Islamic Foundation, which was based in Saudi Arabia until it was shut down by Saudi authorities in 2004. On 6 July 2004, the United Nations listed him under the family name Al-Aquil, along with various offices of Al-Haramain in Afghanistan, Albania, Bangladesh, Ethiopia and the Netherlands (the United Nations has listed other Al-Haramain offices both before and after that listing).",0
"19","2. Directs the sanctions committees established by the Security Council, including those established pursuant to resolution 1718 (2006), 1636 (2005), 1591 (2005), 1572 (2004), 1533 (2004), 1521 (2005), 1518 (2003), 1267 (1999), 1132 (1997), 918 (1994), and 751 (1992) to revise their guidelines accordingly;",1
"20","The facility in Larnaca, Cyprus, was closed on 22 June 2004.",0
"21","It was disheartening to feel their sense of frustration and disillusionment.",0
"22","The Council affirms the need to bring to justice, in an appropriate manner, individuals who incite or cause violence against civilians in situations of armed conflict or who otherwise violate international humanitarian and human rights law.",1
