"","en","MatCoop"
"1","3. The situation in Cyprus (27 December 1963; 15 June 2010).",0
"2","Acting under Chapter VII of the Charter of the United Nations, as described in section 1 of operative paragraph 7 of resolution 1542 (2004),",0
"3","2. Build confidence and enhance stability within the host State by promoting truth and reconciliation through:",1
"4","I call upon the donor community to contribute generously to the mine-clearance activities of Landmine Action, which are essential to providing a safe environment for the local population as well as for United Nations military and civilian personnel in Western Sahara.",0
"5","States are invited to run the fingerprints contained in the restricted versions of the notices through their police databases to check for matches within their own systems (sect. VI.C, para. 80)",1
"6","For instance, it has been possible to access areas such as Pujehun, Bonthe and Bo districts in the Southern Province as well as parts of Kenema district in the Eastern Province.",0
"7","Enforcement of those bans has also benefited from the public notoriety of the subjects, which makes them more recognizable and less likely to travel under a false identity.",1
"8","Second, limited information creates frustration and disaffection among the people responsible for checking the List, on whom effective implementation most depends, increasing the risk that listed names will not be spotted and that the measures may be applied to unintended targets.",0
"9","In most cases, ships -- through vigilance and situational awareness and an assertive response in accordance with the Best Management Practices for Protection against Somalia-based Piracy -- were successful in preventing boarding by attackers.",1
"10","A total of 12 States have taken steps to regulate the production, sale and transfer of arms and explosives, although only 2 have fully implemented such measures.",1
"11","2. The goals of the curriculum of each school subject;",0
"12","Recalling resolution 1373 (2001) of 28 September 2001, which established the Counter-Terrorism Committee (CTC), and recalling also its other resolutions concerning threats to international peace and security caused by terrorist acts,",1
"13","Panel discussions, media briefings, publications, reporting to the Security Council, enhanced staff capacity, five regional consultations on gender mainstreaming of the programme of action on illicit small arms and light weapons.",1
"14","Likewise, on the sidelines of the first Somali Islamic Convention in Belgium on 27 and 28 June 2009, Hizbul Islam supporters organized a fund-raising drive, which collected over Euro25,000 for the organization.",0
"15","Jebel Ali Port in the United Arab Emirates is by far the largest port in the Middle East. Consequently, the United Arab Emirates takes maritime security and threat prevention seriously, and has put in place advanced systems, infrastructures and processes to assess and respond to risks while also ensuring the smooth facilitation of trade.",0
"16","The third and final round was held from 28 May to 2 June and, in addition to polio immunization, included the provision of vitamin A supplements and deworming tablets.",0
"17","Standards set for the prosecution and punishment of gender-based crimes; persons accused of genocide tried; development of jurisprudence; national capacity for prosecution of genocide perpetrators enhanced.",1
"18","The involvement of Government forces in some of the attacks is an extremely negative development.",0
"19","Stressing that terrorism can only be defeated by a sustained and comprehensive approach involving the active participation and collaboration of all States, and international and regional organizations to impede, impair, isolate, and incapacitate the terrorist threat,",1
"20","Prime Minister Seniora reached agreement with members of the second delegation, which consisted of armed Palestinian groups headquartered in Damascus, to create a follow-up committee to discuss all issues, including the issue of arms. On 13 October, the Lebanese Cabinet, having unanimously approved the Prime Minister's position, decided to establish such a commission, with the aim of resolving through dialogue the question of Palestinian arms inside the camps.",1
"21","37. Within the framework of the Stabilization and Reconstruction Plan and the Support Strategy, eight State facilities were handed over to national authorities. These included police and administrative facilities in Masisi and Rutshuru territories in North Kivu; police, administrative and judicial facilities in Walungu, South Kivu; and a nautical training centre for the border police in Ituri district.",1
"22","A scuffle ensued, leading to police being called to the scene and tear gas being sprayed.",0
"23","It encourages communities to be self-monitoring and to counter polarizing views without Government interference as a more sustainable way to prevent radicalization within communities.",0
"24","For example, States in the Sahara region have found it difficult to deal with mobile terrorist training camps run by Al-Qaida in the Islamic Maghreb (QE.T.14.01.).",0
"25","Four States have policies and measures in place to counter the trafficking of arms and explosives, two have some measures, and one has no capacity in that area.",1
"26","In situations of armed conflict, under international humanitarian law the primary responsibility for protecting and meeting the needs of civilians lies with the party under whose control they find themselves.",1
"27","In 2009, the Russian Federation strengthened penal sanctions for assisting or participating in terrorist activity (including recruitment) and introduced a draft law to strengthen criminal liability for terrorism-related offences.",1
"28","B. Issuance of passports in Liberia",0
"29","Clan elders and the Kenyan authorities intervened in mid-August to help resolve the dispute.",1
"30","2. The situation in East Timor",0
"31","The 12 December Agreement also provides for the early release and repatriation of prisoners of war and all other persons detained as a result of the armed conflict.",1
"32",":: In the fulfilment of its mandate, the Committee is assisted by the Counter-Terrorism Committee Executive Directorate, under the policy guidance of the Plenary.",1
"33","""The Security Council notes the mandates of the MONUSCO and the UN Mission in South Sudan (UNMISS) to help protect civilians in LRA-affected areas and support the disarmament, demobilisation and reintegration of LRA combatants in their respective countries.",1
"34","All have resulted in de-listing.",0
"35","The Security Council reaffirms the principle of non-refoulement of refugees, as provided for in relevant instruments of international law, welcomes recent efforts of countries neighbouring [the affected State] to support the voluntary repatriation of refugees in safety and dignity, and urges those host States to continue to provide international protection to [those] refugees in need of it.",0
"36","Taking note of the report of the Secretary-General on the protection of civilians of 29 May 2009 (S/2009/277) and its annex on constraints on humanitarian access, which identify the core challenges to the effective protection of civilians, namely enhancing compliance with international law; enhancing compliance by non-State armed groups with their obligations under international law; enhancing protection through more effective and better resourced United Nations peacekeeping and other relevant missions; enhancing humanitarian access; and enhancing accountability for violations,",0
"37","The Commission finds that the crimes of sexual violence committed in Darfur may amount to rape as a crime against humanity, or sexual slavery as a crime against humanity.",0
"38","Its competence was redefined in March 2006 by UNMIK regulation 2006/50, which mandated the Commission for Kosovo to resolve claims directly related to or resulting from the armed conflict that occurred between 27 February 1998 and 20 June 1999 in respect of private immovable property, including agricultural and commercial property.",1
"39","Sub-paragraph 3 (f) and (g)",0
"40","From 14 to 18 October, UNOWA and UNOCA participated in a workshop organized by the Lake Chad Basin in Yaoundé to develop a regional counter-terrorism strategy, as well as to hold discussions on the multinational joint task force.",1
"41","For example, Europe has the European Union (EU) and the Schengen Agreement; Africa, the Economic Community of West African States (ECOWAS) and the Southern African Development Community (SADC); Asia, the Association of Southeast Asian Nations (ASEAN) and the Commonwealth of Independent States (CIS); North America, the North American Free Trade Agreement (NAFTA); Central America, the Central American Integration System (SICA); and South America, both the Andean Community and the Common Market of the South (MERCOSUR), which are moving towards a merger to create the South American Community of Nations.",1
"42","The Team's composition -- a group of experts with counter-terrorism, diplomatic, analytical, judicial, financial and legal experience supported by a high-quality team of United Nations professional staff -- lends itself to delivering this.",1
"43","In the resolution, the Security Council also requested that I establish the design of the Medal and submit in due course to the Council the modalities for determining how the recipients of the Medal shall be nominated and chosen, based on the criteria set forth in the resolution.",1
"44","Accordingly, in consultation with the Security Council Committee established pursuant to resolution 1718 (2006), I wish to inform you that I have appointed Mr. George Lopez (United States of America, expert on finance) and Mr. Takehiro Yamamoto (Japan, expert on nuclear issues), to serve on the Panel of Experts and carry out tasks as specified in paragraph 26 of the resolution.",1
"45","2. The Counter-Terrorism Committee Executive Directorate was established for an initial period ending on 31 December 2007 and is subject to a comprehensive review by the Security Council by 31 December 2005.",1
"46","At its request, MONUSCO also supported efforts by the Alliance des patriotes pour un Congo libre et souverain to integrate into FARDC.",1
"47","Professor Joseph Mpangu, coordinator of the study group on the situation in the Great Lakes region",0
"48","I handed over a list of the three senior RCD-Goma military commanders accused, noting that two of them had been promoted.",1
"49","The role of the United Nations will be pivotal to the success of these efforts.",0
"50","In accordance with paragraph 32 of this resolution, the Monitoring Team shall operate under the direction of the Committee established pursuant to resolution 1267 (1999) and shall have the following responsibilities:",1
"51","The Government has since repeatedly stated its preference for the receipt of direct bilateral support to build up the capacity of its security forces.",0
"52","202. A key issue in relation to facilitating appropriate investigation and prosecution of criminal conduct is to ensure that those persons with relevant information are willing to come forward to authorities and, where relevant, to testify in court.",1
