"","en_es_DEEPL","MatConf"
"1","Algunas de las facturas estaban parcialmente traducidas y las demás no se habían traducido.",0
"2","57. El interés propio de quienes se oponen al establecimiento de un gobierno de buena fe ha sido una constante, y el Grupo de Supervisión ha puesto de manifiesto en sus informes anteriores este problema central en Somalia. El problema persiste, y el tema más conspicuo del presente informe es la tendencia constante a la escalada de la violencia potencial en una pauta de protección de intereses creados arraigados.",0
"3","La Comisión verificó la presencia de dos fosas en el pueblo, una con los cadáveres de dos hombres y otra con los de siete, todos ellos muertos durante el ataque.",1
"4","Recordando sus resoluciones sobre el reclutamiento y la utilización de niños y los conflictos armados,",1
"5","o El 30 de noviembre de 2014, aviones de combate del régimen atacaron el mercado de Tayma, en Hasakeh, hiriendo a 2 personas y destruyendo 7 tiendas. Centros médicos",1
"6","19. Durante el periodo que abarca el informe se recibieron varios informes sobre presuntas actividades militares indonesias en las zonas fronterizas de Oecussi, aún sin resolver.",1
"7","Es fundamental evitar cualquier acción, actividad o declaración que pueda socavar u obstaculizar los esfuerzos de paz.",0
"8","El Departamento de Operaciones de Mantenimiento de la Paz está en proceso de identificar a un candidato, con rango de General de Brigada, para dirigir la oficina.",0
"9","Algunos de estos niños fueron reclutados por el ejército maoísta en violación del Acuerdo General de Paz, mientras que otros fueron reclutados por organizaciones afiliadas al PCN-Maoísta. Aproximadamente el 30% de estos niños fueron liberados tras pasar unos días con el PCN-Maoísta, y aproximadamente el 20% fueron encontrados más tarde en acantonamientos del ejército maoísta.",1
"10","Al parecer, la mayoría de los Estados sólo lo hacen cuando se lo ordena un tribunal o cuando lo solicita la parte incluida en la lista (o los herederos si la parte incluida en la lista ha fallecido).",0
"11","También se ha informado de que 18 mujeres fueron violadas durante el ataque a Adwa, en el sur de Darfur, a principios de diciembre de 2004.",1
"12","Tratado de Prohibición Completa de los Ensayos Nucleares (CTBT)",0
"13","4. Todavía no se ha producido ningún caso de este tipo.",0
"14","Además, en virtud del Pacto Internacional de Derechos Civiles y Políticos, incluso en una situación de emergencia pública no se puede hacer ninguna excepción a la prohibición del uso de la tortura.",1
"15","55. Canal indio NDTV -- 15 de octubre de 2011",0
"16","Dado que, al parecer, se utilizaron SA-7 para atacar aviones de pasajeros israelíes en la vecina Kenia en noviembre de 2002, esta información es motivo de preocupación.",1
"17","Amenazas a la paz y la seguridad internacionales causadas por actos terroristas",1
"18","También siguieron el inicio de la misión del enviado de Naciones Unidas, Kofi Annan, para alcanzar una solución pacífica a la crisis siria, sin recurrir a amenazas ni hablar de intervención extranjera.",0
"19","""El Consejo de Seguridad sigue seriamente preocupado por la situación de seguridad en la República Centroafricana.",0
"20","o El 28 de noviembre de 2014, aviones de guerra del régimen lanzaron un misil contra el paso de agua que conecta las aldeas de Bolail y Sahba en Deir ez-Zor, matando a 5 personas e hiriendo a otras 6. Ambulancias",1
