"es_en_GOOGLE"	"VerConf"
"The information we have received indicates that the special envoy is already studying new accommodating and appeasing agreements in the face of Ethiopia&#39;s failure to comply with the conditions of the Algiers Agreement and its rejection of the Boundary Commission&#39;s decision."	1
"Regarding the humanitarian situation, we are concerned that, according to information from the Office for the Coordination of Humanitarian Affairs (OCHA), 20 million people in the Sahel region need humanitarian assistance, particularly Mauritania, Niger, Burkina Faso and Chad."	1
"Threats and intimidation also prevent children from accessing school."	0
"The present report of the Security Council Committee established pursuant to resolution 1718 (2006) covers the period from 1 January to 31 December 2014."	0
"In discussing the development challenges facing Afghanistan, recent events highlight a gloomy picture regarding the security situation."	1
"Council members further emphasized that national reconciliation, the preservation of a climate of security and stability, the administration of justice and the reconstruction of the country ultimately depended on the people and Government of Haiti."	0
"As of 19 May 2012, there were 54 cascades installed in three of the eight units in Production Hall A and, as stated by Iran, UF6 was being introduced into 52 of them."	0
"Fourth, piracy off the coast of Somalia is an international problem, requiring our collective efforts and contribution."	1
"1. Reduction of commercial activity and conventional uses"	0
":: Take advantage of the presence of civilians or other protected persons so that certain points, areas or military forces are immune from military operations;"	0
"In this regard, Prime Minister Soro&#39;s request that UNOCI publish regular public reports on the media in C̫te d&#39;Ivoire would help control dangerous trends in the media, which could incite violence around the electoral process."	1
"It is estimated that there will be 300 dust storms per year in the next decade."	0
"This is unacceptable and must be strongly rejected, especially by the Security Council, using the mechanisms at its disposal."	1
"7. The situation in Liberia (January 22, 1991; December 19, 2008)."	0
"The planned civic service program, which should absorb a total of 20,000 ex-combatants and 20,000 youth at risk, has not yet been launched."	0
"112. Mohammad Mutlaq Rumeih Al-Bathali"	0
"Taking note of the proposal submitted to the Secretary-General by Morocco on 11 April 2007 and welcoming Morocco&#39;s serious and credible efforts to advance the process towards a solution; also taking note of the proposal presented to the Secretary General by the Polisario Front on April 10, 2007,"	0
"2. Payment or relief to third parties: US$9,785,464."	0
"In 13 of the cells there were two detainees, while in seven of them there was only one."	1
"Reaffirming that acts of terrorism must not be allowed to disrupt Iraq&#39;s political and economic transition, and further reaffirming the obligations of Member States under resolution 1618 (2005) of 4 August 2005 and other resolutions and relevant international conventions with respect to, inter alia, terrorist activities in and from Iraq or against its citizens,"	1
"We are very concerned by the stubborn refusal of leaders of groups such as the Justice and Equality Movement and the Sudan Liberation Movement to participate in the talks."	1
"The Security Council reiterates its call on all parties to armed conflicts, including non-State parties, to fully comply with the provisions of the Charter of the United Nations and the norms and principles of international law, in particular and to the extent applicable international humanitarian, human rights and refugee law, and to fully implement relevant decisions of the Security Council."	0
"Although most Ivorian stakeholders, such as President Gbagbo and Prime Minister Soro, were satisfied with the functioning of the mobile courts, the opposition party Rassemblement des r̩publicains complained that many Ivorian citizens &#39;Ivoire had not been able to access them, especially in the west of the country, due to the presence of militias, even when they were inactive."	1
"Given the limited jurisdiction of the Serious Crimes Unit and the failure of the Indonesian Special Court process, additional corrective measures would be necessary to ensure justice is done."	1
"It is unacceptable and also contravenes the publicly declared ban on landmines by anti-government forces."	1
"b) Uniforms and other supplies for personnel at the front (19,715,553 riyals);"	0
"At the request of the Central Bank of Somalia, UNODC developed draft regulations to combat money laundering and the financing of terrorism, which were presented to the Bank in August 2014."	0
"Results: 60 participants from 18 countries and regions (1995 to 2001)"	0
":: Irregularities in the bill of lading and final destination of the 22 vehicles;"	0
"In any case, the regime continues to encounter obstacles in the courts, although it is true that the Committee has not yet been able to demonstrate the effectiveness of the process adopted by the Ombudsman."	1
"Reaffirming that terrorism in all its forms and manifestations constitutes one of the most serious threats to international peace and security and that any act of terrorism is criminal and unjustifiable, regardless of its motivation and wherever and by whomever it is committed,"	1
"428. Atkins is the parent company of the WS Atkins Limited group, which includes, among others, WS Atkins Overseas Limited (&quot;Overseas Limited&quot;) and WS Atkins and Partners Overseas (&quot;Partners Overseas&quot;)."	0
"The Security Council calls on Burundi to prevent any support from its territory to armed groups in the Democratic Republic of the Congo."	1
"ii) Group verification method"	0
"Which will be held on Wednesday, April 27, 2011, at 3:00 p.m."	0
"Another State referred to the risks of increasing migratory flows, radical movements and the activation of international terrorist networks in the vicinity of Europe, although it stated that no imminent threat to its territory had been detected."	1
"The other crucial elements of this institution-building process are strengthening the rule of law by increasing the efficiency, impartiality and overall functioning of the judicial system, and improving law enforcement institutions to put curb organized crime and ethnic violence and bring all criminals to justice."	1
"At the same time, Germany and the European Union have previously repeatedly condemned the terrorist atrocities that have led to the deaths of hundreds of Israelis."	1
"During the reporting period, negotiations between the parties to reach a mutually acceptable solution that would allow the people of Western Sahara to exercise their right to self-determination have remained at an impasse."	1
"However, what Afghanistan has now achieved is significantly undermined by serious challenges to its security and stability."	1
"The Security Council reiterates its readiness to impose sanctions on persons and entities that shelter, finance, facilitate, support, organize, train or incite persons or groups to commit acts of violence or terrorism against other States or their citizens in Somalia. or in the region, in accordance with its relevant resolutions, and to other regional networks, as well as to individuals, groups, companies and entities that do not sever all their links with Al-Qaida and associated groups, including Al-Qaida in the Maghreb (AQIM), the &#39;Movement for Unity and Jihad in West Africa&#39; (MUJAO) and Ansar Eddine, in accordance with resolution 2083 (2012)."	1
"Lieutenant Colonel Falur ordered the soldiers to return fire."	0
"Finally, we must warn that it is not in the interest of international peace and security for the international community, including the Security Council, to use the plight of the Arab peoples for its own interest and to effect a change of regime."	1
"A. First and second stages Sector"	0
"However, we are concerned that violence could prevent part of the population from reaching the voting stations in the south and elsewhere."	1
"Which will be held on Monday, March 27, 2006, at 10:00 a.m."	0
"It is essential that cases of domestic violence and sexual assault are formally prosecuted in accordance with the penal code."	1
"The following section assesses the effectiveness of the measures taken by the Government of the Sudan, particularly those aimed at investigating crimes and prosecuting their perpetrators."	0
"The Security Council strongly condemns the continued use of Afghan territory, especially areas controlled by the Taliban, to harbor and train terrorists and plan terrorist acts, and reaffirms its conviction that the suppression of international terrorism is essential for the maintenance of international peace and security. Insists that the Taliban stop providing shelter and training to international terrorists and their organizations, adopt effective measures so that the territory under their control does not host terrorist installations and camps, nor serve to prepare or organize terrorist acts against other States or their citizens, and cooperate in efforts to bring to justice those accused of terrorist acts."	1
"I strongly condemn the use of toxic chemicals of all kinds by any of the parties in the Syrian conflict."	1
"B. Commitments of the countries of the region"	0
"a) The passport or travel document number of the person included on the List,"	0
"During our previous debate, Belgium had shared the concern expressed by the Secretary-General about the dangers that violence in Iraq represents for a society, institutions and political process that remain fragile."	1
"Faced with the serious and universal threat that terrorism continues to represent, France, when it held the Presidency of the Security Council last January, took the initiative to organize a session of the Council at ministerial level dedicated to the fight against terrorism."	1
"Acting under Article 41 of Chapter VII of the Charter of the United Nations,"	0
"The third and final round took place from May 28 to June 2 and, in addition to polio vaccination, vitamin A supplements and anthelmintic tablets were provided."	0
"Acting under Chapter VII of the Charter of the United Nations,"	0
"When the situation in Haiti is discussed within the framework of the United Nations, attention is almost always focused on so-called security issues, and urgent attention to serious structural, economic and social problems is minimized, for all practical purposes. social problems that afflict the country."	1
"After a long confrontation with the crowd, Deputy Commander Babo disarmed six of the eastern UIR agents and removed their flak jackets. They were escorted to the vehicles that were waiting for them."	0
"However, we remain concerned that too much emphasis is placed on visits to developing countries."	1
"The system, which is based on outdated technology, will be modernized."	0
"The Security Council calls on all parties to armed conflicts, including non-State parties, to end such practices."	1
"I was in Afghanistan for four days at the end of June to assess the humanitarian situation, due to growing concerns about the seriousness of humanitarian and protection of civilians issues."	1
"Case 11, Mondher ben Mohsen ben Ali al-Baazaoui (situation: name delisted)"	0
"In his latest report on the protection of civilians in armed conflict (S/2012/376), the Secretary-General indicated that the state of the protection of civilians remained dismal and that there was a clear need for normative commitments to be translate into concrete improvements for the protection of civilians on the ground."	1
":: Some members of the Security Council urged Member States that had not yet done so to become parties to the conventions and protocols related to the fight against terrorism negotiated under the auspices of the United Nations."	0
"a) Determinations of the Group in the case of the first series"	0
"This stalemate causes political tensions and undermines the atmosphere of increasing confidence that prevailed after the elections and the inauguration of President Martelly."	1
