"","ar_en_DEEP","MatCoop"
"120","Following the adoption of Security Council resolution 2100 (2013), which established the United Nations Multidimensional Integrated Stabilization Mission in Mali and made supporting the preservation of cultural heritage part of its mandate, UNESCO has been working with United Nations partners to include the safeguarding of cultural heritage in peacekeeping efforts. And recovery.",1
"121","Emphasizing that terrorism can only be overcome by adopting a sustained and comprehensive approach that involves the effective participation and cooperation of all States and international and regional organizations to prevent, weaken, isolate and incapacitate terrorist threats,",1
"122","1- Whether the “arising before” condition has an exclusionary effect",0
"123","Council members also recognized the need to establish an integrated United Nations office in the Central African Republic, as confirmed in the conclusions of a delegation from the Peacebuilding Commission following its recent visit to the country.",1
"124","Uruguay exchanges goods with Iran in accordance with national rules and procedures and relevant United Nations resolutions.",0
"125","May God bless the Arabs, and convey our greetings to our brothers in all Arab countries, to all good and kind people, and to the addresses to which you wish to convey your greetings.",0
"126","Fifty-four States reported that they had safeguards in place to ensure that weapons and ammunition produced within their jurisdiction could not be diverted for the use of those subject to sanctions.",1
"127","On 18 July 2011, the Council held a special session with troop- and police-contributing countries to the African Union-United Nations hybrid operation in Darfur.",1
"128","13. This situation has complicated efforts aimed at peace and reconciliation.",0
"129","To date, no documents have been collected from the Ministry of Culture and Youth, the Ministry of Communities and Returns and the Ministry of Justice.",0
"130","In the context of recodifying substantive criminal law, the Government proposed making legal entities criminally liable for a number of crimes, including terrorist crimes and terrorism-related crimes, such as money laundering and terrorist financing.",1
"131","Church of Our Lady, Sredske/Sredska, Prizren/Prizren",0
"132","42. In 2003, the Trial Chambers worked for a total of 498 trial days. In 2002, the three Trial Chambers served a total of 414 trial days. In 2001, these chambers worked for a total of 340 trial days.",0
"133","The counter-terrorism measures adopted by the international community at the national and regional levels in accordance with relevant United Nations initiatives will lay a solid foundation for a global system that can confront new challenges and threats under the auspices of the United Nations.",1
"134","The Declaration reminds the world that victims of crime should be treated with compassion and respect for their dignity, and are entitled to access to justice mechanisms and immediate redress in the form of restitution, compensation for harm suffered, or assistance.",1
"135","Sixth: Presidency of the conference",0
"136","(c) Take measures to ensure the protection and respect for the human rights of women and girls, especially those relating to the constitution, electoral system, police and judiciary.",1
"137","There was no access to medical treatment or proper diet for some people who were suffering from serious health problems.",0
"138","3 - States must bring to justice, in accordance with international law and based in particular on the principle of âextradition or prosecutionâ, anyone who finances, plans, supports or commits terrorist acts or provides safe haven to terrorists;",1
"139","49 - Many challenges remain in combating impunity, particularly due to the limited capacity of civilian and military judicial authorities to conduct independent and comprehensive investigations and provide protection to victims and witnesses.",0
"140","I have the honor to transmit herewith the report of the Security Council Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida, the Taliban and related individuals and entities, which contains the Committeeâs position on the recommendations contained in the sixth report of the Analytical Support and Sanctions Monitoring Team (S/2007/132, enclosure ) (See the attachment).",1
"141","27. In addition, several States have taken temporary measures to allow their officials to implement sanctions imposed under a list issued by the Security Council even before national verification processes are completed.",1
"142",":: There are 650 families in Al-Shifouniyah, and the total population is 650",0
"143","The issue of expanding cooperation with the Peacebuilding Commission was seen as crucial to the Council's program of work, and participants in particular called for a greater strategic vision for strengthening cooperation with the Peacebuilding Commission to emphasize the smooth flow of operational responsibilities between peacekeeping and peacebuilding and to enhance accountability for both. .",1
"144","3 - Daoud Agha-Jani, Head of the Experimental Fuel Enrichment Plant (Natanz)",0
"145","Some officials even admitted that the government was tracking the rebels to villages as their hiding place and that the destruction was caused by the fighting that ensued.",0
"146","The members of the group were requested to undertake a technical review of the suitability, applicability and scope of the provisions and the annex.",0
"147","(f) Actively participate in and support all relevant activities within the framework of the United Nations Global Counter-Terrorism Strategy, including within the Counter-Terrorism Implementation Task Force established to ensure overall coordination and coherence in the counter-terrorism efforts of the United Nations system United nations;",1
"148","Thirty graduates of the first four-week medium-term training program for senior municipal officials received training in law, economics, public finance, human resources management and conflict resolution.",1
"149","On 8 July 2004, an Additional Protocol was adopted in Addis Ababa establishing the necessary mechanisms and bodies for the implementation of the Convention.",1
"150","27 - Despite the delays, I find it encouraging that all stakeholders have now agreed to resume the exchange of family visits, allowing thousands of individuals in the region and in the camps in the Tindouf region to benefit from this humanitarian programme.",1
"151","States of the subregion are increasingly participating in regional projects and programs (which encourage the seeking, gathering and exchange of information and intelligence) as a means of enhancing capacity to address border terrorist threats and organized crime.",1
"152","I therefore call on donors to ensure continued assistance to demobilized ex-combatants, and that reintegration activities move forward without disruption.",1
"153","(a) Seeking and expediting the exchange of practical information, particularly relating to the actions or movements of terrorists or terrorist networks; with forged or counterfeit travel documents; trafficking in weapons, explosives or sensitive materials; Terrorist groups' use of communications technology; By the threat posed by terrorist groupsâ possession of weapons of mass destruction;",1
"154","Reports indicate that the severity of the attacks and atrocities committed in any village spread a degree of fear among residents of neighboring villages who survived those attacks, prompting them to also flee to areas where relative security prevailed.",0
"155","The Committee looks forward to the Executive Directorate receiving, before the end of November 2009, the first updated survey on the implementation of resolution 1373 (2001) at the global level for its consideration, in order to respond to the above request made by the Security Council.",1
"156","He participated in a training camp affiliated with the organization until November 2001, then he stayed in Afghanistan for more than a year to fight American forces. During this period, he had contacts with senior leaders in Al-Qaeda, who convinced him to return to Europe, where he was granted German travel documents that It affords wide scope for freedom of movement and recruitment of suicide attackers.",0
"157","The officer in charge of the crime scene, Major General Naji Malaeb of the Internal Security Forces, arrived at the scene at 5 p.m. on 14 February 2005. On 3 March 2005, he issued a report on the examination conducted by the Lebanese authorities of the crime scene [General Directorate of the Internal Security Forces, Beirut Police Unit, Signal No.: 95] and it stated the following:",1
"158","However, only 20 of them have adopted national practical and strategic measures to prevent recruitment into the ranks of terrorist groups.",1
"159","Cash mutual funds do not invest in financial derivatives, asset-backed products, mortgage-backed products or equity products;",0
"160","From 14 to 18 October, the United Nations Office for West Africa and the United Nations Regional Office for Central Africa participated in a workshop organized by the Lake Chad Basin Commission in YaoundÃ© to prepare a regional counter-terrorism strategy and hold discussions on a joint multinational force.",1
"161","The majority of countries have anti-money laundering legislation, and four of those countries include terrorist financing in their legislation as a predicate offence.",1
"162","The Mechanism notified the United Nations High Commissioner for Refugees that both men were on the list of senior UNITA officials.",0
"163","7 - Convention for the Suppression of Unlawful Acts against the Safety of Civil Aviation, signed in Montreal, ratified by the Socialist Republic of Czechoslovakia on August 10, 1973, and entered into force on September 9, 1973.",1
"164","Violence and displacement pose a direct challenge to the credibility of the voting process.",0
"165","4 - The recent exchange of visits at a high level between Iraq and Kuwait contributed to creating a favorable atmosphere for the coordinator to conduct his contacts with representatives of Iraq and Kuwait, as well as with other members of the Tripartite Committee and the technical subcommittee emanating from it, which remains the main body concerned with the issue of unaccounted for persons in the Gulf War. 1990-1991.",1
"166","All but one of the twenty-five member states of the European Union (420 police officers) are participating in the mission, along with other non-EU member states (52 police officers).",1
"167","More witnesses came forward as the committee's work progressed.",1
"168","The committee said that the government was trying to protect the civilian population and that it had not launched any military operations against civilians, but only against rebel targets.",1
"169","18 September 1998 Resolution 1197 (1998)",0
"170","The treaty establishing the Court, the Rome Statute, entered into force on 1 July 2002.",1
"171","The extent of cluster munitions is becoming increasingly evident as the work of the Landmine Action Organization progresses.",1
"172","110 - It is also important that special attention be paid to providing specialized training to investigators, prosecutors and judges, in areas such as combating the use of the Internet for terrorist purposes; Providing support and assistance to victims of terrorist acts; combating chemical, biological, radiological and nuclear terrorism; combating terrorism crimes related to transportation; And combating the financing of terrorism.",1
"173","221 - States of the subregion cooperate well with regional and international partners to reduce the threat of terrorism and their vulnerabilities to it. It exchanges intelligence on threats and warnings, exchanges operational information, and conducts joint exercises and maneuvers within bilateral and multilateral contexts.",1
"174","11 - Regular training was conducted on the basis of the annual plan. First aid training was conducted on 11 August by French firefighters from the Multinational Brigade (North-East) in Mitrovica. On 30 August, the Multinational Brigade (East) organized a seminar for recovery area commanders in Tradotz. The purpose was to provide a detailed officer development program to ensure that recovery area commanders understood their responsibilities and to ensure support for the programme. 12 - The general situation in Kosovo remains relatively calm, but it is tinged with tensions that will continue in the foreseeable future.",1
"175","Effectively addressing the problems faced by refugee and internally displaced women requires a comprehensive approach that combines preventive strategies, responses and solutions.",1
"176","It is important to present the image and acceptance of the police in society as the primary law enforcement agency.",0
"177","Acting for these reasons in accordance with Chapter VII of the Charter of the United Nations,",0
"178","A total of 12 States have taken steps to regulate the production, sale and transfer of weapons and explosives, although only two of them are fully implementing these measures.",1
"179","While the Syrian National Alliance works to alleviate the suffering of the Syrian people, we are also working to end the conflict that is the cause of this suffering.",1
"180","27. The RPA continued to bomb UPDF positions and launch futile attacks, and destroyed a power station on the Chubu River from tactical bases it had established within civilian assembly areas.",0
"181","Sepanir Oil & Gas Engineering Company",0
"182","There were no indications that the production of UF6 feedstock exceeded the laboratory level;",0
"183","As a result, some Committee members who do not have information about a name, and who were not party to the consultations, may feel marginalized in the decision-making process; But although there might have been a more open exchange of views at Committee meetings, all members had the option, which they frequently exercised, of requesting further details that they considered important.",0
"184","This process may help determine to what extent the oil observed as part of the field effort undertaken after the invasion is oil spilled as a result of the invasion or is due to more recent oil leaks.",0
"185","The prosecution began its case on January 17 and concluded its case on February 25, 2011.",0
"186","(b) Communications equipment - US$29,925,915(188)",0
"187","The Security Council calls on Member States to cooperate as a matter of urgency in resolving all outstanding issues with a view to adopting the draft comprehensive convention on international terrorism.",1
"188","We stressed the recent tragic effects of such messages on other parts of the continent.",0
"189","Noting the recent developments and initiatives that have emerged at the international, regional and subregional levels to prevent and suppress international terrorism, and noting the work undertaken by the Global Counter-Terrorism Forum, in particular its recent adoption of a comprehensive set of good practices aimed at addressing the phenomenon of foreign terrorist fighters and its dissemination of several Framework documents and other good practices, in the areas of, inter alia, countering violent extremism, criminal justice, prisons, kidnapping for ransom, support to victims of terrorism and community policing, to assist interested States in the practical application of the United Nations counter-terrorism legal and policy framework, and to complement The work undertaken in these areas by United Nations entities concerned with counter-terrorism,",1
"190","(b) Prevent the entry of such individuals into or transit through its territory, provided that nothing in this paragraph shall obligate any State to refuse entry to its nationals or to require them to leave its territory; Provided that this paragraph does not apply where entry or transit is necessary for judicial proceedings or where the Committee determines, on a case-by-case basis only, that entry or transit is justified;",0
