"","es","MatCoop"
"1","Se reunió también con el Secretario General de la Liga de los Estados Árabes, Sr. Amre Moussa, y el Secretario General de la Organización de la Conferencia Islámica, Sr. Ekmeleddin Ihsanoglu.",0
"2","El artículo 11 de la Ley de extradición de 1962 dispone lo siguiente:",0
"3","Destacando que sólo es posible derrotar al terrorismo mediante un enfoque sostenido y amplio que entrañe la participación y colaboración activas de todos los Estados y organizaciones internacionales y regionales para frenar, debilitar, aislar y neutralizar la amenaza terrorista,",1
"4","5. Solicita también al Secretario General que, de conformidad con el párrafo 6 de la resolución 1980 (2011), le mantenga informado, a más tardar el 30 de junio de 2011, en el informe final mencionado en el párrafo 2 de la presente resolución y ulteriormente en sus informes siguientes relativos a la ONUCI y la UNMIL, de los acontecimientos, las medidas adoptadas y la labor de coordinación entre la ONUCI y la UNMIL realizada con el objeto de ayudar a los Gobiernos de Côte d'Ivoire y Liberia, respectivamente, a vigilar su frontera y las zonas circundantes, y en particular de la manera en que el personal y el equipo militar redistribuido contribuye a ello, prestando especial atención a todo movimiento de combatientes o transferencia de armas a través de la frontera, y, a este respecto, alienta a la ONUCI y a la UNMIL a que, con arreglo a sus respectivos mandatos, capacidad y zonas de despliegue, ayuden, en colaboración con los Gobiernos de Côte d'Ivoire y de Liberia, respectivamente, a desarmar a quienes ponen en peligro la reconciliación nacional y la consolidación de la paz;",1
"5","Las visitas del Comité a la región han puesto de manifiesto que los Estados tienen que reforzar la aplicación de las leyes para prevenir la circulación ilegal a través de las fronteras de efectivo e instrumentos negociables al portador estableciendo indicadores de riesgo y desarrollando la capacidad en el ámbito de las metodologías de detección.",1
"6","Todos los Estados, salvo uno, para el cual no se dispone de información, han establecido estrategias y estructuras institucionales de lucha contra el terrorismo, y en ellos existe una coordinación plena o parcial entre los organismos encargados de hacer cumplir la ley que se ocupan de la lucha antiterrorista.",1
"7","El Consejo de Seguridad reitera la necesidad de aumentar la cooperación que mantienen los comités con mandatos antiterroristas establecidos en virtud de las resoluciones 1267 (1999) y 1989 (2011), 1988 (2011), 1373 (2001) y 1540 (2004) y sus respectivos grupos de expertos.",0
"8","Se elogió la introducción del informe anual 2007/2008, preparada por la delegación de Viet Nam, porque en ella figuraba tanto un resumen como un análisis de fondo de las actividades del Consejo en distintas regiones respecto de cuestiones que iban desde la proliferación de las armas de destrucción en masa a la función de las organizaciones regionales y subregionales para contribuir al mantenimiento de la paz y la seguridad internacionales.",1
"9","Existen pruebas documentadas que así lo corroboran.",0
"10","2. Decide también que todos los Estados, de conformidad con sus procedimientos nacionales, deben adoptar y aplicar leyes apropiadas y eficaces que prohíban a todos los agentes no estatales la fabricación, la adquisición, la posesión, el desarrollo, el transporte, la transferencia o el empleo de armas nucleares, químicas o biológicas y sus sistemas vectores, en particular con fines de terrorismo, así como las tentativas de realizar cualquiera de las actividades antes mencionadas, participar en ellas en calidad de cómplices, prestarles asistencia o financiarlas;",0
