"","ar","MatConf"
"1","وخلال هذه التوقيفات، كثيرا ما كان الضحايا يتعرضون لسوء معاملة فظيعة، وسرقة ممتلكاتهم ونهب بيوتهم، وكانوا في بعض الحالات يعدمون بدون محاكمة.",1
"2","وتفيد التقارير بأن عناصر تلك القوات قد تشتت في جنوب كيفو، وأن قدرتها على الحركة بحرية في المراكز السكانية ومهاجمة المدنيين أصبحت مقيدة ومع ذلك، لا ينبغي الاستهانة بقدرتها على شن هجمات، لا سيما في ظل محدودية موارد القوات المسلحة لجمهورية الكونغو الديمقراطية وضعف تدريبها العسكري وعدم انضباط بعض وحداتها في تلك الجهة وتواطئها أحيانا مع قادة القوات الديمقراطية لتحرير رواندا.",1
"3","وحتى مع احتمال ألا تكون الحكومة في معظم الحالات قد اشتركت في التدمير، فإن اشتراكها في الهجمات التي تم خلالها التدمير ووجود قواتها في مكان التدمير يكفيان لجعلها شريكة في المسؤولية عن هذا التدمير.",1
"4","وإذ يؤكد من جديد قراره 1540 (2004)، وضرورة قيام جميع الدول بتنفيذ التدابير الواردة فيه تنفيذا تاما، وإذ يدعو جميع الدول الأعضاء والمنظمات الدولية والإقليمية كافة إلى التعاون النشط مع اللجنة المنشأة عملا بالقرار المذكور، بما في ذلك في سياق الاستعراض الشامل المنصوص عليه في القرار 1810 (2008)،",0
"5","والعنصر البرنامجي الأول فيها هو إنشاء وحدات لمكافحة الجريمة العابرة للحدود الوطنية في سيراليون، وغينيا، وغينيا - بيساو، وكوت ديفوار، وليبريا.",0
"6","١٨ - وفي بيني، دعا كل من السلطات المحلية والمجتمع المدني إلى زيادة فعالية مشاركة قوة البعثة في العمليات العسكرية ضد التحالف، وذلك بسبل منها تنفيذ عمليات أحادية الطرف.",0
"7","ويبدو واضحا أن الإرهابيين المدرجين في القائمة ما زالوا قادرين على جمع واستلام الأموال من المتعاطفين معهم من خارج دائرتهم المباشرة.",1
"8","23 - كانت منطقة شرق أفريقيا ضحية للإرهاب فيما مضى، ولا تزال تواجه درجة عالية من التهديدات الإرهابية نظرا لاستمرار عدم الاستقرار السياسي فيها.",1
"9","وحددت البعثة المتكاملة 32 امرأة تعرضن للعنف الجنسي المرتبط بالنزاع في إقليم تمبكتو، وأحالتهن إلى منظمات غير حكومية مستعدة لمساعدتهن في رفع دعاواهن أمام القضاء.",1
"10","وفي كل من الواقعتين، أرغمت الشابات على خلع ملابسهن تحت التهديد بالسلاح، واغتصبن من جانب الجنجويد وتركن بعدئذ عاريات بالطريق.",1
"11","فقد أخبروا اللجنة بأن الشرطة كانت مستهدفة بالفعل خلال الهجمات التي شنت على القرى، إلا أنهم أنحوا باللائمة بشكل رئيسي على الجنجويد لمثل هذه الأعمال.",1
"12","412 - إن اختطاف الأشخاص خلال هجمات الجنجويد واحتجازهم في مخيمات يتعهدها الجنجويد، بدعم وتواطؤ من القوات العسكرية الحكومية، يشكلان انتهاكين جسيمين لحقوق الإنسان ويندرجان ضمن حالات الاختفاء القسري.",1
"13","وفضلا عن ذلك، فإن طريقة ونمـط عمليات التحليق الجوي السابقة للهجمات لم يكن ممكنـا بأي حال تأويلهما بأنهما إشـارات تحذير، إذ أن تلك العمليات كانت، وبوضوح، جزءا من الهجوم.",1
"14","في آذار/مارس 2004، بقرية دوبو في شمال دارفور: ""جعلوا يضرمون النار في كل شيء ويسرقون أمتعتنا.",1
"15","وبتاريخ انتهاء الفترة المشمولة بهذا التقرير، دُمر بالفعل ما نسبته في المجموع 37 في المائة من صبيب العامل DF الذي سلّمته السفينة كايب راي (MV Cape Ray) يومَي 30 و 31 آب/أغسطس 2014.",1
"16","وتلقت اللجنة 44 إخطارا يستند إلى الفقرة 21 من القرار 1970 (2011).",0
"17","وأعرب عن القلق من ازدياد هدم المباني في فلسطين، ومن الخطر الكامن في نقل تجمّع أم الخير البدوي قسرا، ومن استمرار النشاط الاستيطاني الإسرائيلي، الذي قال إنه يشكل انتهاكا للقانون الدولي.",1
"18","وإضافة إلى ذلك، لا تزال قوات الأمن السورية تقوم بعمليات على طول الحدود السورية - اللبنانية التي زرع جزء منها بالألغام في الأشهر الأخيرة.",1
"19","ويشكل استمرار تدفق المقاتلين غير السوريين إلى الجبهة أمراً يبعث على القلق، وهو شاغل مشترك لمجموعة من السلطات الوطنية التي ما فتئت تتابع هذه المشكلة.",1
