"","es_en_DEEPL","VerConf"
"1","B. Financial losses 409 - 411 86",0
"2","At the same time, President Al-Bashir is threatening the international community with retaliation and even more crimes.",1
"3","Moreover, the Taliban can still import weapons, other materiel and troops, and the key to military success lies in neutralizing their supply lines and preventing them from finding safe havens where their fighters can recover between operations and train new recruits.",0
"4","Women were also abducted and raped in three Janjaweed camps following attacks on Korma in North Darfur in March 2003.",0
"5","Voices continue to be raised by Haitian political leaders and civil society actors calling for a national consensus to move forward in key areas such as the national budget, education, recovery and development priorities, elections and constitutional reform.",1
"6","For our part, we consider that the issue of legitimacy is directly related to the holding of the elections, preparations for which are underway in the Joint Electoral Management Body.",1
"7","Article 9(4) establishes an important guarantee: the right to have the legality of detention reviewed by a court.",0
"8","All evidence confirms Luberef's assertion that the payments had been made.",0
"9","A September 2005 study of foreign-born terrorists who had operated in the United States concluded that about two-thirds had entered or remained in the country fraudulently and that more than one-third had subsequently been charged with passport and visa fraud or misrepresentation in their statements to an immigration official.",0
"10","152 dinars per capita x 837 workers x 7 months/17 months = 52,387 Kuwaiti dinars.",0
"11","Mr. Isaac was armed with a Steyr rifle and at least three other men armed with Steyr rifles or FN-FNC semi-automatic rifles were present.",0
"12","The Security Council also reiterates its grave concern about the consequences of the instability in northern Mali for the Sahel region and beyond, and stresses the need to react swiftly to this crisis, using a strategic and comprehensive approach, in order to ensure Mali's territorial integrity and restore its stability and prevent instability from spreading to other Sahel States.",1
"13","Sometime between 1315 hours and 1330 hours, Lieutenant Colonel Ahmed Al-Assir informed him of the explosion and that the target had been Mr. Hariri's motorcade.",1
"14","2. Other documents (if available) that provide evidence of the origin of the gold to be extracted;",0
"15","The disarmament and arrest of the perpetrators of the violence is the Council's most important demand and the clearest case of failure by the Government to fulfill its responsibilities.",1
"16","Trevi s.p.a (Trevi Coliseum s.p.a)",0
"17","However, there are others who are not wanted by any law enforcement agency and who may not have ready access to false documents of sufficient quality to go undetected under close scrutiny, but who nonetheless calculate that, given the limited personal information about them on the List, it is reasonably certain that they can cross a border post using their real documents without being discovered.",0
"18","The Commission will serve as a forum for youth to express themselves and ensure policy coherence by promoting youth interests in government policies.",0
"19","The President emphatically described the unfortunate incident as unpleasant and unacceptable, as it foreshadows possible violence during the upcoming 2012 elections.",1
"20","They need to take appropriate measures to suppress the financing of terrorism.",1
"21","For this reason Greece has insisted on the need to clarify, in the sixth preambular paragraph, in which the Council urges ""progress towards the resumption of negotiations for a comprehensive settlement"", that it should be reiterated that such negotiations have to take place between the two communities.",1
"22","In this regard, another participant, noting the rising costs of peacekeeping operations, lamented the Council's lack of military expertise.",1
"23","Once again, we condemn the killing of civilians, whether Palestinian or Israeli.",1
"24","The Council must demand an immediate cessation of all military operations in Gaza and the withdrawal of Israeli occupation forces from Gaza.",1
"25","Analysis of the threat posed by terrorist groups on the African continent is of great concern because, rightly or wrongly, it lumps together political, religious and ideological extremism with organized crime.",1
"26","Innovative ways must be found to prevent terrorists in countries with cash-based economies from acquiring funds, either in cash or by smuggling goods or illicitly manipulating commercial transactions.",1
"27","Instead of the famous 2014 World Cup logo, which is composed of three victorious hands holding the globe forming the prestigious cup, the Palestinian Authority cartoon shows a ""trophy"" of three hands grasping three people whose arms are raised in an attitude of surrender.",1
"28","President Al-Bashir retaliated diplomatically against Kenya and threatened it with economic and trade sanctions.",1
"29","However, the Group does not consider this to be a significant loophole, as the Institute is not seeking compensation for lost profits or other losses that would require the Group to deduct future payments.",0
"30","This is unacceptable and must be forcefully rejected, especially by the Security Council, using the mechanisms at its disposal.",1
"31","The note outlines how the joint needs assessment for Somalia should be carried out, and envisages considerable involvement in Somali activities, either as interlocutors in the government and in the area or as international experts drawn from the expatriate community.",0
"32","The New York Times, U.S. newspaper; Neil MacFarquhar, U.S. journalist, November 28, 2011.",0
