en_ar_TRANSFORMERS	QuadClass
كما سنّت باراغواي وبيرو وشيلي وكولومبيا تشريعات تمنح سلطاتها المعنية بإنفاذ القوانين سلطات تحقيق خاصة.	4
ولكن، على الرغم من أن الفريق لا يقدر أن المشورة التقنية شبه العسكرية المتاحة على شبكة الإنترنت تشكل تهديداً على قدم المساواة مع التدريب على الحياة الحقيقية، فإن هذه الإمكانية ستزداد مع تحسن نوعية المشورة.	1
وشدد على ضرورة تعزيز الحوار داخل المؤسسات الاتحادية الانتقالية وشجع محاوريه على استخدام نفوذهم لتحقيق هذه الغاية.	4
ولا شك في أن المخاطر كبيرة، لأن عدم الوفاء بالموعد النهائي لإجراء الاستفتاءات المنصوص عليه في اتفاق السلام الشامل يمكن أن تكون له عواقب وخيمة.	3
وأعرب بعض أعضاء المجلس عن قلقهم لعدم التمكن حتى الآن من إحراز تقدم في التحقيقات في الجرائم التي يرتكبها المتمردون.	4
فعلى سبيل المثال، عملت المديرية التنفيذية للجنة مكافحة الإرهاب على نطاق واسع مع الدول لبناء قدراتها على إدارة الحدود من أجل مراقبة تحركات الإرهابيين وقدرتها في مجال العدالة الجنائية على التصدي لغسل الأموال.	2
٧ - يطلب إلى جميع الدول أن تتصرف بدقة وفقا لأحكام هذا القرار، بصرف النظر عن وجود أي حقوق أو التزامات ممنوحة أو مفروضة بموجب أي اتفاق دولي أو أي عقد مبرم أو أي ترخيص أو تصريح ممنوح قبل تاريخ بدء نفاذ التدابير المفروضة بموجب الفقرة ٤ أعلاه؛	4
2 - يهيب بالحكومة السورية أن تنفذ على نحو واضح التزاماتها كاملة، على النحو الذي وافقت عليه في التفاهم الأولي وعلى النحو المنصوص عليه في القرار 2042 (2012)، بما يلي: (أ) وقف تحركات القوات نحو المراكز السكانية، (ب) وقف جميع أشكال استخدام الأسلحة الثقيلة في تلك المراكز، (ج) الانسحاب الكامل من التجمعات العسكرية في المراكز السكانية وحولها، وكذلك سحب قواتها وأسلحتها الثقيلة من المراكز السكانية إلى ثكناتها أو أماكن انتشارها المؤقتة لتيسير وقف العنف بشكل مستمر؛	3
جمهورية أفريقيا الوسطى ووحدة الحراسة التابعة لها، وفرقة العمل الإقليمية التابعة للاتحاد الأفريقي، والقوات الفرنسية المنتشرة في جمهورية أفريقيا الوسطى (الفقرة 54 (أ))؛ وإمدادات المعدات العسكرية غير الفتاكة المخصصة حصرا للاستخدامات الإنسانية أو الوقائية، وما يتصل بذلك من مساعدة أو تدريب تقنيين (الفقرة 54 (ب))؛ والملابس الواقية، بما في ذلك سترات الشظايا والخوذات العسكرية، التي يصدرها مؤقتا إلى جمهورية أفريقيا الوسطى موظفو الأمم المتحدة وممثلو وسائط الإعلام والعاملون في المجالين الإنساني والإنمائي والأفراد المرتبطون بهم، لاستعمالهم الشخصي فقط (الفقرة 54 (ج))؛ وإمدادات الأسلحة الصغيرة وغيرها من المعدات ذات الصلة المخصصة حصرا للاستخدام في الدوريات الدولية التي توفر الأمن في منطقة نهر سانغا المشمولة بحماية ثلاثية للدفاع ضد الصيد غير المشروع وتهريب الأعرج والأسلحة، وغير ذلك من الأنشطة التي تتعارض مع القوانين الوطنية لجمهورية أفريقيا الوسطى أو مع الالتزامات القانونية الدولية لجمهورية أفريقيا الوسطى (الفقرة 54 (د))؛ وإمدادات الأسلحة وغيرها من المعدات الفتاكة ذات الصلة لقوات الأمن في جمهورية أفريقيا الوسطى، المقصود بها حصرا دعم عملية إصلاح قطاع الأمن في جمهورية أفريقيا الوسطى أو استخدامها فيها، على النحو الذي وافقت عليه اللجنة مسبقا (الفقرة 54 (هـ))؛ أو غير ذلك من مبيعات الأسلحة والأعتدة ذات الصلة أو توريدها، أو تقديم المساعدة أو الأفراد (الفقرة 54 (الفقرة 54)).	2
فعلى سبيل المثال، أجرت كرواتيا وبولندا، بدعم من مكتب شؤون نزع السلاح، استعراضا أقران لتنفيذهما للقرار، يتألف من جولتين من المناقشات والأنشطة في وارسو وزغرب، لاحظهما خبراء اللجنة، وساعد استعراض الأقران هذا على تحديد الممارسات الفعالة وتيسير تبادل الخبرات.	2
