en_ar_DEEPL	QuadClass
كما سنت باراغواي وباراغواي وبيرو وشيلي وكولومبيا تشريعات تمنح سلطات إنفاذ القانون فيها صلاحيات تحقيق خاصة.	4
ولكن، على الرغم من أن الفريق لا يرى أن المشورة التقنية شبه العسكرية المتاحة على الإنترنت تمثل تهديداً يضاهي التدريب في الحياة الواقعية، إلا أن الاحتمال سيزداد مع تحسن نوعية المشورة.	1
وأكد على ضرورة تعزيز الحوار داخل المؤسسات الاتحادية الانتقالية وشجع محاوريه على استخدام نفوذهم لتحقيق هذه الغاية.	4
لا يمكن إنكار أن المخاطر كبيرة بلا شك، حيث أن عدم الالتزام بالموعد النهائي للاستفتاءات المنصوص عليها في اتفاق السلام الشامل قد يكون له عواقب وخيمة.	3
وأعرب بعض أعضاء المجلس عن قلقهم إزاء عدم إحراز تقدم في التحقيقات في الجرائم التي ارتكبها المتمردون.	4
فقد عملت المديرية التنفيذية للجنة مكافحة الإرهاب، على سبيل المثال، على نطاق واسع مع الدول لبناء قدراتها في مجال إدارة الحدود للسيطرة على تحركات الإرهابيين وقدرات العدالة الجنائية على التصدي لغسل الأموال.	2
7. يهيب بجميع الدول أن تتصرف بدقة وفقا لأحكام هذا القرار، بصرف النظر عن وجود أي حقوق أو التزامات يمنحها أو يفرضها أي اتفاق دولي أو أي عقد مبرم أو أي ترخيص أو إذن ممنوح قبل تاريخ بدء نفاذ التدابير المفروضة بموجب الفقرة 4 أعلاه؛	4
2. يهيب بالحكومة السورية أن تنفذ التزاماتها تنفيذا واضحا في مجملها، على النحو الذي وافقت عليه في التفاهم الأولي وعلى النحو المنصوص عليه في القرار 2042 (2012)، وذلك من أجل (أ) وقف تحركات القوات نحو المراكز السكانية، (ب) وقف جميع استخدام الأسلحة الثقيلة في هذه المراكز، (ج) الانسحاب الكامل للحشود العسكرية في المراكز السكانية وحولها، وكذلك سحب قواتها وأسلحتها الثقيلة من المراكز السكانية إلى ثكناتها أو أماكن انتشارها المؤقت لتيسير وقف العنف بشكل مستدام;	3
جمهورية أفريقيا الوسطى ووحدة الحراسة التابعة لها وفرقة العمل الإقليمية التابعة للاتحاد الأفريقي والقوات الفرنسية المنتشرة في جمهورية أفريقيا الوسطى (الفقرة 54 (أ)). 54 (أ)؛ والإمدادات من المعدات العسكرية غير الفتاكة المخصصة حصرا للاستخدام لأغراض إنسانية أو وقائية، وما يتصل بذلك من مساعدة تقنية أو تدريب (الفقرة 54 (ب)؛ والملابس الواقية، بما في ذلك السترات الواقية والخوذات العسكرية التي يصدّرها مؤقتا إلى جمهورية أفريقيا الوسطى موظفو الأمم المتحدة وممثلو وسائط الإعلام والعاملون في المجالين الإنساني والإنمائي والأفراد المرتبطون بهم لاستخدامهم الشخصي فقط (الفقرة 54 (ب))؛ والملابس الواقية التي يصدّرها مؤقتا إلى جمهورية أفريقيا الوسطى موظفو الأمم المتحدة وممثلو وسائط الإعلام والعاملون في المجالين الإنساني والإنمائي والأفراد المرتبطون بهم لاستخدامهم الشخصي فقط (الفقرة 54 (ج)). 54 (ج)؛ إمدادات الأسلحة الصغيرة وغيرها من المعدات ذات الصلة المخصصة حصرا لاستخدامها في الدوريات الدولية التي توفر الأمن في منطقة نهر سانغا المحمية الثلاثية للدفاع ضد الصيد غير المشروع وتهريب العاج والأسلحة وغير ذلك من الأنشطة المخالفة للقوانين الوطنية لجمهورية أفريقيا الوسطى أو للالتزامات القانونية الدولية لجمهورية أفريقيا الوسطى (الفقرة 54 (ج))؛ إمدادات الأسلحة الصغيرة والمعدات ذات الصلة المخصصة حصرا لاستخدامها في الدوريات الدولية التي توفر الأمن في منطقة نهر سانغا المحمية الثلاثية للدفاع ضد الصيد غير المشروع وتهريب العاج والأسلحة وغير ذلك من الأنشطة المخالفة للقوانين الوطنية لجمهورية أفريقيا الوسطى أو للالتزامات القانونية الدولية لجمهورية أفريقيا الوسطى (الفقرة 54 (د)؛ وتوريد الأسلحة والمعدات الفتاكة الأخرى ذات الصلة إلى قوات الأمن في جمهورية أفريقيا الوسطى، المخصصة حصرا لدعم عملية إصلاح قطاع الأمن في جمهورية أفريقيا الوسطى أو لاستخدامها في هذه العملية، على النحو الذي وافقت عليه اللجنة مسبقا (الفقرة 54 (د))؛ أو غير ذلك من الإمدادات من الأسلحة والمعدات الفتاكة ذات الصلة (الفقرة 54 (هـ)؛ أو غير ذلك من عمليات بيع أو توريد الأسلحة والأعتدة ذات الصلة، أو تقديم المساعدة أو الأفراد (الفقرة 54 (هـ)). 54 (f)).	2
فعلى سبيل المثال، أجرت كرواتيا وبولندا، بدعم من مكتب شؤون نزع السلاح، استعراض أقران لتنفيذها للقرار، تألف من جولتين من المناقشات والأنشطة في وارسو وزغرب، التي راقبها خبراء اللجنة. وساعد استعراض الأقران هذا على تحديد الممارسات الفعالة ويسّر تبادل الخبرات.	2
وكان قد أجرى العديد من المبادلات مع الحكومة المغربية، التي طلبت قبل قبول استئناف الدبلوماسية المكوكية عقد اجتماع لتوضيح شواغلها بشأن التقرير الأخير للأمين العام (S/2014/258)، موضحا أن المغرب يعتبر أن ذلك سيسمح للعملية بالمضي قدما بأفضل طريقة ممكنة.	4
وعلى الرغم من الاهتمام المتزايد والتطورات الإيجابية التي حدثت مؤخراً في هذا المجال، إلا أن العديد من التحديات على أرض الواقع فيما يتعلق بالتنفيذ لا تزال قائمة، ولا سيما التحديات المتعلقة باستمرار عدم الوضوح المحيط بمفهوم حماية المدنيين وتفعيلها، وآليات التنسيق الداخلية والخارجية، والإنذار المبكر والاستجابة السريعة، ودعم قوات الأمن التابعة للحكومة المضيفة، وقدرات القوات وتوفير الموارد.	3
15. منذ تقريري المؤرخ 2 كانون الثاني/يناير 2008 المقدم إلى مجلس الأمن (S/2008/1)، أزالت عملية الأمم المتحدة في كوت ديفوار جميع مراكز المراقبة الـ 17 التي أنشأتها على طول الخط الأخضر باستثناء مركزين اثنين، وذلك تمشيا مع أحكام اتفاق واغادوغو.	2
50. أجرى المقرر الخاص المعني بتعزيز وحماية حقوق الإنسان والحريات الأساسية في سياق مكافحة الإرهاب زيارة رسمية إلى بوركينا فاسو في الفترة من 8 إلى 12 نيسان/أبريل 2013، بدعوة من الحكومة، لجمع معلومات عن الوضع الحالي في بوركينا فاسو وبالتالي مساعدة الحكومة في جهودها الرامية إلى مكافحة الإرهاب مع احترام حقوق الإنسان وتعزيز تنفيذ الصكوك الدولية.	2
وكان الهدف من هذه الجهود هو تحسين الأمن في المنطقة وتعزيز تحالف وادي جوبا والمصالحة بين الجنرال "مورقان" والتحالف، اللذين يتنازعان على الأراضي في وادي جوبا منذ عدة سنوات.	2
ينبغي للدول الامتناع عن إعاقة الجهات الفاعلة في المجال الإنساني في جهودها الرامية إلى إشراك الجماعات المسلحة من غير الدول لأغراض إنسانية، بما في ذلك القيام بأنشطة تهدف إلى تعزيز احترام القانون الإنساني الدولي.	3
تحث الدول الأعضاء على ضمان زيادة تمثيل المرأة على جميع مستويات صنع القرار في المؤسسات والآليات الوطنية والإقليمية والدولية لمنع نشوب النزاعات وإدارتها وحلها.	4
38. يوعز إلى اللجنة أن تحدد الحالات المحتملة لعدم الامتثال للتدابير عملا بالفقرة 1 أعلاه وأن تحدد مسار العمل المناسب بشأن كل حالة، ويطلب إلى الرئيس أن يقدم تقارير مرحلية عن عمل اللجنة بشأن هذه المسألة في تقارير دورية إلى المجلس عملا بالفقرة 46 أدناه؛	2
H. منع الاستغلال والانتهاك الجنسيين من جانب موظفي الأمم المتحدة والأفراد المرتبطين بها وشركاء الأمم المتحدة والتصدي لهما;	2
6. واستناداً إلى الاستعراض الشامل لجميع الأسماء المدرجة في القائمة الذي أُنجز في عام 2010، عملاً بالفقرة 25 من القرار 1822 (2008)، نفذت اللجنة منذ ذلك الحين آليات عديدة لضمان أن تعكس القائمة على أفضل وجه التهديد الذي يشكله تنظيم القاعدة ولضمان استعراض كل قيد من القيود بشكل دوري لتحديد ما إذا كان استمرار الإدراج في القائمة مناسباً.	2
استحدثت ثلاث دول إجراءات تحظر تسليم الأفراد الذين قد يواجهون خطر التعذيب أو الاضطهاد.	2
ضمان التنسيق والتنفيذ الفعال لسياسة الأعمال المتعلقة بالألغام والمبادئ التوجيهية الجنسانية لبرامج الأعمال المتعلقة بالألغام. الفريق العامل المشترك بين الوكالات المعني بنزع السلاح والتسريح وإعادة الإدماج (برئاسة إدارة عمليات حفظ السلام وبرنامج الأمم المتحدة الإنمائي) الذي أنشأته اللجنة التنفيذية لبرنامج الأمم المتحدة الإنمائي لتحسين أداء المنظمة في مجال نزع السلاح والتسريح وإعادة الإدماج، ويقدم الفريق العامل المشترك بين الوكالات المشورة الاستراتيجية، بما في ذلك بشأن الاحتياجات التدريبية والسياسات والاستراتيجيات؛ ويتعهد ويستعرض مجموعة توجيهات الأمم المتحدة المطورة بشأن نزع السلاح والتسريح وإعادة الإدماج؛ ويطور ويدير مركز الأمم المتحدة لموارد نزع السلاح والتسريح وإعادة الإدماج؛ وييسر تخطيط عمليات نزع السلاح والتسريح وإعادة الإدماج بين وكالات الأمم المتحدة ذات الصلة.	2
وأشار إلى أن فشل مجلس النواب اللبناني في انتخاب رئيس جديد للجمهورية قوّض استقرار لبنان وصموده منذ بداية النزاع في الجمهورية العربية السورية.	3
وقد تأثرت النساء والأطفال، ولا سيما الفتيات، بالعنف والنزاعات الناشئة حديثاً والمرتبطة بانتشار الميليشيات والجماعات المسلحة، والتي ترتبط في بعض الحالات بالتطرف العنيف، في حين لا تزال العديد من النزاعات التي طال أمدها دون حل.	1
60. ويتطلب دعم استعادة الحد الأدنى من سلطة الدولة المستدامة وبسطها على المناطق المحررة من الجماعات المسلحة تعزيز التزام الحكومة بنشر إدارة الدولة، بما في ذلك الشرطة وموظفو القضاء والإصلاحيات وتزويدها بالموارد اللازمة.	2
