"","ar_en_DEEPL","QuadClass"
"32","60. Supporting the sustainable restoration and extension of a minimum level of State authority to areas liberated from armed groups requires strengthening the Government's commitment to deploy the State's administrative apparatus, including police, judicial and prison personnel, and the necessary resources.",2
"33","âThe Security Council urges States and international organizations, as well as the private sector, to share evidence, information and intelligence, as appropriate, for counter-piracy law enforcement purposes, including with a view to ensuring effective prosecution of suspects and imprisonment of convicted pirates, and encourages current and future initiatives in this regard.",4
"34","In another case, the Court again considered the various elements of an attack directed against a civilian population as part of the definition of crimes against humanity.",4
"35","In response, the Mission's Department of Justice established a joint working group with the institution-building component to examine the report and devise ways to implement its recommendations.",4
"36","43. Reiterates the need to enhance ongoing cooperation among the Committee, the Counter-Terrorism Committee and the Committee established pursuant to resolution 1540 (2004), as well as their respective expert groups, including, as appropriate, through enhanced information sharing and coordination on country visits in accordance with their respective mandates, facilitation and monitoring of technical assistance, relations with international and regional organizations and agencies and on other matters of interest to all three Committees, expresses its intention to provide guidance to the Committees on areas of common interest in order to better coordinate their efforts and facilitate such cooperation, and requests the Secretary-General to make all necessary arrangements.",2
"37","(a) To continue to strengthen its cooperation with international, regional and subregional organizations and to develop modalities for working with those organizations on a case-by-case basis, reflecting the differentiated capacity and mandate of each organization, including working-level exchanges, briefings provided and received by the Committee, and enhanced arrangements for information-sharing.",2
"38","âThe Security Council strongly condemns the deliberate targeting of civilians by combatants in armed conflicts and calls upon all parties concerned to put an end to these grave violations of international humanitarian and human rights law.",3
"39","States must also prevent those who finance, plan, facilitate or commit terrorist acts from using their territories for such purposes against other States or their citizens (para. 2 (d)).",2
"40","(d) Provide any other form of support for their business or activities.",1
"41","(a) A monitoring group in New York consisting of up to five experts, including the Chairman, to monitor the implementation of all measures imposed by resolutions 1267 (1999) and 1333 (2000), in all fields, including those related to the arms embargo, counter-terrorism and related legislation, money-laundering, financial transactions and drug trafficking, given the link between arms purchases and the financing of terrorism.",2
"42","21. The most recent additions to the List include terrorists and terrorist groups associated with Al-Qaida operating in Central Asia, South Asia, South-East Asia and the Middle East, including Iraq.",0
"43","The regime arrested about 47 individuals believed to have been forcibly recruited into the regime forces.",1
"44","On the other hand, death squads and militias made up of independent elements spread terror and commit executions and kidnappings.",1
"45","(c) Further calling upon all parties listed in the annexes to the report of the Secretary-General on children and armed conflict to address all other violations and abuses committed against children and to make specific commitments and measures in this regard.",4
"46","At its 4170th meeting, on 13 July, the Council adopted resolution 1307 (2000), by which it authorized, inter alia, the extension of the mandate of UNMOP until 15 January 2001 to continue monitoring the demilitarization of the peninsula.",2
"47","The Security Council must now seek to reassure the courts that the sanctions regime established pursuant to resolution 1267 (1999) (the 1267 sanctions regime) is impartial and, with increasing support from Member States, reaffirm the original purpose of the regime: to rid the world of the threat of terrorism posed by Al-Qaida, the Taliban and their listed associates.",2
"48","Indeed, with the exception of bin Laden, Zarqawi, Mullah Omar and other well-known terrorists, the public may know relatively little about many of the individuals on the list.",0
"49","An additional problem was that the government did not seem to have sufficient military resources, as many of its troops were still in the south and those in Darfur were mainly distributed among the major urban centers.",1
"50","43. Following the publication of the International Organization for Standardization (ISO) Publicly Available Specification No. 28007 on Guidelines for Private Maritime Security Companies providing privately contracted armed security personnel on board ships, compliance by a private maritime security company with this voluntary standard can now be declared in order to facilitate uniform international implementation.",0
"51","May 8, 2006 A violent incident occurs in Gleno where eastern PNTL officers are attacked.",1
"52","The mediation team held bilateral discussions with the Government and the Coordination Council, comprising the National Movement for the Liberation of Azawad (MNLA), the High Council for the Unity of Azawad (HCUA) and the Arab Movement of Azawad (MAA), joined by persons from the Second Coordination Council of National Resistance Movements and Forces and a faction of the Coalition of the People for Azawad (COPA), on the one hand, and on the other hand, with the government and the armed groups of the preliminary plan coalition, which includes CCMFNR1, CPA and the other faction of MAA, as well as members of the Tuareg Imghad group and their self-defense allies (Gatia) invited by the preliminary plan coalition.",4
"53","(c) Listed individuals reportedly deceased, together with an assessment of the necessary information set out in paragraph 28 (c) and, to the extent possible, the status and location of frozen assets and the names of any individuals or entities that may be in a position to receive any such assets after they are unfrozen.",0
"54","(h) Develop methodologies to improve the effectiveness of cooperation with individual States, subregional organizations, regional organizations, international organizations, multilateral arrangements dealing with export controls and relevant entities within the United Nations system, assess the level of cooperation between the committees established pursuant to Security Council resolutions 1540 (2004), 1267 (1999) and 1373 (2001), and, in particular, assess the level of information exchange and coordination regarding country visits and make specific recommendations, as appropriate, to enhance cooperation.",2
"55","31. Both States and many international actors welcomed the openness of the universal review process and urged the 1540 Committee to continue this approach and increase its already useful efforts towards transparency and inclusiveness.",4
"56","They attacked and killed 54 people and wounded 24 others, burned houses before retreating, and looted cattle and household property.",1
"57","We also decided to hold two thematic debates on conflict prevention and children in armed conflict on July 20 and 26, respectively.",4
"58","103. FACI transferred all of its intact and deactivated air assets to the Abidjan International Airport airbase.",2
"59","In Lernib (Timbuktu region), in September, the MAA (preliminary plan) warned in several public meetings that it would punish local populations who provided information to MINUSMA and French forces. On 23 September, the decapitated body of a man was found in the Zouera area, 80 km north of Timbuktu, who was one of five men abducted by AQIM on 16 September and accused of collaborating with international forces, who have since disappeared.",1
"60","With the completion of claims processing in June 2005, the main remaining task of the Commissioners is to pay compensation to approved claimants.",0
"61","121 - The âJanjaweedâ that most victims refer to in the ongoing conflict are Arab militias that raid their villages on horses or camels, killing, looting, burning, and raping.",1
"62","In addition, the EU has a supranational regime aimed at ensuring that terrorist funds and assets are frozen within all of its member states.",2
"63","23. Requests the Analytical Support and Sanctions Monitoring Team, in close cooperation with other United Nations counter-terrorism bodies, to report to the Committee established pursuant to resolutions 1267 (1999) and 1989 (2011) within 180 days and to provide an initial oral update to the Committee within 60 days on the threat posed by foreign terrorist fighters recruited by or associated with ISIL, ANF and all groups, undertakings and entities associated with Al-Qaida, including:",2
"64","Later in 2006, the General Assembly unanimously adopted the Global Counter-Terrorism Strategy, which was of great importance in reaffirming the collective commitment of the international community to address the threat of terrorism, which threatens everyone.",2
"65","Water plants On November 23, 2014, IS detonated a car bomb near a water purification plant in the village of Maydan in Hasakah, causing extensive damage to the plant. Power plants",1
"66","94. Despite recent progress, logistical, political and security constraints will make the demobilization and reintegration of the 180,000 ex-combatants planned by the end of the Comprehensive Peace Agreement period extremely difficult.",1
"67","The Government, in collaboration with the United Nations country team and with input from the World Bank, has also prepared a booklet on the Millennium Development Goals that summarizes Timor-Leste's current position and identifies indicators and policy implications of achieving the Goals.",2
"68","Yet here we find police recruits, far from Addis Ababa, let alone Rome or The Hague, who have heard of the ICC and are concerned about their criminal responsibility before it.",0
"69","(c) A list of individuals reportedly deceased among those on the List, and entities reported or confirmed to have ceased to exist, together with the documentation requested in paragraph 23 (c).",0
"70","However, many areas of the country lack detention capacity and any functioning courts, forcing law enforcement authorities to release presumed dangerous offenders or apply to UNAMA contingents to detain suspects for security reasons and to protect civilians.",1
"71","Six men were killed and buried in single graves.",1
"72","The Department is responsible for organizing and managing the Kosovo Protection Corps as well as planning and coordinating the implementation of emergency response in natural and other disasters.",2
"73","Such precautions are set out in customary international law, as follows: A belligerent should (a) do everything feasible to verify that the objects to be attacked are not of a civilian character; (b) take all feasible precautions in the choice of means and methods of combat to avoid, or at least to minimize, incidental injury to civilians or civilian objects; (c) refrain from launching attacks that may be expected to cause incidental loss of civilian life, incidental injury to civilians, or incidental injury to civilian objects that would be excessive in relation to the specific direct military advantage anticipated; (d) give effective advance warning of attacks that may affect the civilian population, except in cases of attack, as provided for in Article 26 of the Hague Regulations of 1907, or as provided for in Article 57(2)(c) which reads 'unless circumstances so permit' i.e. when the belligerent considers a surprise attack to be indispensable.",2
"74","It has enacted counter-terrorism legislation and made efforts to further strengthen regional coordination and cooperation, particularly in the maritime context.",2
"75","The main security concerns relate to criminal activity and factional fighting.",1
"76","Emphasizes that all those responsible for human rights violations and abuses must be held accountable, and stresses the need for a thorough, independent and impartial investigation that meets international standards into alleged human rights violations and abuses to prevent impunity and ensure full accountability.",3
"77","Sites range from those created to promote specific individuals such as Shamil Basayev in Chechnya or groups such as Lashkar-e-Tayyiba in Pakistan, to those aimed at justifying al-Qaeda-related terrorism in general such as Sawt al-Jihad, or those offering terrorist training such as al-Battar.",1
"78","67. I renew my call for the immediate and unconditional release of all innocent seafarers held hostage in Somalia, so that they can rejoin their families.",3
"79","60. Another potentially problematic aspect of the humanitarian exceptions clause is that it is the State in which a listed party resides that decides whether or not the Committee receives a petition submitted under resolution 1452 (2002), since private individuals or entities are not authorized to petition the Committee directly.",0
"80","For their part, government leaders and supporters have accused the MPCI and other ârebel movementsâ of using foreign troops and committing atrocities, most notably the killing of dozens of gendarmes in BouakÃ©.",3
"81","The Commission was able to establish a detailed and accurate account of the events of April and May that resulted in significant loss of life, injuries and widespread damage to property.",2
"82","206. After scrutinizing the file, the Committee can highlight the following points:",0
"83","Officers from the national security forces were trained (50 in AdrÃ© and 42 in AbÃ©chÃ©).",2
"84","Letter dated December 22, 2009, from the Chairman of the Security Council Committee established pursuant to resolution 1518 (2003) addressed to the President of the Security Council",0
"85","While this initiative is a response to the growth of drug trafficking and transnational organized crime in West Africa, transnational crime units will serve as law enforcement hubs that support technical and analytical capabilities at the national and regional levels to respond to transnational threats.",2
"86","Targeted and progressive measures in response to the illicit trade in small arms and light weapons.",1
"87","Three days later, Al Jalil purchased 25 AK-47 assault rifles, 2 anti-aircraft guns, 6 PKM machine guns, 4 RPG-2 rocket launchers and ammunition.",1
"88","The Council recognized the usefulness of annual briefings by heads of military components, and also said it would welcome similar briefings by heads of police components to improve its understanding of operational challenges.",4
"89","Moreover, the Taliban has retained the ability to import weapons, materials, and labor, and the key to military success lies in disrupting their supply lines and denying them safe areas where their fighters can replenish between operations and train new recruits.",1
"90","The Council supports the idea of establishing a unit within the Secretariat to assist in establishing the rule of law, and looks forward to receiving the Secretariat's proposals on the implementation of the recommendations contained in paragraph 65 of the report of the Secretary-General on the rule of law and transitional justice in conflict and post-conflict societies (S/2004/616).",4
"91","6. The end of the conflict in 1999 had profound effects on the relationship between the various communities in Kosovo, particularly Kosovo Albanians and Kosovo Serbs.",0
"92","In addition, a range of Palestinian armed groups are active in the country both inside and outside the refugee camps.",1
"93","The Council expresses its deep concern that civilians continue to constitute the majority of victims of violence perpetrated by parties to armed conflict, including deliberate targeting, indiscriminate and excessive use of force, use of civilians as human shields, sexual and gender-based violence, as well as all other acts in violation of relevant provisions of applicable international law.",3
"94","484. In their discussions with the Committee on their methodology, rape investigation commissions have emphasized the widespread publicity of their mandate.",4
"95","420. The section below assesses the effectiveness of the measures taken by the Government of Sudan, particularly with regard to investigating these crimes and bringing the perpetrators to justice.",0
"96","Financial Intelligence Units: Establishment and operation",0
"97","âThe Security Council calls on Burundi to prevent any support from its territory to armed groups inside the DRC.",3
"98","30. In general, the attitude of government authorities towards the Commission has been characterized by a spirit of cooperation.",4
"99","It also emphasizes banning and blocking websites containing extremist material and regulating issues that arise in this field.",1
"100","The Commission recommends that the following persons be prosecuted in connection with the illegal possession, use and transportation of PNP weapons on May 8 and/or May 21: Rogerio Lobato, Eusebio Salsinha, Antonio da Cruz, Vicente da ConceiÃ§Ã£o, also known as Ray Luz, and Matos dos Santos Pereira: Rogerio Lobato, Eusebio Salsinha, Antonio da Cruz, Vicente da ConceiÃ§Ã£o, also known as Ray Luz, Matos dos Santos Pereira, also known as Mauracan, Leonardo Lobato, also known as Grey Harana, Antonio Lourdes, also known as 55, Marcos da Silva Piedade, also known as Lapada, Francisco and Santa Cruz.",3
"101","All states now criminalize in their domestic laws the provision of safe haven to terrorists and their supporters and the use of their territory to commit or plan terrorist acts against other states or their citizens.",1
"102","195. Reading the information in this way by some sources has added another dimension to the conflict.",0
"103","After the attack, the entire population of the area headed to KÄ±lÄ±Ã§.",1
"104","Some of those recruited into the Maoist army and militia are under the age of 18.",1
"105","31. The state considers the spread of Christianity to be a very serious threat, as it opposes the ideology of official personality cult and provides a basis for social and political organization and interaction outside the orbit of the state.",1
"106","In its most extreme form, such activity often leads to violent extremism and loss of life.",1
"107","634. It is clear from the information gathered and verified by the Commission that the rape or other forms of sexual violence committed by the Janjaweed militia and government soldiers in Darfur was widespread and systematic and for this reason it is highly probable that these acts constitute a crime against humanity.",1
"108","The women and young girls were separated from the men, held in an area around the mosque, and then taken by the detainees to be raped.",1
"109","At that meeting, the parties agreed to continue to cooperate on issues related to a railroad survey and the return of refugees and internally displaced persons.",4
"110","452. In Article 31 of the National Security Law, an order was issued by the Director-General that a security officer can arrest, search, detain and interrogate a person. He has three days in which to provide the detainee with the reasons for his arrest and detention.",1
"111","âThe Security Council recognizes that terrorism cannot be defeated by military force, law enforcement measures and intelligence operations alone, and stresses the need to address the conditions conducive to the spread of terrorism, including but not limited to the need to intensify efforts to successfully prevent and peacefully resolve protracted conflicts, and to promote the rule of law, the protection of human rights and fundamental freedoms, good governance, tolerance and inclusiveness in order to provide a healthy alternative for those who may be vulnerable to recruitment for terrorist purposes and radicalization leading to violence.",4
"112","âThe Security Council further reaffirms the need to combat, by all means and in accordance with the UN Charter, threats to international peace and security caused by terrorist acts.",4
"113","The Council emphasizes the need for unreserved commitment to the process of integration into the armed forces, in accordance with the spirit of the Inclusive and Comprehensive Agreement.",4
"114","Many were killed and more than 100 people were injured.",1
"115","These militias are believed to operate primarily under the cloak of tribal organization.",1
"116","These conventions absolutely prohibit torture, in both internal and international armed conflicts.",1
"117","116. The Monitoring Team continues to view the travel ban as an important sanction against Al-Qaida and the Taliban, while noting the ingenuity of terrorists attempting to cross national borders undetected.",1
"118","284. In some States, the vague or broad definition of terrorist offenses remains a challenge to the effective implementation of resolution 1373 (2001).",1
"119","Militant groups may refocus their efforts on their own or other countries if Afghanistan becomes less attractive in terms of their targets.",1
"120","14. Decides that, in determining whether to remove names from the Consolidated List, the Committee may consider, inter alia, (i) whether the individual or entity has been included on the Consolidated List due to mistaken identity, or (ii) whether the individual or entity no longer meets the criteria set out in relevant resolutions, in particular resolution 1617 (2005); the Committee may consider, inter alia, whether the individual or entity is deceased or has effectively been found to have severed all ties, as defined in resolution 1617 (2005) In making the assessment mentioned in (ii) above, the Committee may consider, inter alia, whether the individual is deceased or it is effectively established that the individual or entity has severed all associations, as defined in resolution 1617 (2005), with Al-Qaida, Osama bin Laden, the Taliban and their supporters, including all individuals and entities on the Consolidated List; 15. Decides to extend the Committee's consideration of notifications submitted pursuant to paragraph 1 (a) of resolution 1452 (2002) from 48 hours to three working days.",0
"121","On November 8, 2014, regime forces targeted Sheikh Miskin city, killing five people, including two children and two women.",1
"122","There is general agreement that the escalation coincides with the intensification of the internal armed conflict between the government and the two rebel movements: Sudan Liberation Movement/Army (SLM/A) and the Justice and Equality Movement (JEM).",1
"123","64. The issue of small arms cannot be addressed solely through arms control measures. It is an integral part of a broader spectrum in which issues of conflict, security, armed violence, crime, trade, human rights, health and development intersect.",1
"124","The perspective of the National Police, as explained to the Committee, was to arrest the petitioners and hand them over to the National Police if they were moving from one place to another, and that no arrests were authorized.",1
"125","123. When militias join the armed forces in attack, they can be said to operate under the effective control of the Government, fully consistent with the concept of control (established in 1999 in TadiÄ (Appeal), paras. 98-145).",1
"126","3. Commercial dual-use systems are produced for civilian purposes but can also be used in terrorist attacks.",1
"127","Two helicopter gunships and an Antonov aircraft, possibly for reconnaissance purposes, were used in the attack.",1
"128","Surprisingly, none of the members of the parallel forces have been arrested or prosecuted for these crimes.",2
"129","The decision imposed a ban on trade, economic, financial, transportation, transportation and other links with Abkhazia at the state level from the date of its issuance.",1
"130","They said: Why are you staying here, you are slaves.",3
"131","Of the 168 children, 135 were abducted for recruitment purposes, while 33 were abducted to participate in cultural and political programs or for other reasons.",1
"132","Another State held an international seminar in 2009 on enhancing counter-terrorism cooperation and dialogue among government agencies, the media and civil society.",4
"133","In response to the bird flu epidemic from mid-2009 to August 2010, the Ministry of Health, with support from the World Health Organization, developed pandemic preparedness plans that included strengthening surveillance systems and access to Tamiflu tablets, installing a ventilator at the national hospital, and conducting a series of training sessions for health care workers.",2
"134","408. With regard to international humanitarian law, common article 3 of the Geneva Conventions prohibits acts against life and physical integrity, including cruel treatment, torture, hostage-taking and outrages upon personal dignity, in particular humiliating or degrading treatment.",1
"135","Half an hour later, three more jeeps arrived from Chad backed by a military helicopter and again confronted the Sudanese military unit, injuring a soldier and some civilians.",1
"136","In South Darfur, one of the most devastating clashes occurred on September 19 when the SPLM/A attacked Sudanese Armed Forces (SAF) positions in and around the village of Shaeria.",1
"137","The Security Council also reiterates its support for the Special Representative of the Secretary-General Mr. Ahmedou Ould-Abdallah for his efforts to advance the political process in Somalia.",4
"138","E. Maritime activities and revenues - coal, fisheries and piracy",0
"139","35. The Executive Directorate is proposing three minor adjustments to its organization and operational practice to better reflect its changing priorities and proposed new activities.",4
"140",":: Regular coordination between civilian and military components of missions, and between missions and humanitarian actors: Regular coordination between the civilian and military components of missions, and between missions and humanitarian actors, to standardize expertise in the field of protection of civilians.",2
"141","On November 30, 2014, regime warplanes fired a missile at Anadan city, killing 11 people, including a child. Daraa",1
"142","In line with the Committee's policy guidance on human rights and counter-terrorism, CTED has incorporated the issue of human rights into its communications strategy and has emphasized the need for States to ensure that their counter-terrorism measures comply with their obligations under international law.",4
"143","âThe Security Council welcomes General Assembly resolution 64/289 establishing a United Nations entity on gender equality and the empowerment of women (UN Women), which will become fully operational in January 2011.",4
"144","17. For the purposes of task four, the Commission considered it necessary to conduct a preliminary assessment to determine the extent to which the Sudanese criminal justice system was able and willing to prosecute and bring to justice those responsible for international crimes committed in Darfur, and then to consider the various international mechanisms available.",2
"145","33. In accordance with Presidential Decree No. 2004-236 on the mobilization of the national armed forces and the instructions issued during the meeting between the President, the Prime Minister, the Ministers of Defence and Internal Security and the respective heads of the national police, the gendarmerie and FANCI on 24 March, security forces were stationed in several areas on the outskirts of the city, in particular where rallies and demonstrations were planned.",1
"146","44. The Joint Human Rights Office continued to investigate alleged violations of human rights and international humanitarian law committed by armed groups and national security forces.",2
"147","There is a need for more effective implementation of resolution 1624 (2005), which encourages interreligious and intercultural dialogue and understanding in order to counter incitement to terrorist acts motivated by extremism and intolerance.",4
"148","One of the tools at the disposal of States to achieve this is the United Nations Register of Conventional Arms. It contains data provided by States on international arms transfers as well as information on military holdings, procurement through national production and related policies.",2
"149","He also held meetings with investigators from the Special Court for Sierra Leone and continued to meet with the Panel of Experts established pursuant to resolution 1533 (2004) on the flow of arms to the Democratic Republic of the Congo.",4
"150","We also agreed that the parties should re-establish the much-needed genuine dialogue and proceed without delay with the dismantling of militias, the disarmament, demobilization and reintegration of combatants and the holding of free, fair and credible elections.",4
"151","122. The evidence establishes that armed men led by Abilio Mesquita initiated the attack on Brigadier Ruak's residence on 24 May, as described in paragraphs 69 and 70 above.",1
"152","6. Decides, in order to assist the Committee in carrying out its mandate, to establish an 18-month Analytical Support and Sanctions Monitoring Team, based in New York (hereinafter referred to as âthe Monitoring Teamâ), under the direction of the Committee, with the responsibilities set out in the annex to this resolution.",2
"153","In 2014, in response to resolutions 2083 (2012) and 2161 (2014), and with a view to further strengthening the implementation of Security Council sanctions regimes by national authorities, the Division standardized the format of all United Nations Security Council sanctions lists and developed a consolidated Security Council sanctions list, which includes names on all sanctions lists imposed by the Security Council sanctions committees.",2
"154","She detailed the violations and abuses committed against children in Yemen.",1
"155","16. The Executive Director will ensure that each international, regional and subregional organization has a focal point within UNODC, including the need to liaise with the Office of the United Nations High Commissioner for Human Rights and other relevant organizations on matters related to human rights and counter-terrorism.",2
"156","Recalling in this context that the killing of members of an ethnic group with the aim of destroying that group, in whole or in part, constitutes a crime punishable under international law.",1
"157","14. Overall, the number of FARDC military operations supported by the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo (MONUSCO) has decreased. Between 6 and 15 February, MONUSCO supported the FARDC operation Mabima Mapia (New Dawn) in the Kayabayonga area of North Kivu, which was aimed at deterring armed group activity and enhancing the protection of civilians.",1
"158","4. Al-Qaida affiliates are emerging, often independently, with generational, geographic, ethnic, structural and operational changes.",1
"159","Given that the killings by the government and the Janjaweed appear to have systematically targeted the Fur, Masalit, Zaghawa and other African tribes for political reasons, this demonstrates the discriminatory nature of these killings and could therefore constitute persecution as a crime against humanity.",1
"160","On August 19 (World Humanitarian Day), the United Kingdom, in its capacity as President of the Security Council, will hold an open briefing on the protection of humanitarian workers under the agenda item on the protection of civilians in armed conflict.",4
"161","The parties committed to the Preliminary Agreement on Presidential Elections and Inclusive Peace Talks in Mali, signed on June 18, 2013 in Ouagadougou, namely the Arab Movement of Azawad, the Coordination of National Resistance Movements and Forces and the Coalition of People for Azawad.",4
"162","Since October 2013, Atlanta has thwarted two pirate attacks and transported five suspected pirates for trial in the Seychelles.",1
"163","12. In summary, militias have continued and recently intensified their attacks on civilians, but not on the widespread and systematic scale seen in the months prior to the joint statement.",1
"164","Second, the lack of information causes frustration and exasperation among those responsible for verifying the list on which effective implementation most relies, increasing the risk that listed names will go undetected and measures may be applied to unintended targets.",1
"165","AQIM (QE.T.14.01) has developed considerable expertise in kidnapping for ransom.",1
"166","(b) Strengthen their ability to freeze terrorist funds and assets without delay, by developing national âfreezingâ mechanisms that complement regional frameworks.",1
"167","The Trial Chamber also emphasized that what is required under the international rules on genocide is that the target group must be a stable and permanent group, formed in a permanent pattern, to which membership is by birth, and recognizable as such (paras. 511 and 702).",0
"168","95. The creation of the INTERPOL-United Nations Security Council Special Notices required unusually close cooperation between the two organizations over the past year, as well as agreement between the General Assembly, INTERPOL and the Committee established by resolution 1267 (1999).",2
"169","âThe Security Council stresses that Member States in post-conflict situations should address in their national strategies, including in consultation with civil society and women's organizations, the specific needs and priorities of women and girls to improve their economic and social conditions, their participation in income-generating activities and their access to education and basic services.",2
