ar_en_TRANSFORMERS	QuadClass
The regime arrested some 47 individuals believed to have been forcibly recruited into the regime forces.	1
On the other hand, death squads and militias made up of independent elements spread terror and committed executions and abductions.	1
(c) Further calls upon all parties listed in the annexes to the report of the Secretary-General on children and armed conflict to address all other violations and abuses committed against children, and to undertake specific commitments and measures in this regard;	4
At its 4170th meeting, on 13 July, the Council adopted resolution 1307 (2000), by which, inter alia, it authorized the extension of the mandate of UNMOP until 15 January 2001 to continue to monitor the demilitarization of the peninsula.	2
The Security Council must now seek to reassure the courts that the sanctions regime established pursuant to resolution 1267 (1999) (the 1267 sanctions regime) is impartial and, with the increasing support of Member States, reaffirm the original purpose of this regime, which is to rid the world of the terrorist threat posed by Al-Qaida, the Taliban and their associates on the list.	2
An additional problem was that the Government did not appear to have sufficient military resources since many of its troops were still present in the south and those found in Darfur were distributed mainly to major urban centres.	1
8 May 2006 There was a violent incident in Gleno, where eastern PNTL officers were attacked.	1
The mediation team held bilateral discussions with the Government, the Coordinating Council comprising the Mouvement national pour la libÃ©ration de l &apos; Azawad, the Supreme Council for Unity of Azawad and the Arab Movement of Azawad, joined by persons from the Second Coordinating Council of the Movement and the Forces nationales de rÃ©sistance, a faction of the People &apos; s Coalition for Azawad, on the one hand, and the Government and armed groups of the preparatory plan coalition comprising the First Coordinating Council of the Movement, the National Resistance Forces, the People &apos; s Coalition for Azawad and the other faction of the Arab Movement for Azawad, as well as members of the Tuareg Emagad group and their allies for self-defence (Gatiya) called by the preparatory plan coalition.	4
(h) Develop methodologies to improve the effectiveness of cooperation with individual States, subregional organizations, regional organizations, international organizations and multilateral arrangements dealing with export controls and relevant entities within the United Nations system, assess the level of cooperation between the committees established pursuant to Security Council resolutions 1540 (2004), 1267 (1999) and 1373 (2001), assess in particular the level of information exchange and coordination with regard to country visits, and make specific recommendations, as appropriate, for enhanced cooperation.	2
31. Both States and many international actors welcomed the openness of the comprehensive review process and urged the 1540 Committee to continue this approach and to increase its already useful efforts towards transparency and inclusiveness.	4
They attacked and killed 54 people and wounded 24 others, burned houses before withdrawing, and looted cows and household property.	1
We also decided to hold two discussions on conflict prevention and children in armed conflict on 20 and 26 July, respectively.	4
103. The Air Force of CÃ´te d &apos; Ivoire (FACI) transported all of its valid and disabled air assets to the Abidjan International Airport airbase.	2
In Lernib (Tempcito Region), in September, the Arab Movement for Azawad (Preliminary Plan) warned at several public meetings that it would punish the local population who provided information to MINUSMA and the French forces; on 23 September, the body of a man with a headless head was found in the Zoira area 80 kilometres north of Timbuktu, one of five men abducted by Al-Qaida in the Islamic Maghreb on 16 September and accused of cooperating with international forces, who had since disappeared.	1
"Janjaweed," to which most of the victims of the ongoing conflict refer, are Arab militias that have changed their villages, riding horses or camels, killing, looting, burning and rape.	1
In addition, the European Union is implementing a supranational regime aimed at ensuring the freezing of terrorist funds and assets within all its member States.	2
23. Requests the Analytical Support and Sanctions Monitoring Team, in close cooperation with other United Nations counter-terrorism bodies, to report to the Committee established pursuant to resolutions 1267 (1999) and 1989 (2011) within 180 days and to provide to the Committee within 60 days an oral update on the threat posed by foreign terrorist fighters recruited by ISIL, ANF and all groups, undertakings and entities associated with or associated with Al-Qaida, including:	2
The Global Counter-Terrorism Strategy, which was of great importance in reaffirming the collective commitment of the international community to addressing the threat of terrorism to all, was adopted unanimously by the General Assembly later in 2006.	2
On 23 November 2014, ISIL detonated a car bomb near a water purification plant in the village of Da &apos; id al-Hasakeh, causing significant damage to the plant.	1
94. Despite recent progress, logistical, political and security constraints will make the demobilization and reintegration of the 180,000 ex-combatants planned by the end of the Comprehensive Peace Agreement period extremely difficult.	1
The Government, in collaboration with the United Nations country team and with the contribution of the World Bank, has also prepared a handbook on the Millennium Development Goals that summarizes Timor-Leste &apos; s current position and identifies indicators for achieving the Goals and their policy implications.	2
However, many areas of the country lack the capacity to detain and any functioning courts, forcing law enforcement authorities to release alleged perpetrators or apply to MONUC units for security suspects and for the protection of civilians.	1
Six men were killed and buried in one graveyard.	1
The Department is responsible for the management and administration of the Kosovo Protection Corps as well as the planning and coordination of the implementation of emergency response in natural and other disasters.	2
Such precautionary measures are set out in customary international law, as follows: (a) the warrior should (a) do everything possible to verify that the objectives to be attacked are not of a civilian nature; (b) take all feasible precautionary measures when choosing means and methods of warfare to avoid or at least minimize incidental injury to civilians or civilian objects; (c) refrain from launching attacks that may be expected to cause incidental loss of civilian life, injury to civilians or incidental injury to civilian objects, which would be excessive for the specific direct military benefit expected; and (d) give effective advance warning regarding attacks that may affect the civilian population, except in cases of attack, as provided for in article 26 of the Hague Regulations of 1907, or as provided for in article 57 (2) (c) and as provided for in 'unless circumstances permit, i.e. when the warrior considers that the surprise attack is indispensable.	2
It had enacted counter-terrorism legislation and made efforts to further strengthen coordination and cooperation at the regional level, particularly in the maritime context.	2
The main security concerns relate to criminal activity and factional fighting.	1
Stresses that all those responsible for human rights violations and abuses must be held accountable, and stresses the need for a comprehensive, independent, impartial and internationally compliant investigation into alleged human rights violations and abuses to prevent and ensure full accountability for impunity;	3
Sites range from those established to promote specific individuals such as Shamil Basayev in Chechnya or specific groups such as Lashkar Al-Teiba in Pakistan, to those aimed at justifying Al-Qaida-related terrorism in general, such as the voice of jihad, or those offering terrorist training such as the Al-Battar site.	1
67. I renew my call for the immediate and unconditional release of all innocent seafarers held hostage in Somalia, so that they can join their families.	3
For their part, Government leaders and supporters accused MPCI and other "rebel movements" of using foreign forces and committing atrocities, notably the killing of dozens of gendarmes in BouakÃ©.	3
The Commission was able to establish a detailed and accurate account of the events of April and May, which resulted in extensive loss of life, injury and extensive damage to property.	2
National Security Forces officers (50 in Adre and 42 in AbÃ©chÃ©) were trained.	2
While this initiative has responded to the growth of drug trafficking and transnational organized crime in West Africa, transnational crime units will act as law enforcement centres supporting technical and analytical capacities at the national and regional levels to respond to transnational threats.	2
Targeted and progressive measures in response to the illicit trade in small arms and light weapons	1
Three days later, Al Jalil purchased 25 AK-47 assault rifles, 2 anti-aircraft guns, 6 PKM machine guns, 4 RPG-2 rocket launchers and ammunition.	1
The Council recognized the usefulness of the annual briefings by the heads of military components and also welcomed similar briefings by the heads of police components in order to better understand the operational challenges.	4
In addition, the Taliban have maintained their ability to import arms, materials and labour, and the key to military success lies in disrupting their supply lines and depriving them of safe areas to which their combatants can turn to renew their energies between operations and training new recruits.	1
The Council supports the idea of establishing within the Secretariat a unit to assist in the establishment of the rule of law and looks forward to receiving the Secretariat &apos; s proposals on the implementation of the recommendations contained in paragraph 65 of the report of the Secretary-General on the rule of law and transitional justice in conflict and post-conflict societies (S/2004/616).	4
In addition, there is a group of Palestinian armed groups operating in the country inside and outside the refugee camps.	1
The Council expresses its deep concern that civilians continue to account for the majority of victims of acts of violence committed by parties to armed conflict, including deliberate targeting, indiscriminate and excessive use of force, use of civilians as human shields and sexual and gender-based violence, as well as all other acts in violation of the relevant provisions of applicable international law.	3
484. During its discussions with the Commission on the methodology of rape commissions, the Commissions of Inquiry have emphasized the wide publicity of their mandates.	4
"The Security Council calls upon Burundi to prevent any support from its territory to armed groups within the Democratic Republic of the Congo.	3
30. In general, the attitude of the Government authorities towards the Commission has been cooperative.	4
It also emphasizes the prohibition and cessation of websites containing extremist materials and the regulation of problems arising in this field.	1
The Committee recommends that the following persons be prosecuted with regard to the illegal possession, use and transfer of PNTL weapons on 8 May and/or 21 May: Rogerio Lobato, Ozipio Salsenha, Antonio da Cruz, Vicente da KonciÃ§ao, also known as Ray Los, Matos dos Santos Pereira, also known as Mauracan, Leonardo Lobato, also known as Grey Harana, Antonio Lourdes, also known as 55, Marcos da Silva Bedade, also known as Labada, Francisco and Santa Cruz.	3
All States now criminalize in their domestic laws the provision of safe haven to terrorists and their supporters and the use of their territories to commit or plan terrorist acts against other States or their citizens.	1
After the attack, the entire area &apos; s inhabitants went to Kaylik.	1
Some of these Maoist army and Maoist militia recruits are under 18 years of age.	1
31. The State regards the spread of Christianity as a very serious threat, as it opposes the ideology of official worship and provides a basis for social and political organization and interaction outside the State &apos; s astronomer.	1
According to this State, in its most extreme form, such activity often leads to violent extremism and loss of life.	1
634. It is clear from the information gathered and verified by the Commission that rape or other forms of sexual violence committed by Janjaweed militia and Government soldiers in Darfur were widespread and systematic and that, for this reason, such acts could very well be considered a crime against humanity.	1
Women and young girls were isolated from men, detained in an area around the mosque, and then taken by detainees for rape.	1
At that meeting, the parties agreed to continue to cooperate on matters related to the conduct of a railway survey and the return of refugees and internally displaced persons.	4
452. In article 31 of the National Security Act, the Director-General ordered that a person may be arrested, searched, detained and investigated by the security officer, who has three days to present to the detainee the reasons for his arrest and detention.	1
"The Security Council recognizes that terrorism cannot be defeated by military force, law enforcement measures and intelligence operations alone, and stresses the need to address the conditions conducive to the spread of terrorism, including, but not limited to, the need to intensify efforts to successfully prevent and resolve long-term conflicts peacefully, and the need to strengthen the rule of law and the protection of human rights and fundamental freedoms, good governance, tolerance and inclusiveness in order to provide a viable alternative to those who may be vulnerable to terrorist recruitment and to radicalization leading to violence.	4
"The Security Council further reaffirms the need to combat, by all means and in accordance with the Charter of the United Nations, threats to international peace and security caused by terrorist acts.	4
The Council stresses the need for an unconditional commitment to the integration process into the armed forces, in keeping with the spirit of the Global and All-Inclusive Agreement.	4
Many were killed and more than 100 injured.	1
It is believed that these militias operate mainly under the cloak of tribal organization.	1
These conventions absolutely prohibit torture, in both internal and international armed conflicts.	1
116. The Monitoring Group continues to view the travel ban as an important sanction against Al-Qaida and the Taliban, while noting the ingenuity of terrorists who attempt to cross national borders without being detected.	1
284. In some States, the vague or broad definition of terrorist offences remains a challenge to the effective implementation of resolution 1373 (2001).	1
Stronger groups may refocus their efforts on their own or other countries, if Afghanistan becomes less attractive in terms of their objectives.	1
On 8 November 2014, regime forces targeted Sheikh Miskine city, killing five people, including two children and two women.	1
There is general agreement that the escalation coincides with the intensification of the internal armed conflict between the Government and the two rebel movements: the Sudan Liberation Movement/Army and the Justice and Equality Movement.	1
64. The issue of small arms cannot be addressed solely by arms control measures; rather, it is an integral part of a wider range of issues involving conflict, security, armed violence, crime, trade, human rights, health and development.	1
The perspective of the National Police, as explained to the Commission, was that the petitioners were arrested and handed over to the National Police if they moved from one place to another and that no arrests were authorized.	1
123. When militias engage the armed forces in the attack, it can be said that they operate under the effective control of the Government, in full conformity with the concept of control (which was provided for in 1999 in the TadiÄ case (appeal), paras. 98-145.	1
3. Dual-use commercial systems are produced for civilian purposes but can also be used in terrorist attacks.	1
Two armed helicopters and one Antonov were used in the attack, possibly for reconnaissance purposes.	1
It is also surprising that no members of the parallel forces have been arrested or prosecuted for these crimes.	2
Stress the need to exclude and reject any form of amnesty for genocide, crimes against humanity, war crimes and other serious violations of international human rights law or to establish such a amnesty in conflict resolution processes and to ensure that any amnesty previously granted does not invalidate the prosecution of any United Nations tribunal or tribunal.	4
It is a resolution that, since its date of adoption, has imposed a ban on trade, economic, financial, transport and other links with Abkhazia at the State level.	1
And they said, "Why do you live here, you're slaves."	3
Of 168 children, 135 were abducted for recruitment purposes, while 33 were abducted for participation in cultural and political programmes or for other reasons.	1
Another State held an international seminar in 2009 on strengthening cooperation and dialogue in the area of counter-terrorism among government agencies, the media and civil society.	4
In response to the avian influenza pandemic from mid-2009 to August 2010, the Ministry of Health, with the support of WHO, developed pandemic preparedness plans, including strengthened surveillance systems and access to Tamiflu tablets, installed a ventilation device at the national hospital and conducted a series of training courses for health-care workers.	2
408. With regard to international humanitarian law, common article 3 of the Geneva Conventions prohibits acts of aggression against life and physical integrity, including cruel treatment and torture, hostage-taking and attacks on personal dignity, in particular degrading or degrading treatment.	1
Half an hour later, three other jeeps from Chad supported by a military helicopter arrived and there was a second confrontation with the Sudanese military unit, injuring one soldier and some civilians.	1
In Southern Darfur, one of the most devastating clashes occurred on 19 September when SPLM/A attacked SAF positions in and around the village of Sheiria.	1
The Security Council also reiterates its support for the Special Representative of the Secretary-General, Mr. Ahmedou Ould Abdallah, for his efforts to advance the political process in Somalia.	4
35. The Executive Directorate proposes three minor modifications to its organization and operational practice to better reflect the change in its proposed new priorities and activities.	4
:: Regular coordination between the civilian and military components of missions and between missions and humanitarian actors to consolidate expertise in the field of protection of civilians.	2
On 30 November 2014, regime warplanes fired a missile at the city of Aan, killing 11 people, including a child.	1
In line with the Committee &apos; s policy directives on human rights and counter-terrorism, the Executive Directorate has included human rights in its communications strategy and has stressed the need for States to ensure that their counter-terrorism measures are consistent with their obligations under international law.	4
"The Security Council welcomes General Assembly resolution 64/289 establishing a United Nations entity on gender equality and the empowerment of women (UN Women), which will be fully operational in January 2011.	4
17. For the purpose of carrying out the fourth task, the Commission considered it necessary to conduct a preliminary assessment to determine to what extent the Sudanese criminal justice system was able and ready to prosecute and bring to justice those responsible for international crimes committed in Darfur and then to consider available international mechanisms.	2
33. In accordance with Presidential Decree No. 2004-236, which mobilizes the national armed forces and instructions issued during the meeting between the President, the Prime Minister, the Ministers of Defence and Internal Security, the relevant heads of the National Police, the Gendarmerie and the National Armed Forces of CÃ´te d &apos; Ivoire on 24 March, the security forces have been stationed in several areas on the outskirts of the city, particularly in places where assemblies and demonstrations are planned.	1
44. The Joint Human Rights Office continued to investigate alleged violations of human rights and international humanitarian law committed by armed groups and national security forces.	2
There is a need for more effective implementation of resolution 1624 (2005), which promotes interreligious and intercultural dialogue and understanding in order to counter incitement of terrorist acts motivated by extremism and intolerance.	4
One of the tools put at the disposal of States for achieving this goal is the United Nations Register of Conventional Arms, which contains data provided by States on international arms transfers as well as information on military holdings, procurement through national production and related policies.	2
He also held meetings with investigators from the Special Court for Sierra Leone and continued to meet with the Group of Experts established pursuant to resolution 1533 (2004) on the flow of arms to the Democratic Republic of the Congo.	4
Encourage United Nations peacekeeping and other relevant missions authorized by the Security Council, as appropriate and on a case-by-case basis, to prevent the illegal seizure and confiscation of land and the confiscation of property of refugees and internally displaced persons and to ensure the protection of returning refugees and internally displaced persons.	2
We also agreed that the parties should re-establish a genuine dialogue that was needed and should proceed, without delay, to the dismantling of militias and the disarmament, demobilization and reintegration of combatants, and to the holding of free, fair and credible elections.	4
122. The evidence shows that armed men under the command of Abilio Mesquita began the attack on the residence of Brigadier General Ruak on 24 May, as described in paragraphs 69 and 70 above.	1
Decides, in order to assist the Committee in carrying out its mandate, to establish an analytical support and sanctions monitoring team for a period of 18 months, to be based in New York (hereinafter referred to as the "monitoring group"), to operate under the guidance of the Committee and to have the responsibilities contained in the annex to the present resolution;	2
In 2014, in response to the provisions of resolutions 2083 (2012) and 2161 (2014), and in order to further strengthen the implementation by national authorities of Security Council sanctions regimes, the Division standardized the format of all United Nations Security Council sanctions lists and established a consolidated list of Security Council sanctions, which includes the names on all sanctions lists imposed by the Security Council sanctions committees.	2
She provided details of violations and abuses committed against children in Yemen.	1
16. The Executive Director will ensure that each international, regional and subregional organization has a focal point within the Office, including the need to liaise with the Office of the United Nations High Commissioner for Human Rights and other relevant organizations on issues related to human rights and counter-terrorism.	2
Recalling in this context that the killing of members of an ethnic group with the aim of destroying the group, in whole or in part, constitutes a crime punishable under international law,	1
14. Overall, the number of FARDC military operations supported by MONUSCO decreased: between 6 and 15 February, Mafima Mabya (new dawn) was supported by MONUSCO in the Kayabayonga area of North Kivu, which was intended to deter the activity of armed groups and enhance the protection of civilians.	1
4. Al-Qaida-affiliated groups are often established independently, noting generational, geographical, ethnic, structural and operational changes.	1
Given that the killings committed by the Government and Janjaweed appear to have systematically targeted the Fur, Masalit, Zagawa and other African tribes for political reasons, this indicates that these killings are discriminatory in nature and can therefore constitute persecution as crimes against humanity.	1
On 19 August (World Humanitarian Day), the United Kingdom, in its capacity as President of the Security Council, will hold an open meeting of the Council, in the form of a briefing, on the protection of humanitarian workers, under the agenda item on the protection of civilians in armed conflict.	4
The parties committed to the preliminary agreement for the presidential elections and the inclusive peace talks in Mali, signed on 18 June 2013 in Ouagadougou, namely, the Arab Movement for Azawad, the coordination of movements, the National Resistance Forces and the People &apos; s Coalition for Azawad;	4
Since October 2013, Atlanta has foiled two pirate attacks and transported five suspected pirates to trial in Seychelles.	1
12. In short, it can be said that the militias have continued and recently intensified their attacks on civilians, but not on the broad and systematic scale experienced in the months preceding the Joint Statement.	1
Secondly, the lack of information causes frustration and discontent among those responsible for verifying the list on which effective implementation depends most, which increases the risk that listed names will not be detected and that measures may be applied to unintended targets.	1
Al-Qaida in the Islamic Maghreb (QE.T.14.01) has developed considerable experience in kidnapping for ransom.	1
(b) Strengthen its capacity to freeze the funds and assets of terrorists without delay by developing national "freezing" mechanisms that complement regional frameworks;	1
95. The establishment of INTERPOL-United Nations Security Council Special Notices has required unusually close cooperation between the two organizations over the past year, as well as agreement between the General Assembly, INTERPOL and the Committee established pursuant to resolution 1267 (1999).	2
"The Security Council stresses that Member States in the post-conflict phase should address in their national strategies, in consultation with, inter alia, civil society and its women's organizations, the specific needs and priorities of women and girls in order to improve their economic and social conditions and their participation in income-generating activities and their access to education and basic services.	2
Takes note of the development of the human rights due diligence policy, encourages [the mission] to implement it fully, and requests the Secretary-General to include progress in the implementation of that policy in his reports to the Council;	4
69. The Group examined the landing of an AN-124 aircraft carrying 392 tons of cargo coming from Belarus on 16 October 2004, shortly before the embargo; the aircraft continued its flight to LomÃ©, Togo, which was linked to Darkwood (see case study I below).	2
Requests the Secretary-General and relevant United Nations agencies, inter alia, through consultation with women and women-led organizations, to develop, as appropriate, effective mechanisms to ensure the protection of women and girls from violence, including in particular sexual violence, in and around United Nations-run refugee and internally displaced persons camps, in all disarmament, demobilization and reintegration processes and in efforts to reform the justice and security sectors assisted by the United Nations.	4
The Council reaffirms that an end to impunity is essential if a society in conflict or post-conflict situations is to go beyond past injustices against civilians and to prevent such injustices in the future.	4
30. The UNMIL community police initiative has strengthened ties with the community.	2
:: Take measures to ensure the protection of and respect for the human rights of women and girls, in particular those relating to the Constitution, the electoral system, the police and the judiciary.	2
"The Security Council reaffirms the importance of the work of the Committees established pursuant to resolutions 1267 (1999), 1373 (2001) and 1540 (2004) and continues to provide support and guidance to them.	4
In accordance with paragraph 32 of this resolution, the Monitoring Team operates under the direction of the Committee established pursuant to resolution 1267 (1999) and has the following responsibilities:	2
15. Pro-Government militias have played an important role in the Government &apos; s efforts to establish security in CÃ´te d &apos; Ivoire, particularly in the west of the country.	2
The first is to determine how best the Committee can ensure that the sanctions measures contribute to the promotion of peace and stability in Afghanistan, and the second is the continuing judicial challenges faced by Member States in implementing these measures.	1
In this regard, the Security Council encourages all States in the region to sign and implement the Code of Conduct as soon as possible and calls upon them to take further effective measures at the national level to combat piracy and armed robbery at sea in the Gulf of Guinea.	4
Since 18 September 2014, no combat operations have been carried out to counter an "imminent and serious threat."	1
The Border Intelligence Guard is under the direct command of military intelligence officers in the division where they are required to work, otherwise they are subject to the normal chain of command in the armed forces.	2
23. During recent field visits to refugee camps, internally displaced persons sites and adjacent villages, the Mission recorded fewer reports of human rights violations.	2
119. In view of this situation, the Team has taken several initiatives to fulfil its mandate to monitor and propose recommendations for improving the travel ban, including increased contacts with Member States and key international organizations; investigations into the use of fraudulent travel documents by terrorists and ways to improve national and international regulations; regular discussions with INTERPOL on ways to enhance coordination between the United Nations and INTERPOL; investigation of the emerging trend of free movement and visa-exempt areas and their links with United Nations sanctions; and the relationship of refugee and asylum-seeking practices to United Nations counter-terrorism efforts.	2
The report also indicated that incidents involving the use of rocket-propelled grenades and relatively heavy artillery to counter pirates had decreased from 43 in 2011 to 3 in 2013.	2
56. The Democratic People &apos; s Republic of Korea &apos; s police and security forces systematically resort to violence and sanctions, which constitute a gross violation of human rights, in order to create a climate of fear that inhibits any opposition to the current regime and the ideology on which it is based.	1
2. The offender shall be punished by imprisonment for three to ten years;	1
:: Fact-finding mechanisms should be established sufficiently early in the outbreak of crises to enable them to contribute to preventing further violations.	4
Decides that all Member States shall freeze without delay all funds, other financial assets and economic resources on their territories that are owned or controlled, directly or indirectly, by the entities or individuals mentioned in [the annex to the resolution imposing sanctions] or [those designated by the Sanctions Committee who participate or are complicit in ordering, controlling or otherwise directing serious human rights violations against persons in [the State concerned], including participation in or complicity in planning, leading, ordering or carrying out attacks, including aerial bombardments, against the civilian population and civilian facilities, in violation of international law; or entities or individuals acting on their behalf or at their direction], and decides further that all Member States shall ensure that no funds, financial assets or economic resources are made available, by their nationals or by any entities or persons within their territories, to or for the benefit of the entities or persons mentioned in [the annex to the resolution imposing sanctions] or individuals designated by the Committee.	1
Meanwhile, the first two formed police units were deployed on 5 and 22 August, respectively.	1
Demands that all parties to armed conflict immediately take appropriate measures to protect civilians, including women and children, from all forms of sexual violence, including measures such as enforcement of appropriate military disciplinary measures, adherence to the principle of command responsibility, training of forces in the absolute prohibition of all forms of sexual violence against civilians, exposing misconceptions that fuel sexual violence, and investigating candidates for national military and security forces to ensure that those associated with serious violations of international humanitarian and human rights law, including sexual violence, are excluded.	4
