"","en_ar_GOOGLE","QuadClass"
"1","كما سنت كولومبيا وشيلي وباراغواي وبيرو تشريعات تمنح سلطات إنفاذ القانون لديها صلاحيات تحقيق خاصة.",4
"2","أن يطلب من الأمانة تقديم تحديثات عن حالة مسألة التعويضات المزدوجة المحتملة في الفئتين ألف وجيم لكي يواصل الفريق العامل النظر فيها في اجتماعاته المقبلة وإبقائها مدرجة في جدول أعمال الدورة القادمة لمجلس الإدارة؛ والموافقة على طلب الأمانة تمديد فترة عمل خمسة موظفين حتى 31 كانون الأول/ديسمبر 2005 لتقديم الدعم لخبراء المحاسبة القضائية وتنفيذ أي توصيات قد يتم تقديمها بشأن احتمال الازدواج في التعويضات.",0
"3","ولكن على الرغم من أن الفريق لا يرى أن المشورة الفنية شبه العسكرية المتاحة على الإنترنت تمثل تهديدا على قدم المساواة مع التدريب في الحياة الواقعية، فإن الإمكانية ستزداد مع تحسن جودة المشورة.",1
"4",":: وضع برنامج الاستثمار ذي الأولوية للفترة 2015-2017 بمبلغ قدره 7208 مليار فرنك أفريقي (حوالي 15 مليار دولار أمريكي).",0
"5","وشدد على ضرورة تعزيز الحوار داخل المؤسسات الاتحادية الانتقالية وشجع محاوريه على استخدام نفوذهم لتحقيق هذه الغاية.",4
"6","ولا يمكن إنكار أن المخاطر كبيرة، لأن الفشل في الالتزام بالموعد النهائي للاستفتاءين المنصوص عليه في اتفاق السلام الشامل يمكن أن يكون له عواقب وخيمة.",3
"7","وأعرب بعض أعضاء المجلس عن قلقهم لأنه لم يكن من الممكن حتى الآن إحراز تقدم في التحقيقات في الجرائم التي ارتكبها المتمردون.",4
"8","وعلى سبيل المثال، عملت المديرية التنفيذية للجنة مكافحة الإرهاب على نطاق واسع مع الدول لبناء قدراتها على إدارة الحدود من أجل مراقبة الحركات الإرهابية وقدراتها في مجال العدالة الجنائية على معالجة غسل الأموال.",2
"9","7. يدعو جميع الدول إلى التصرف بدقة وفقا لأحكام هذا القرار، بغض النظر عن وجود أي حقوق أو التزامات ممنوحة أو مفروضة بموجب أي اتفاق دولي أو أي عقد مبرم أو أي ترخيص أو تصريح ممنوح قبل تاريخ صدوره. دخول التدابير المفروضة بموجب الفقرة 4 أعلاه حيز التنفيذ؛",4
"10","2. يدعو الحكومة السورية إلى التنفيذ الواضح لالتزاماتها في مجملها، كما وافقت على القيام بذلك في التفاهم الأولي وعلى النحو المنصوص عليه في القرار 2042 (2012)، من أجل (أ) وقف تحركات القوات نحو المراكز السكانية، (ب) وقف جميع أشكال استخدام الأسلحة الثقيلة في هذه المراكز، (ج) الانسحاب الكامل للتمركزات العسكرية داخل المراكز السكانية وما حولها، وكذلك سحب قواتها وأسلحتها الثقيلة من المراكز السكانية إلى ثكناتها أو أماكن انتشارها المؤقتة لتسهيل الوقف المستمر للعنف ;",3
