id,ar_general_rarity,ar_genre_rarity,en_ar_DEEP_general_rarity,en_ar_DEEP_genre_rarity,en_ar_DEEPL_general_rarity,en_ar_DEEPL_genre_rarity,en_ar_GOOGLE_general_rarity,en_ar_GOOGLE_genre_rarity,en_ar_TRANSFORMERS_general_rarity,en_ar_TRANSFORMERS_genre_rarity
2011/s/2011/463/305:7,0.6470588235294118,0.4117647058823529,0.6875,0.5,0.6875,0.5,0.6666666666666666,0.4666666666666667,0.7333333333333333,0.4666666666666667
2005/s/2005/686/23:1,0.4583333333333333,0.2361111111111111,0.5,0.1875,0.484375,0.1875,0.5,0.1875,0.4696969696969697,0.19696969696969696
2011/s/2011/245/131:3,0.5185185185185185,0.18518518518518517,0.3939393939393939,0.12121212121212122,0.45161290322580644,0.22580645161290322,0.3939393939393939,0.12121212121212122,0.42857142857142855,0.17142857142857143
2014/s/2014/934/17:1,0.7272727272727273,0.3181818181818182,0.6666666666666666,0.16666666666666666,0.7058823529411765,0.17647058823529413,0.6666666666666666,0.16666666666666666,0.7058823529411765,0.29411764705882354
2005/s/2005/642/28:3,0.7222222222222222,0.2777777777777778,0.7058823529411765,0.23529411764705882,0.7058823529411765,0.23529411764705882,0.7058823529411765,0.23529411764705882,0.7058823529411765,0.23529411764705882
2010/s/2010/528/121:3,0.42857142857142855,0.23809523809523808,0.48,0.2,0.4230769230769231,0.23076923076923078,0.48,0.2,0.44,0.16
2014/s/2014/929/47:6,0.2631578947368421,0.10526315789473684,0.23809523809523808,0.0,0.35294117647058826,0.0,0.22727272727272727,0.0,0.3,0.05
2014/s/2014/869/17:4,0.45714285714285713,0.14285714285714285,0.45454545454545453,0.06060606060606061,0.5,0.0625,0.45454545454545453,0.06060606060606061,0.48484848484848486,0.09090909090909091
1999/s/res/1267_1999_/37:1,0.4,0.24444444444444444,0.5,0.1875,0.5111111111111111,0.2,0.5,0.1875,0.46808510638297873,0.23404255319148937
2012/s/2012/245/16:1,0.5,0.20270270270270271,0.4931506849315068,0.1917808219178082,0.5,0.21621621621621623,0.4931506849315068,0.1917808219178082,0.49333333333333335,0.21333333333333335
2014/s/2014/921/27:1,0.5813008130081301,0.1991869918699187,0.5842105263157895,0.15789473684210525,0.5821917808219178,0.18493150684931506,0.5789473684210527,0.15263157894736842,0.5846153846153846,0.1794871794871795
2013/s/2013/769/22:2,0.7727272727272727,0.38636363636363635,0.725,0.325,0.75,0.35,0.725,0.325,0.7692307692307693,0.3333333333333333
2014/s/2014/935/72:3,0.47619047619047616,0.19047619047619047,0.43902439024390244,0.2682926829268293,0.46153846153846156,0.28205128205128205,0.43902439024390244,0.2682926829268293,0.37209302325581395,0.2558139534883721
2014/s/2014/74/11:2,0.5517241379310345,0.20689655172413793,0.5471698113207547,0.20754716981132076,0.5263157894736842,0.17543859649122806,0.5576923076923077,0.17307692307692307,0.5087719298245614,0.17543859649122806
2008/s/2008/250/22:1,0.4878048780487805,0.1951219512195122,0.55,0.175,0.55,0.175,0.55,0.175,0.5681818181818182,0.1590909090909091
2014/s/2014/9/68:1,0.5925925925925926,0.09259259259259259,0.5263157894736842,0.017543859649122806,0.5535714285714286,0.017857142857142856,0.5263157894736842,0.03508771929824561,0.543859649122807,0.07017543859649122
2005/s/2005/642/54:5,0.5,0.28125,0.4482758620689655,0.1724137931034483,0.4827586206896552,0.1724137931034483,0.4838709677419355,0.16129032258064516,0.5333333333333333,0.26666666666666666
2013/s/2013/447/22:4,0.6111111111111112,0.08333333333333333,0.6363636363636364,0.09090909090909091,0.5882352941176471,0.08823529411764706,0.6363636363636364,0.09090909090909091,0.6666666666666666,0.09090909090909091
2009/s/prst/2009/1/595:1,0.6521739130434783,0.08695652173913043,0.6521739130434783,0.08695652173913043,0.6666666666666666,0.08333333333333333,0.6521739130434783,0.08695652173913043,0.6666666666666666,0.08333333333333333
2009/s/res/1904_2009_/68:1,0.5961538461538461,0.15384615384615385,0.6,0.1111111111111111,0.5555555555555556,0.08888888888888889,0.6,0.1111111111111111,0.6086956521739131,0.15217391304347827
2005/s/2005/636/29:1,0.7222222222222222,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666
2008/s/prst/2008/45/2:1,0.47058823529411764,0.029411764705882353,0.4722222222222222,0.027777777777777776,0.4722222222222222,0.027777777777777776,0.5,0.02631578947368421,0.4857142857142857,0.02857142857142857
2010/s/prst/2010/25/568:1,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.0,0.5714285714285714,0.0,0.5714285714285714,0.0,0.75,0.125
2012/s/res/2083__2012_/178:1,0.625,0.0625,0.6875,0.0625,0.7058823529411765,0.058823529411764705,0.6875,0.0625,0.8666666666666667,0.06666666666666667
2013/s/2013/792/18:1,0.5344827586206896,0.1896551724137931,0.48214285714285715,0.05357142857142857,0.46551724137931033,0.10344827586206896,0.48214285714285715,0.05357142857142857,0.5185185185185185,0.07407407407407407
2008/s/2008/258/81:3,0.65,0.1,0.7058823529411765,0.058823529411764705,0.7222222222222222,0.16666666666666666,0.7058823529411765,0.058823529411764705,0.7222222222222222,0.2222222222222222
2011/s/2011/463/168:5,0.6923076923076923,0.15384615384615385,0.6,0.13333333333333333,0.6428571428571429,0.14285714285714285,0.6,0.13333333333333333,0.6428571428571429,0.14285714285714285
2005/s/2005/636/676:1,0.6966292134831461,0.14606741573033707,0.6826923076923077,0.125,0.7009345794392523,0.14953271028037382,0.6923076923076923,0.125,0.6526315789473685,0.12631578947368421
2014/s/2014/935/80:2,0.6818181818181818,0.2727272727272727,0.52,0.16,0.5652173913043478,0.21739130434782608,0.52,0.16,0.52,0.16
2014/s/2014/731/14:3,0.5555555555555556,0.2777777777777778,0.5277777777777778,0.2222222222222222,0.5714285714285714,0.2857142857142857,0.5428571428571428,0.2,0.5882352941176471,0.2647058823529412
